Image,Similarity
so,0.45853230357170105
aq,0.4031769633293152
fm,0.3940548896789551
xk,0.3701482117176056
ni,0.36495494842529297
eu,0.3624418079853058
cu,0.3496454060077667
aw,0.3447950482368469
kz,0.33972835540771484
gu,0.321189284324646
sv,0.3203257620334625
hn,0.3176473081111908
gt,0.3090992569923401
pw,0.3065650761127472
ng,0.3060341477394104
cv,0.30227506160736084
tv,0.30011874437332153
mo,0.2873256504535675
il,0.27756792306900024
gb-sct,0.267964243888855
sl,0.2663422226905823
ar,0.2643464505672455
bz,0.2613403797149658
gr,0.25626611709594727
as,0.25553303956985474
uz,0.2415299415588379
fj,0.2369254231452942
mh,0.2337585687637329
bw,0.2204059511423111
is,0.21629205346107483
cx,0.2152380794286728
kh,0.21439188718795776
cw,0.21371690928936005
tf,0.2094380259513855
cr,0.20579202473163605
cd,0.1932862550020218
lu,0.1915813684463501
it,0.1882392168045044
dj,0.18538904190063477
ie,0.183977872133255
ls,0.18103933334350586
nr,0.1789495199918747
bl,0.17890235781669617
fr,0.17890235781669617
gf,0.17890235781669617
gp,0.17890235781669617
mf,0.17890235781669617
mq,0.17890235781669617
nc,0.17890235781669617
pm,0.17890235781669617
re,0.17890235781669617
yt,0.17890235781669617
ps,0.17591729760169983
lc,0.1731685996055603
ag,0.17260104417800903
uy,0.17252585291862488
bq,0.17179471254348755
nl,0.17179471254348755
rw,0.17089346051216125
mx,0.17081418633460999
kr,0.17011535167694092
do,0.1696631759405136
ae,0.16152478754520416
ci,0.156756192445755
nz,0.15655797719955444
sm,0.15562203526496887
hr,0.15150824189186096
bs,0.15096963942050934
au,0.14645344018936157
hm,0.14645344018936157
io,0.1461019515991211
br,0.1429014503955841
py,0.14118973910808563
sa,0.13932350277900696
eh,0.13864925503730774
mn,0.13856077194213867
ms,0.13557104766368866
bd,0.12828892469406128
jo,0.12785717844963074
sb,0.1273866891860962
ck,0.12600766122341156
pn,0.11293814331293106
fi,0.11132310330867767
np,0.10906956344842911
fk,0.1087886244058609
kw,0.10661018639802933
hu,0.10377934575080872
gs,0.1030997782945633
vg,0.09950988739728928
ky,0.09899017214775085
pa,0.09771423041820526
nf,0.09492248296737671
az,0.09414264559745789
ai,0.08744558691978455
se,0.08644804358482361
th,0.08111836761236191
tc,0.08104568719863892
sd,0.08067899942398071
ga,0.07923508435487747
tj,0.0762617290019989
ax,0.07480941712856293
sr,0.07474130392074585
bi,0.07208483666181564
za,0.06970501691102982
ye,0.06832720339298248
af,0.06817454844713211
gb-nir,0.06756158918142319
gb,0.06756158918142319
sh,0.06756158918142319
pk,0.06505241990089417
ee,0.06259603053331375
pr,0.06024261936545372
ht,0.05979641526937485
ir,0.05297224223613739
pe,0.050002288073301315
ph,0.0484742633998394
sy,0.04630257934331894
kp,0.04402792453765869
dm,0.04182038456201553
iq,0.04099069535732269
bb,0.03980722278356552
eg,0.03593830764293671
gy,0.035472527146339417
bv,0.034183841198682785
no,0.034183841198682785
sj,0.034183841198682785
um,0.031950756907463074
us,0.031950756907463074
si,0.03133675456047058
cy,0.0302986279129982
pf,0.029156383126974106
mt,0.024134401232004166
ss,0.023801229894161224
fo,0.01336108148097992
gm,0.009912672452628613
gl,0.009203318506479263
je,0.0022951215505599976
rs,0.002117343246936798
ke,0.0011010468006134033
sg,7.125735282897949e-05
na,-0.0007298588752746582
mc,-0.0009624361991882324
dz,-0.0016050003468990326
lb,-0.003351230174303055
la,-0.005472656339406967
at,-0.006277747452259064
sz,-0.0072028301656246185
tz,-0.010234808549284935
tm,-0.013961993157863617
gq,-0.015363924205303192
ru,-0.015518851578235626
cl,-0.01582977920770645
sx,-0.021942880004644394
ua,-0.02443186193704605
tg,-0.024779565632343292
lr,-0.02559822052717209
pl,-0.030368631705641747
ch,-0.03427832946181297
cz,-0.03505277633666992
in,-0.03599058836698532
km,-0.0372413769364357
lv,-0.03827869892120361
sk,-0.040383510291576385
er,-0.04368489235639572
bg,-0.04946199432015419
cf,-0.05337724834680557
ad,-0.05368668586015701
ki,-0.05799008905887604
dk,-0.05884299427270889
id,-0.059195563197135925
li,-0.0596255399286747
sc,-0.06648819148540497
ne,-0.06872297078371048
be,-0.07107849419116974
my,-0.07500047981739044
ba,-0.07604007422924042
ug,-0.08166993409395218
vi,-0.08770480006933212
jm,-0.09451748430728912
mw,-0.0951218232512474
ro,-0.09683184325695038
ca,-0.09997743368148804
et,-0.10280388593673706
mv,-0.10301724076271057
bf,-0.10362610220909119
mu,-0.10368954390287399
gb-eng,-0.10655119270086288
jp,-0.1066979467868805
gg,-0.10728287696838379
om,-0.10998457670211792
kn,-0.11074896156787872
sn,-0.11112883687019348
cc,-0.11732912063598633
vc,-0.11774200201034546
gn,-0.11957953870296478
mg,-0.12575586140155792
mm,-0.12625183165073395
tk,-0.12752561271190643
gb-wls,-0.127671480178833
mr,-0.12772643566131592
tt,-0.13166385889053345
ge,-0.1318303495645523
td,-0.13538016378879547
ao,-0.13605299592018127
va,-0.13895092904567719
vu,-0.1459541618824005
mz,-0.14727281033992767
hk,-0.15602357685565948
st,-0.15714481472969055
bo,-0.15855470299720764
tn,-0.15888047218322754
md,-0.16451752185821533
bm,-0.1660570651292801
bj,-0.16893717646598816
gd,-0.17171800136566162
ml,-0.17228497564792633
cg,-0.17352280020713806
am,-0.17438440024852753
zm,-0.17693457007408142
pt,-0.18007604777812958
gw,-0.18035373091697693
by,-0.18278497457504272
ws,-0.18306437134742737
gh,-0.1866261512041092
ly,-0.18995386362075806
bt,-0.19111283123493195
gi,-0.1919749677181244
im,-0.19449785351753235
pg,-0.1979658007621765
zw,-0.19798493385314941
qa,-0.20626482367515564
ve,-0.22952505946159363
co,-0.2340131253004074
wf,-0.24275293946266174
tr,-0.242815762758255
cm,-0.24996769428253174
de,-0.2507786154747009
es,-0.2535257041454315
tw,-0.25459587574005127
bh,-0.2548569142818451
to,-0.2635093331336975
mk,-0.26776301860809326
bn,-0.27352917194366455
kg,-0.2766970992088318
ec,-0.27754631638526917
me,-0.28167057037353516
vn,-0.2986097037792206
nu,-0.2999834418296814
lt,-0.3055652976036072
cn,-0.3206147253513336
ma,-0.3209456205368042
tl,-0.3302588164806366
lk,-0.3410012722015381
al,-0.3768270015716553
