Image,Similarity
mv,0.5551544427871704
cc,0.3428967595100403
la,0.31556642055511475
zm,0.29780566692352295
gd,0.24058657884597778
tm,0.22742153704166412
lt,0.2045826017856598
pr,0.20382334291934967
ly,0.2028626799583435
sa,0.18714988231658936
mo,0.16179220378398895
ec,0.1611853986978531
za,0.155503511428833
es,0.15318286418914795
mu,0.1527596265077591
pk,0.1458713710308075
et,0.13565680384635925
bi,0.13494856655597687
cx,0.13459894061088562
kn,0.13166648149490356
af,0.1304015815258026
vc,0.12884929776191711
mm,0.12740512192249298
bo,0.12683571875095367
ua,0.121010921895504
am,0.11673054099082947
bz,0.1166752427816391
gh,0.11324495077133179
lb,0.11219795793294907
bb,0.10563744604587555
tz,0.10116809606552124
iq,0.09890000522136688
ml,0.09734462946653366
me,0.09622041881084442
td,0.09442058205604553
ag,0.0936310812830925
ao,0.09331899881362915
tk,0.09331439435482025
gm,0.09219899773597717
gn,0.09190063178539276
gu,0.08995283395051956
pg,0.0896742045879364
al,0.08943064510822296
co,0.08414556831121445
sy,0.08313747495412827
eg,0.08079387247562408
vu,0.08026965707540512
ps,0.07637245953083038
pt,0.07534077018499374
sd,0.07480469346046448
rw,0.07453350722789764
ve,0.07432562112808228
eh,0.0740358978509903
ae,0.0735059455037117
ye,0.07137930393218994
cw,0.07083650678396225
li,0.07019184529781342
ro,0.06664963811635971
md,0.06612503528594971
sn,0.06603335589170456
tt,0.06559499353170395
tj,0.06557070463895798
sb,0.06386308372020721
bj,0.06376802921295166
cg,0.06225604936480522
be,0.06135004758834839
bg,0.05472738668322563
jo,0.053419068455696106
gq,0.05148381367325783
xk,0.04328148812055588
vn,0.04255586117506027
ht,0.0424557588994503
cm,0.04239434748888016
ph,0.041628606617450714
nr,0.04137515649199486
eu,0.0378432422876358
gw,0.03234681487083435
kw,0.031833164393901825
mh,0.027736548334360123
bv,0.027295971289277077
no,0.027295971289277077
sj,0.027295971289277077
cf,0.027031205594539642
lk,0.026042625308036804
th,0.023126380518078804
bs,0.02286187745630741
mk,0.02091190218925476
st,0.019242413341999054
pf,0.01755049079656601
dm,0.016133010387420654
bf,0.01608431525528431
ma,0.013763591647148132
ne,0.012630751356482506
ad,0.012045085430145264
ir,0.009797018021345139
ug,0.00875476747751236
ws,0.00855167955160141
lv,0.007871519774198532
ss,0.00632709264755249
hr,0.003952212631702423
nu,0.001931220293045044
kg,0.00033086538314819336
ke,-0.0007321089506149292
tl,-0.001707412302494049
ch,-0.0027588624507188797
se,-0.002807505428791046
tn,-0.006639532744884491
pn,-0.007300633005797863
in,-0.007424004841595888
ga,-0.008030551485717297
qa,-0.010959438979625702
im,-0.011095743626356125
at,-0.011694997549057007
cv,-0.014186831191182137
bq,-0.014320865273475647
nl,-0.014320865273475647
hu,-0.014441292732954025
bt,-0.015149390324950218
mz,-0.015461742877960205
ms,-0.016080614179372787
de,-0.016734980046749115
nz,-0.017002806067466736
ba,-0.018126213923096657
tr,-0.02264346182346344
py,-0.023790523409843445
aq,-0.023954123258590698
gs,-0.025954067707061768
do,-0.026527151465415955
tw,-0.02718132734298706
ax,-0.02855679765343666
kz,-0.028926149010658264
vg,-0.031672146171331406
au,-0.032876238226890564
hm,-0.032876238226890564
to,-0.03494631499052048
hk,-0.04062715172767639
si,-0.042509809136390686
tc,-0.04259192571043968
hn,-0.043817028403282166
br,-0.04440708085894585
bn,-0.04507985711097717
tf,-0.045371465384960175
ck,-0.04607563838362694
ai,-0.04876741021871567
mw,-0.050897687673568726
fk,-0.052283480763435364
sv,-0.05306918919086456
ky,-0.053124990314245224
as,-0.05734927952289581
mn,-0.05936719477176666
sx,-0.06060268357396126
sl,-0.06656971573829651
bm,-0.07452865689992905
dk,-0.07488860189914703
jm,-0.07491587102413177
ru,-0.07610321044921875
my,-0.07621830701828003
cz,-0.07939887046813965
gr,-0.0798957422375679
ls,-0.08016296476125717
gy,-0.08175206184387207
lc,-0.08276890218257904
by,-0.08296043425798416
np,-0.08426076918840408
pw,-0.08460608124732971
cn,-0.08713001012802124
mg,-0.09075959026813507
gi,-0.09076084941625595
dj,-0.09183131903409958
tv,-0.09255911409854889
uz,-0.09344032406806946
is,-0.0960119217634201
ee,-0.09689652919769287
lu,-0.09988386929035187
va,-0.10313507914543152
tg,-0.10345272719860077
ni,-0.10429100692272186
dz,-0.1061050146818161
na,-0.10909818112850189
ci,-0.11094239354133606
wf,-0.11448677629232407
it,-0.11496362835168839
bh,-0.11548419296741486
rs,-0.11673372983932495
ki,-0.12001875787973404
bw,-0.12157824635505676
km,-0.12170477956533432
cl,-0.1252003163099289
pa,-0.12537796795368195
aw,-0.12633290886878967
sk,-0.12691348791122437
bl,-0.1275073140859604
fr,-0.1275073140859604
gf,-0.1275073140859604
gp,-0.1275073140859604
mf,-0.1275073140859604
mq,-0.1275073140859604
nc,-0.1275073140859604
pm,-0.1275073140859604
re,-0.1275073140859604
yt,-0.1275073140859604
mp,-0.12772643566131592
zw,-0.12786316871643066
nf,-0.1298210471868515
fi,-0.1322057843208313
io,-0.13489462435245514
ng,-0.13556066155433655
so,-0.13600963354110718
mx,-0.1466454565525055
id,-0.1631717085838318
um,-0.16369816660881042
us,-0.16369816660881042
mc,-0.16597294807434082
pe,-0.16876478493213654
ie,-0.16980087757110596
gt,-0.17108982801437378
mt,-0.17368212342262268
gb-wls,-0.18133462965488434
gl,-0.1813984364271164
gb-nir,-0.18830494582653046
gb,-0.18830494582653046
sh,-0.18830494582653046
fm,-0.19064965844154358
il,-0.19274626672267914
gb-sct,-0.19406366348266602
pl,-0.19551847875118256
cu,-0.1967267245054245
om,-0.1985314041376114
sg,-0.19958585500717163
bd,-0.19984817504882812
vi,-0.20003777742385864
az,-0.20800532400608063
ar,-0.21348991990089417
gg,-0.2196834683418274
ge,-0.22283197939395905
sm,-0.22945556044578552
uy,-0.23064574599266052
cd,-0.23417028784751892
lr,-0.23879562318325043
cy,-0.24085071682929993
fo,-0.24417826533317566
kr,-0.24681615829467773
fj,-0.25379571318626404
sc,-0.25838059186935425
gb-eng,-0.25995659828186035
sz,-0.29724210500717163
cr,-0.2999782860279083
ca,-0.30905094742774963
je,-0.31322258710861206
kh,-0.32242289185523987
sr,-0.337275892496109
jp,-0.34636595845222473
er,-0.4148828387260437
kp,-0.4887564480304718
