Image,Similarity
bh,0.4941105246543884
dk,0.46417152881622314
sg,0.41518935561180115
cy,0.40728190541267395
je,0.40324467420578003
ca,0.3954807221889496
ie,0.3910389244556427
gg,0.3781930208206177
mg,0.37498223781585693
bt,0.37280476093292236
at,0.3677407503128052
gb-eng,0.36635151505470276
pl,0.3650321364402771
jp,0.3577682673931122
mx,0.3469374179840088
ge,0.3453848958015442
gl,0.3435344696044922
gt,0.3387928605079651
to,0.33734163641929626
lr,0.33608686923980713
it,0.33528879284858704
ar,0.33509138226509094
mc,0.33261021971702576
ng,0.329429566860199
id,0.3293890357017517
vi,0.3287185728549957
pe,0.31635650992393494
kp,0.31352105736732483
sc,0.3133378326892853
rs,0.30761200189590454
pf,0.30669423937797546
tr,0.29530033469200134
sm,0.2952629625797272
lb,0.292183518409729
nf,0.28933581709861755
hk,0.285285621881485
bi,0.2806892991065979
wf,0.27423956990242004
kg,0.2735592722892761
cr,0.27293646335601807
ch,0.27004531025886536
tl,0.2626844644546509
ci,0.2616201341152191
ml,0.2583898603916168
kr,0.257245808839798
pr,0.25131282210350037
bl,0.25040873885154724
fr,0.25040873885154724
gf,0.25040873885154724
gp,0.25040873885154724
mf,0.25040873885154724
mq,0.25040873885154724
nc,0.25040873885154724
pm,0.25040873885154724
re,0.25040873885154724
yt,0.25040873885154724
hu,0.24963751435279846
fm,0.24899327754974365
lu,0.24741195142269135
um,0.24519820511341095
us,0.24519820511341095
nu,0.24087229371070862
cn,0.23154498636722565
mk,0.23127993941307068
cg,0.2264360934495926
mm,0.22356954216957092
uy,0.22225821018218994
sn,0.22026798129081726
il,0.21434389054775238
bn,0.21272748708724976
dj,0.212266743183136
gi,0.2097073197364807
ir,0.20901204645633698
bv,0.2067451775074005
no,0.2067451775074005
sj,0.2067451775074005
im,0.20570731163024902
bm,0.20496267080307007
tw,0.2018211930990219
sk,0.1871742308139801
pa,0.18406972289085388
tn,0.18362076580524445
bq,0.18282213807106018
nl,0.18282213807106018
ro,0.18060782551765442
cz,0.17919206619262695
ki,0.17712052166461945
vn,0.1764412522315979
lc,0.17467626929283142
gq,0.17191818356513977
in,0.16900822520256042
md,0.16888117790222168
lv,0.16650432348251343
py,0.1661956012248993
ad,0.16605496406555176
