Image,Similarity
la,0.5792236328125
mr,0.5551544427871704
ly,0.5088697075843811
lt,0.4498540759086609
am,0.4247893691062927
al,0.35164833068847656
ve,0.3483521640300751
ao,0.3087904453277588
me,0.30643996596336365
qa,0.2896132469177246
ma,0.2826954126358032
ec,0.27437400817871094
zm,0.2730202078819275
pg,0.26785555481910706
co,0.266433984041214
vu,0.24397006630897522
gd,0.24035437405109406
cc,0.22633782029151917
pk,0.2234424650669098
gm,0.2156897783279419
li,0.21483828127384186
im,0.21268342435359955
ws,0.20384648442268372
tm,0.1999441385269165
tt,0.19920489192008972
es,0.19834139943122864
gu,0.19742585718631744
mm,0.19544801115989685
vn,0.1935003399848938
nz,0.18641753494739532
ag,0.18382112681865692
pt,0.17904484272003174
au,0.17638400197029114
hm,0.17638400197029114
tn,0.1762261986732483
tl,0.17535194754600525
et,0.17390871047973633
gs,0.17371200025081635
bg,0.1724071055650711
vg,0.17063406109809875
za,0.16912351548671722
af,0.16699282824993134
ms,0.16571757197380066
pn,0.16055913269519806
bv,0.16049368679523468
no,0.16049368679523468
sj,0.16049368679523468
ug,0.15942654013633728
kn,0.1562923640012741
ht,0.15363743901252747
eu,0.15231959521770477
tw,0.1442808210849762
ky,0.14181378483772278
tc,0.13737210631370544
ck,0.13350674510002136
si,0.13309773802757263
tr,0.1318005919456482
bf,0.12837746739387512
cn,0.1270582377910614
nr,0.12514489889144897
to,0.12494177371263504
cm,0.1224924698472023
kg,0.11526928097009659
hk,0.11344799399375916
fk,0.11335588991641998
sy,0.11306481063365936
ai,0.10769477486610413
ru,0.10680148750543594
pr,0.10634201020002365
mk,0.10628168284893036
sa,0.1053585335612297
be,0.10264206677675247
cx,0.09686561673879623
bm,0.09563784301280975
bb,0.09476912021636963
sx,0.0918920636177063
lk,0.08455171436071396
ph,0.08262413740158081
bj,0.07598766684532166
iq,0.07490026205778122
ch,0.07464569807052612
td,0.07271412014961243
lv,0.06808058172464371
lb,0.0675162672996521
bz,0.06359750032424927
bi,0.062120530754327774
cw,0.060655418783426285
mu,0.05636495351791382
sb,0.047708723694086075
mn,0.04461491107940674
bo,0.04446092247962952
sd,0.04072072356939316
th,0.038907043635845184
tf,0.03792361170053482
rs,0.03775525093078613
md,0.03747841343283653
ro,0.03292287141084671
ye,0.03211306408047676
tz,0.031040266156196594
mo,0.03016393631696701
gh,0.02697347104549408
eg,0.02694719098508358
gw,0.02592337131500244
ad,0.025164226070046425
sk,0.022800428792834282
bh,0.02228071540594101
de,0.015996195375919342
gn,0.009278468787670135
ml,0.009059019386768341
vc,0.008585184812545776
mz,0.0074338167905807495
wf,0.006269438192248344
at,0.005417700856924057
tk,0.0038766562938690186
np,-0.0007932744920253754
ba,-0.008928940631449223
dk,-0.01039675809442997
pf,-0.01328970119357109
cf,-0.013639230281114578
zw,-0.014509506523609161
mw,-0.02555844932794571
sn,-0.03132205829024315
ua,-0.03271138668060303
cg,-0.03739124536514282
gi,-0.03798263147473335
ke,-0.03957927227020264
ee,-0.05354929342865944
my,-0.0538393035531044
cz,-0.055461253970861435
ki,-0.0572361946105957
by,-0.058303385972976685
gq,-0.06026296317577362
mg,-0.06143835186958313
mh,-0.06358353793621063
dm,-0.06483036279678345
do,-0.07257981598377228
xk,-0.07350233197212219
bn,-0.08375860750675201
jo,-0.08415635675191879
nu,-0.09366347640752792
tg,-0.098839670419693
mp,-0.10301724076271057
kw,-0.10427547991275787
ps,-0.10777471214532852
tv,-0.10870058834552765
is,-0.10939376801252365
ss,-0.10999106615781784
fi,-0.1112213060259819
na,-0.11264778673648834
tj,-0.11348922550678253
sz,-0.1175626739859581
br,-0.1187283843755722
ae,-0.11876077204942703
bt,-0.12249720096588135
bq,-0.12415879219770432
nl,-0.12415879219770432
eh,-0.1287294626235962
io,-0.13010568916797638
hu,-0.13255950808525085
py,-0.13686367869377136
cl,-0.13688158988952637
hr,-0.14249393343925476
pa,-0.14322566986083984
gb-wls,-0.14534933865070343
se,-0.14954739809036255
id,-0.15556447207927704
ir,-0.15795356035232544
ax,-0.15811175107955933
pe,-0.16220621764659882
bl,-0.16224096715450287
fr,-0.16224096715450287
gf,-0.16224096715450287
gp,-0.16224096715450287
mf,-0.16224096715450287
mq,-0.16224096715450287
nc,-0.16224096715450287
pm,-0.16224096715450287
re,-0.16224096715450287
yt,-0.16224096715450287
in,-0.16659972071647644
mt,-0.16760000586509705
cv,-0.1690446436405182
aq,-0.17098000645637512
as,-0.18960559368133545
mc,-0.1914139986038208
bd,-0.19532549381256104
ne,-0.19854681193828583
um,-0.19865232706069946
us,-0.19865232706069946
gl,-0.20080746710300446
aw,-0.20183596014976501
lr,-0.20261147618293762
it,-0.2035864144563675
rw,-0.2118770182132721
km,-0.21238256990909576
gr,-0.21333500742912292
pl,-0.2178768366575241
bw,-0.22551921010017395
bs,-0.23082247376441956
ci,-0.23584887385368347
jm,-0.23647822439670563
mx,-0.23998484015464783
gb-nir,-0.24009528756141663
gb,-0.24009528756141663
sh,-0.24009528756141663
hn,-0.2402031123638153
so,-0.24401962757110596
sg,-0.2483242154121399
cd,-0.2528371810913086
kz,-0.2535537779331207
lu,-0.2555130124092102
dz,-0.2623486816883087
va,-0.2666871249675751
ge,-0.26776599884033203
kr,-0.2709506154060364
fo,-0.27577269077301025
om,-0.2833666205406189
dj,-0.2846129536628723
nf,-0.2866700291633606
uy,-0.2907417416572571
vi,-0.29262858629226685
cu,-0.29623469710350037
lc,-0.2964080572128296
fj,-0.3011961579322815
sc,-0.3048872649669647
sv,-0.31455034017562866
gg,-0.3169126510620117
ng,-0.31791889667510986
ie,-0.3287450075149536
pw,-0.3295680284500122
kp,-0.33219975233078003
gy,-0.3322490453720093
gb-eng,-0.340480774641037
ga,-0.3421492874622345
st,-0.34447139501571655
gt,-0.34450507164001465
ls,-0.3484995663166046
kh,-0.3536703288555145
sl,-0.37105250358581543
sm,-0.37414222955703735
gb-sct,-0.37790602445602417
ni,-0.37946924567222595
jp,-0.38121190667152405
je,-0.38436293601989746
fm,-0.3855438828468323
cr,-0.396860271692276
ca,-0.4035676121711731
er,-0.41553062200546265
sr,-0.41708213090896606
cy,-0.422820508480072
uz,-0.42285701632499695
az,-0.4505389332771301
il,-0.4587394595146179
ar,-0.5098609924316406
