Image,Similarity
de,0.5889524221420288
ee,0.5534809827804565
ua,0.46802687644958496
li,0.3717517554759979
zw,0.3464282751083374
am,0.3231790065765381
ke,0.31437528133392334
tk,0.3095257878303528
kn,0.30738741159439087
ph,0.2933008074760437
ug,0.2786960005760193
ss,0.24902701377868652
zm,0.24373804032802582
al,0.23789550364017487
th,0.23695671558380127
tm,0.21808429062366486
cc,0.21553310751914978
ht,0.20913976430892944
tg,0.2005464732646942
ws,0.1949266493320465
mw,0.18267136812210083
cw,0.18263748288154602
tw,0.17499326169490814
az,0.17160961031913757
ag,0.16948619484901428
ma,0.16595515608787537
rs,0.15424688160419464
cf,0.15266403555870056
np,0.1506364792585373
nu,0.14837035536766052
et,0.14744722843170166
md,0.1427101045846939
gd,0.1345748007297516
br,0.12453354895114899
pk,0.11751922965049744
gn,0.1147017627954483
vc,0.113365039229393
qa,0.11320120096206665
fi,0.11307664215564728
st,0.11226457357406616
bb,0.10026603937149048
sr,0.09841106832027435
cr,0.09710577130317688
bd,0.0961664691567421
ru,0.09500367194414139
my,0.09029335528612137
tt,0.08781451731920242
lt,0.0869581550359726
tz,0.08448876440525055
sb,0.08336176723241806
me,0.0815008208155632
to,0.07999465614557266
cg,0.0791957899928093
cn,0.07821469753980637
sa,0.07432353496551514
sk,0.07209719717502594
rw,0.06833022832870483
ly,0.060534488409757614
lc,0.05481488257646561
gy,0.05453750863671303
ge,0.052801962941884995
bh,0.04659854993224144
er,0.04503364861011505
ve,0.03836606815457344
na,0.036727938801050186
tl,0.03516963869333267
gb-eng,0.03471224009990692
bn,0.03282812237739563
tr,0.03089035674929619
dm,0.029033107683062553
fo,0.0283052995800972
td,0.026901714503765106
bg,0.02624363824725151
gg,0.025541668757796288
ad,0.023673012852668762
sn,0.022386975586414337
cu,0.021209657192230225
pt,0.020487681031227112
lk,0.019128434360027313
ml,0.017766490578651428
vn,0.015020698308944702
jm,0.01309974491596222
si,0.012590172700583935
ca,0.009525291621685028
mv,0.0074338167905807495
im,0.005806438624858856
kg,0.0041709840297698975
bw,0.003748185932636261
mk,0.0029292553663253784
lr,0.0015625208616256714
gb-nir,-0.000665249302983284
gb,-0.000665249302983284
sh,-0.000665249302983284
cv,-0.0006998106837272644
aw,-0.0025664567947387695
ro,-0.005514353513717651
sz,-0.006127700209617615
gi,-0.011096231639385223
jp,-0.012535028159618378
af,-0.013021863996982574
eu,-0.01327359676361084
mr,-0.015461742877960205
mn,-0.015841364860534668
mu,-0.016925685107707977
pe,-0.017747506499290466
be,-0.01804611086845398
bm,-0.02391093224287033
cm,-0.024075113236904144
ax,-0.027214333415031433
vu,-0.028671786189079285
va,-0.029215900227427483
sc,-0.033846620470285416
kp,-0.03470497578382492
om,-0.03707556426525116
es,-0.03840845823287964
mc,-0.038455963134765625
nr,-0.048912983387708664
pr,-0.052563704550266266
vg,-0.056760024279356
gb-wls,-0.05842113494873047
id,-0.06549455225467682
tn,-0.06607070565223694
ky,-0.07396793365478516
ao,-0.07481947541236877
gs,-0.07541267573833466
kr,-0.07663258910179138
uy,-0.0789983868598938
io,-0.08111956715583801
hk,-0.08128975331783295
vi,-0.08524755388498306
se,-0.0859365165233612
nz,-0.08670029044151306
mt,-0.08840608596801758
je,-0.09046489000320435
wf,-0.09090085327625275
pn,-0.09192081540822983
bt,-0.09192266315221786
ci,-0.09514391422271729
sg,-0.09656161814928055
au,-0.09820698946714401
hm,-0.09820698946714401
ck,-0.10144331306219101
mx,-0.10366859287023544
cl,-0.10512261092662811
bv,-0.10647784918546677
no,-0.10647784918546677
sj,-0.10647784918546677
gu,-0.10959894955158234
kh,-0.11088959872722626
by,-0.11185021698474884
ms,-0.11213435232639313
ls,-0.11620619893074036
dj,-0.12093809247016907
nf,-0.12597514688968658
bj,-0.1281544268131256
cd,-0.1282050907611847
dz,-0.12929143011569977
gm,-0.13015221059322357
fk,-0.1317509114742279
ir,-0.13400520384311676
ki,-0.13623325526714325
tc,-0.13635754585266113
pw,-0.13723745942115784
ec,-0.1375458538532257
pg,-0.13891582190990448
cy,-0.13975784182548523
mo,-0.144442617893219
lb,-0.14526280760765076
mp,-0.14727281033992767
gl,-0.15245775878429413
tf,-0.15474125742912292
mh,-0.15683093667030334
um,-0.15914520621299744
us,-0.15914520621299744
ai,-0.16010302305221558
ch,-0.16111056506633759
cz,-0.1644669771194458
is,-0.16737091541290283
mg,-0.16744086146354675
kz,-0.17037513852119446
co,-0.17689281702041626
pl,-0.18410968780517578
bl,-0.1844995617866516
fr,-0.1844995617866516
gf,-0.1844995617866516
gp,-0.1844995617866516
mf,-0.1844995617866516
mq,-0.1844995617866516
nc,-0.1844995617866516
pm,-0.1844995617866516
re,-0.1844995617866516
yt,-0.1844995617866516
tv,-0.18472708761692047
ga,-0.1886524260044098
pf,-0.1907120794057846
la,-0.19145187735557556
bi,-0.1926226168870926
gt,-0.1962118297815323
it,-0.197164848446846
gq,-0.19764411449432373
dk,-0.19797685742378235
mm,-0.19866418838500977
xk,-0.19906213879585266
ng,-0.20146340131759644
ie,-0.20779746770858765
gw,-0.21113328635692596
pa,-0.2160445749759674
bz,-0.21704597771167755
kw,-0.21727024018764496
bf,-0.21776065230369568
bs,-0.22836318612098694
do,-0.23495227098464966
il,-0.24396155774593353
jo,-0.2527557909488678
fj,-0.2555094361305237
fm,-0.2677142024040222
gr,-0.27263200283050537
cx,-0.2759748697280884
za,-0.2805626690387726
gh,-0.28815552592277527
uz,-0.29457369446754456
sm,-0.2991490364074707
gb-sct,-0.3005109429359436
eh,-0.3081052303314209
aq,-0.3100179135799408
lv,-0.3290269374847412
sx,-0.3312912583351135
so,-0.33489570021629333
ps,-0.3536376953125
ba,-0.35699522495269775
bo,-0.3614320158958435
as,-0.363525927066803
ar,-0.36709409952163696
tj,-0.37096136808395386
at,-0.39328572154045105
ne,-0.39358392357826233
km,-0.40161219239234924
ae,-0.4132087826728821
sv,-0.43551355600357056
in,-0.44630730152130127
ni,-0.4513661563396454
hn,-0.4917469024658203
sl,-0.5189610123634338
