Image,Similarity
sm,0.638462245464325
cy,0.6131402850151062
ng,0.6126850843429565
ie,0.6014618277549744
fm,0.5920016765594482
gt,0.583036482334137
ar,0.5817968249320984
vi,0.5446855425834656
ca,0.5378068685531616
kr,0.5222648978233337
jp,0.5190656781196594
lc,0.505723774433136
je,0.4845392405986786
gb-eng,0.47384828329086304
mx,0.4692152440547943
gg,0.44648221135139465
gr,0.4046746790409088
va,0.3998146057128906
ge,0.3990013599395752
fj,0.3924591541290283
il,0.38376402854919434
fo,0.37450098991394043
dj,0.3744336664676666
ci,0.36712646484375
pl,0.3660408854484558
uy,0.3554684817790985
vc,0.35401400923728943
aw,0.331168532371521
lb,0.3180387616157532
gb-sct,0.3159012198448181
it,0.3073616325855255
bw,0.30361905694007874
lr,0.30308616161346436
lu,0.30146151781082153
so,0.2986316978931427
sg,0.2981526255607605
pe,0.29049384593963623
mt,0.28933581709861755
bg,0.288255900144577
um,0.2805429995059967
us,0.2805429995059967
gl,0.27633464336395264
sk,0.2699754536151886
in,0.2695711553096771
bt,0.26857489347457886
ni,0.2667444348335266
cz,0.26390010118484497
uz,0.26185011863708496
si,0.2534676194190979
cl,0.25273218750953674
dz,0.23920944333076477
sl,0.23897871375083923
ru,0.23874056339263916
pf,0.23130810260772705
bn,0.2309795618057251
bl,0.2301180064678192
fr,0.2301180064678192
gf,0.2301180064678192
gp,0.2301180064678192
mf,0.2301180064678192
mq,0.2301180064678192
nc,0.2301180064678192
pm,0.2301180064678192
re,0.2301180064678192
yt,0.2301180064678192
pw,0.22758199274539948
km,0.22575466334819794
fi,0.22161397337913513
kz,0.21741172671318054
tv,0.2162080556154251
pa,0.21310490369796753
mc,0.20394939184188843
rs,0.20062346756458282
sv,0.1886054426431656
ls,0.1881209909915924
hu,0.18704934418201447
io,0.18321889638900757
ne,0.18237067759037018
at,0.17506125569343567
nu,0.17266623675823212
cr,0.16365662217140198
bi,0.16244274377822876
cu,0.1582328975200653
id,0.1549910455942154
py,0.1517038345336914
om,0.14756274223327637
ir,0.14602844417095184
gi,0.1447993516921997
mg,0.14342328906059265
bq,0.11893363296985626
nl,0.11893363296985626
sn,0.11406082659959793
th,0.11391982436180115
cf,0.10979877412319183
hn,0.1040094718337059
aq,0.1021832674741745
sc,0.10178311169147491
md,0.09759945422410965
cd,0.09637929499149323
mp,0.09492248296737671
pr,0.0938723236322403
gq,0.09187808632850647
tj,0.08301097899675369
rw,0.06899944692850113
gw,0.06572479009628296
ga,0.06222086399793625
ec,0.05620270222425461
se,0.05613167956471443
kw,0.05610485374927521
hr,0.05323425680398941
ee,0.05315975844860077
dk,0.044217586517333984
co,0.04353349655866623
mm,0.043221063911914825
ua,0.03487071394920349
gb-nir,0.034713760018348694
gb,0.034713760018348694
sh,0.034713760018348694
ki,0.027909304946660995
az,0.027369722723960876
ba,0.025828983634710312
cg,0.01861785352230072
my,0.013654345646500587
ml,0.012027516961097717
do,0.01153353601694107
as,0.01106264442205429
gd,0.008462324738502502
gn,0.006662160158157349
ad,-0.011722255498170853
kp,-0.021116530522704124
sd,-0.02162245474755764
eg,-0.03231966495513916
za,-0.03441040217876434
ye,-0.03608205169439316
is,-0.03728619962930679
st,-0.04089587181806564
np,-0.04198591783642769
ae,-0.04290317744016647
ro,-0.045003682374954224
wf,-0.04912946745753288
bb,-0.05117180198431015
gy,-0.05346209183335304
br,-0.06555220484733582
ax,-0.06555908173322678
gb-wls,-0.06556255370378494
iq,-0.06830564141273499
lt,-0.07216339558362961
sz,-0.07497538626194
xk,-0.0798824280500412
ve,-0.08463685214519501
bv,-0.08665154874324799
no,-0.08665154874324799
sj,-0.08665154874324799
bs,-0.08885730057954788
tf,-0.09043986350297928
ps,-0.09098739922046661
eh,-0.09400767087936401
ch,-0.0941038727760315
lv,-0.09502648562192917
sr,-0.10143065452575684
bh,-0.10191906988620758
td,-0.10423107445240021
bo,-0.10965786874294281
bj,-0.11032528430223465
mn,-0.11135165393352509
cv,-0.11246609687805176
bm,-0.11357180029153824
lk,-0.11528971791267395
gh,-0.12273439764976501
mz,-0.12597514688968658
mk,-0.12626245617866516
mr,-0.1298210471868515
kg,-0.1309223771095276
bz,-0.13766537606716156
sy,-0.1386696994304657
er,-0.1459980309009552
sx,-0.15055060386657715
mu,-0.15320169925689697
gm,-0.15481986105442047
tg,-0.15538468956947327
tz,-0.1610584259033203
bf,-0.1633586287498474
tk,-0.16352522373199463
jm,-0.16432467103004456
hk,-0.1644074022769928
es,-0.17260432243347168
fk,-0.17672386765480042
ck,-0.18109966814517975
kn,-0.18337009847164154
na,-0.18402603268623352
to,-0.18468478322029114
cm,-0.1925516128540039
am,-0.19439396262168884
dm,-0.1944105178117752
sb,-0.19561366736888885
ai,-0.2032504379749298
be,-0.20680385828018188
ph,-0.20725515484809875
et,-0.21245162189006805
tn,-0.21658679842948914
ms,-0.21785590052604675
mh,-0.2237517535686493
pn,-0.2243376225233078
eu,-0.23344191908836365
vg,-0.23356086015701294
mo,-0.23499563336372375
ky,-0.23506370186805725
tr,-0.2353215515613556
sa,-0.23542635142803192
kh,-0.23628321290016174
tl,-0.23724579811096191
gs,-0.24026915431022644
tt,-0.2408936768770218
jo,-0.24229535460472107
tc,-0.2425777167081833
au,-0.2452128827571869
hm,-0.2452128827571869
nz,-0.25589990615844727
cn,-0.25805339217185974
tm,-0.2676827907562256
vn,-0.2734636962413788
af,-0.27430981397628784
ag,-0.276279479265213
ug,-0.27673637866973877
im,-0.2805890440940857
zw,-0.2810172438621521
cx,-0.2812124490737915
by,-0.28230583667755127
mv,-0.2866700291633606
tw,-0.2895849943161011
pt,-0.3057163655757904
vu,-0.30958378314971924
cw,-0.32358863949775696
ht,-0.3280685842037201
la,-0.33465877175331116
zm,-0.34145087003707886
nr,-0.3456190824508667
al,-0.3562701940536499
bd,-0.36013758182525635
ss,-0.36031100153923035
pg,-0.36051347851753235
ma,-0.3730372190475464
de,-0.38187840580940247
ws,-0.39280158281326294
li,-0.4065121114253998
cc,-0.4121324419975281
me,-0.420529842376709
ke,-0.42159590125083923
gu,-0.43302395939826965
ly,-0.44390225410461426
mw,-0.46775341033935547
pk,-0.4829755425453186
ao,-0.48584800958633423
qa,-0.5548986792564392
