Image,Similarity
gt,0.8444944620132446
mx,0.7341293096542358
it,0.718267560005188
ar,0.6452907919883728
fr,0.6397560834884644
pe,0.5059418678283691
kr,0.492482841014862
fj,0.4708252549171448
gr,0.4464845657348633
uy,0.4185651838779449
il,0.4159566164016723
us,0.3858575820922851
ca,0.3758030235767364
pl,0.3687041997909546
cl,0.3351867198944092
pw,0.3271675109863281
jp,0.2837202847003937
cu,0.2761366367340088
kz,0.2743496596813202
id,0.2617465853691101
dz,0.2616871297359466
do,0.2385108768939972
cr,0.2309029549360275
in,0.2294227331876754
tv,0.227272942662239
py,0.1971883773803711
as,0.1697884947061538
ru,0.1490627080202102
th,0.1394268125295639
bz,0.1190833672881126
se,0.0956793427467346
ua,0.0743324309587478
gb,0.0214138366281986
ec,0.0134123861789703
eg,-0.0144912600517272
co,-0.0178201906383037
za,-0.0412246957421302
es,-0.1115738600492477
br,-0.1146906316280365
ug,-0.120319664478302
ve,-0.151443526148796
bo,-0.1712319254875183
jm,-0.1735468655824661
vn,-0.1932551562786102
ht,-0.2146036624908447
sa,-0.227925032377243
sb,-0.2393506169319152
cn,-0.2561424970626831
to,-0.306198239326477
au,-0.3110050857067108
nz,-0.321043312549591
zw,-0.3274636268615722
de,-0.3506998717784881
vu,-0.3658241331577301
ke,-0.3988143801689148
pk,-0.3999248743057251
ws,-0.4121313095092773
ma,-0.4566245079040527
ao,-0.4952052235603332
pg,-0.4953007102012634
