Image,Similarity
bq,0.9999704957008362
hu,0.956899106502533
py,0.9500123262405396
lu,0.9049915075302124
ye,0.8942164778709412
sd,0.8711275458335876
eg,0.8591071367263794
iq,0.8151487708091736
ps,0.8046243190765381
sy,0.7937801480293274
hr,0.7776837348937988
hn,0.7703583240509033
tj,0.7587693333625793
sl,0.7585805058479309
at,0.7542884349822998
eh,0.7512379288673401
ne,0.7381172180175781
ae,0.7131835222244263
in,0.6988402009010315
sv,0.6933410167694092
ni,0.67876797914505
as,0.6696798801422119
jo,0.6116424202919006
kw,0.6098327040672302
uz,0.5878949165344238
lv,0.5824861526489258
gq,0.5729262828826904
bo,0.564103364944458
ar,0.5432147979736328
ls,0.5101734399795532
ir,0.49924904108047485
pf,0.46826595067977905
il,0.43844783306121826
gh,0.42797034978866577
aq,0.41972455382347107
lb,0.4146214723587036
gb-sct,0.4114217460155487
do,0.38483741879463196
dk,0.3676333725452423
bi,0.36533206701278687
ch,0.35392314195632935
sx,0.34890758991241455
sg,0.329029381275177
gm,0.31944236159324646
so,0.30132827162742615
id,0.29955774545669556
mc,0.29049041867256165
gr,0.28574925661087036
fm,0.28343236446380615
fj,0.2669040858745575
hk,0.2625355124473572
bz,0.2528473138809204
ie,0.25185054540634155
ga,0.2506882846355438
ki,0.24578669667243958
ng,0.24135446548461914
dj,0.2341860979795456
la,0.23347124457359314
kh,0.23113606870174408
pa,0.2242870330810547
tn,0.22211168706417084
is,0.2028142809867859
gt,0.1967529058456421
bt,0.19586990773677826
bf,0.19578403234481812
mg,0.19113034009933472
ci,0.18961626291275024
mm,0.18960632383823395
wf,0.18432800471782684
mt,0.18282213807106018
it,0.18197296559810638
km,0.1814180314540863
za,0.18092232942581177
mp,0.17179471254348755
bl,0.1692480444908142
fr,0.1692480444908142
gf,0.1692480444908142
gp,0.1692480444908142
mf,0.1692480444908142
mq,0.1692480444908142
nc,0.1692480444908142
pm,0.1692480444908142
re,0.1692480444908142
yt,0.1692480444908142
ba,0.16850590705871582
es,0.16800935566425323
by,0.16333109140396118
sm,0.16195005178451538
bv,0.14993435144424438
no,0.14993435144424438
sj,0.14993435144424438
mo,0.14732258021831512
bs,0.14331385493278503
gl,0.14299365878105164
je,0.13995832204818726
io,0.13425001502037048
cy,0.13253535330295563
tv,0.13200223445892334
lr,0.12312884628772736
pw,0.12105737626552582
mh,0.120449498295784
gw,0.12038692831993103
nf,0.11893363296985626
pr,0.1188594400882721
kg,0.1069197952747345
va,0.10608191043138504
mk,0.10553339123725891
um,0.10332280397415161
us,0.10332280397415161
kp,0.09945148229598999
se,0.09703624248504639
gb-nir,0.09400089085102081
gb,0.09400089085102081
sh,0.09400089085102081
im,0.09321292489767075
pl,0.09286145865917206
tr,0.08872807025909424
dz,0.08446945250034332
cx,0.08323222398757935
vn,0.08294636011123657
af,0.07958850264549255
kr,0.07751120626926422
cv,0.0767931416630745
uy,0.07338821887969971
sc,0.06987326592206955
kz,0.06649668514728546
st,0.06577403843402863
jm,0.06526784598827362
xk,0.06497472524642944
tl,0.062171414494514465
cf,0.06139091029763222
mu,0.060917094349861145
tf,0.056891992688179016
mx,0.05647050961852074
ss,0.05636409670114517
cu,0.053158313035964966
ec,0.05245540291070938
lk,0.049032941460609436
ai,0.04760117083787918
co,0.04493163526058197
pt,0.04071766138076782
cd,0.034432947635650635
me,0.03239832818508148
bm,0.028699513524770737
pe,0.024714471772313118
gu,0.022979900240898132
aw,0.021208956837654114
ag,0.018465563654899597
ax,0.0184289813041687
na,0.015554076060652733
vi,0.01382860541343689
bh,0.012524079531431198
fk,0.011932887136936188
gy,0.007692314684391022
gi,0.003503981977701187
cl,0.0012121200561523438
tc,0.0011612316593527794
cn,-0.003138408064842224
rs,-0.00419200211763382
ro,-0.0073034316301345825
gn,-0.01082293689250946
nu,-0.012143030762672424
mw,-0.013633757829666138
mr,-0.014320865273475647
bd,-0.014550164341926575
nr,-0.015559441410005093
ml,-0.01614336669445038
ms,-0.023311737924814224
dm,-0.024031858891248703
cm,-0.025013118982315063
ad,-0.026058079674839973
ao,-0.02878493070602417
mn,-0.03080509603023529
np,-0.030889732763171196
pg,-0.033599838614463806
gb-wls,-0.034681037068367004
sn,-0.03509565815329552
lc,-0.035219743847846985
be,-0.03557424992322922
sz,-0.037615031003952026
pn,-0.0379929281771183
td,-0.039395771920681
ck,-0.039903782308101654
er,-0.04086998105049133
ge,-0.042752955108881
au,-0.04310440272092819
hm,-0.04310440272092819
et,-0.04360150173306465
rw,-0.04481463134288788
br,-0.04580444097518921
tt,-0.04606931284070015
gg,-0.04767674207687378
cg,-0.05081768333911896
ky,-0.0540342815220356
bj,-0.05735989660024643
nz,-0.057699888944625854
bn,-0.058621883392333984
ca,-0.06217177212238312
gs,-0.06350287050008774
jp,-0.06456193327903748
my,-0.0659792572259903
vu,-0.06836006045341492
to,-0.07044088840484619
gb-eng,-0.07084421813488007
vg,-0.07605013251304626
vc,-0.07718315720558167
ke,-0.08013982325792313
fo,-0.0861838310956955
tg,-0.08955387026071548
cz,-0.09037808328866959
pk,-0.09247631579637527
sa,-0.0989387035369873
eu,-0.10655460506677628
ma,-0.1203489899635315
qa,-0.12077071517705917
mv,-0.12415879219770432
ph,-0.1275879591703415
md,-0.1282782405614853
ht,-0.13773790001869202
sb,-0.13806232810020447
tk,-0.15926165878772736
az,-0.161268413066864
bw,-0.16838212311267853
bb,-0.1684991866350174
cr,-0.16954395174980164
gd,-0.17208907008171082
am,-0.17774221301078796
tw,-0.1787371039390564
sr,-0.18532243371009827
cw,-0.19422899186611176
ws,-0.20325005054473877
al,-0.20803490281105042
si,-0.21111628413200378
tz,-0.2150121033191681
sk,-0.22733260691165924
om,-0.22996489703655243
ly,-0.236154705286026
ug,-0.2409747838973999
cc,-0.2486211061477661
ua,-0.24995499849319458
ve,-0.25551357865333557
tm,-0.2556063234806061
fi,-0.26632392406463623
de,-0.3060356378555298
zm,-0.328046053647995
li,-0.3419226408004761
bg,-0.35330846905708313
kn,-0.35932040214538574
zw,-0.3805680274963379
lt,-0.3864811360836029
ru,-0.4193404018878937
th,-0.44352078437805176
mz,-0.6604136228561401
ee,-0.7296127676963806
