Image,Similarity
au,0.3043089509010315
hm,0.3043089509010315
nz,0.2963472306728363
is,0.2652975916862488
bd,0.2567923665046692
ms,0.25213930010795593
gs,0.22856183350086212
ky,0.22080036997795105
ck,0.2195935994386673
vg,0.21653680503368378
tc,0.21635670959949493
fk,0.20928022265434265
pn,0.20550622045993805
ai,0.20304442942142487
qa,0.19919897615909576
er,0.19497090578079224
sx,0.19252663850784302
eu,0.18434889614582062
ht,0.18370629847049713
li,0.17689499258995056
ax,0.17073199152946472
kp,0.1685541421175003
tf,0.16845783591270447
gb-nir,0.1678611785173416
gb,0.1678611785173416
sh,0.1678611785173416
ee,0.16484907269477844
tv,0.1615472137928009
kh,0.16002093255519867
cu,0.15375778079032898
mz,0.1506364792585373
gu,0.1368376910686493
cw,0.13557502627372742
nr,0.13516230881214142
ph,0.134304940700531
ke,0.13355091214179993
tr,0.13312694430351257
de,0.13246162235736847
rs,0.13210009038448334
mn,0.12882587313652039
bh,0.12536516785621643
se,0.12389688193798065
ge,0.12301196157932281
to,0.11932310461997986
mw,0.11836901307106018
mt,0.11719761788845062
bz,0.11693187057971954
cd,0.11446766555309296
mg,0.11369813233613968
cf,0.10978122800588608
mp,0.10906956344842911
io,0.10766272991895676
mh,0.10306749492883682
pw,0.10024015605449677
cn,0.09686072915792465
gb-eng,0.09615926444530487
ma,0.0958278477191925
bm,0.09343923628330231
tt,0.09301779419183731
na,0.08780668675899506
bw,0.08617290109395981
cr,0.08165045082569122
cv,0.08145815134048462
th,0.08070879429578781
al,0.07912717014551163
am,0.07890259474515915
dk,0.07764413207769394
ss,0.07304723560810089
me,0.07256285101175308
tm,0.07146899402141571
gm,0.06732749193906784
sv,0.06452526897192001
ao,0.06369306147098541
im,0.06310500204563141
bv,0.06024143099784851
no,0.06024143099784851
sj,0.06024143099784851
tl,0.05984475836157799
ls,0.05914745852351189
fj,0.05654960870742798
xk,0.05462648719549179
ci,0.054055504500865936
af,0.052954066544771194
pf,0.052317019551992416
ag,0.050875477492809296
uy,0.0477018728852272
wf,0.04757513850927353
mc,0.0472690612077713
id,0.04512806236743927
so,0.04213792830705643
sk,0.04198212921619415
gb-sct,0.040984466671943665
kr,0.035126522183418274
dj,0.03345772624015808
hn,0.03339796140789986
