Image,Similarity
au,0.9701448678970336
tv,0.5615348815917969
sa,0.3796890377998352
ao,0.3489623665809631
sb,0.3053800463676452
vu,0.2843447625637054
pk,0.2655406296253204
pg,0.2383317053318023
fj,0.209328293800354
bz,0.1987491995096206
ke,0.1835317611694336
ht,0.1189582645893096
kz,0.1184912323951721
to,0.103047601878643
za,0.0998096913099289
se,0.0795654654502868
ru,0.0702426359057426
ve,0.0691905692219734
eg,0.0534352026879787
br,0.0404804497957229
jm,0.0221333466470241
co,0.0056977001950144
py,1.5391036868095398e-05
uy,-0.0102981803938746
pw,-0.0190241392701864
bo,-0.0199814345687627
ma,-0.0239619985222816
gb,-0.029786080121994
cu,-0.0491763576865196
zw,-0.0569835267961025
th,-0.057689145207405
ws,-0.0780414417386055
as,-0.0894811302423477
il,-0.114847794175148
ec,-0.1151667386293411
ug,-0.1155932769179344
cr,-0.1156957373023033
in,-0.1254498958587646
gr,-0.1283415853977203
cn,-0.1704956293106079
pl,-0.1768829524517059
do,-0.1965351998805999
de,-0.2067637145519256
kr,-0.2132052183151245
vn,-0.215932548046112
cl,-0.2471437007188797
ar,-0.2733493447303772
mx,-0.2765887975692749
gt,-0.2773212194442749
fr,-0.2820844054222107
pe,-0.2978388667106628
it,-0.3089662790298462
jp,-0.3116824626922607
es,-0.3131932020187378
ua,-0.3142600655555725
ng,-0.321043312549591
dz,-0.3431114852428436
us,-0.3775110244750976
ca,-0.3782839477062225
id,-0.4227727949619293
