Image,Similarity
az,0.5177950263023376
gb-wls,0.5040822625160217
pl,0.47052910923957825
cz,0.46388110518455505
by,0.45183897018432617
cl,0.40331342816352844
ru,0.39480865001678467
sk,0.3607517182826996
bg,0.3562440574169159
gw,0.32641923427581787
sr,0.31155499815940857
sm,0.3101220726966858
dj,0.29972967505455017
gi,0.29955485463142395
cr,0.29534393548965454
km,0.2845683693885803
gg,0.27313849329948425
ao,0.2673555910587311
gl,0.2654670178890228
ca,0.2620258033275604
gb-eng,0.26062431931495667
ge,0.25686636567115784
bn,0.2531784772872925
mg,0.247152179479599
jp,0.2450110763311386
pg,0.23668207228183746
bf,0.23499611020088196
to,0.23196712136268616
si,0.22700445353984833
sc,0.22216863930225372
in,0.21453164517879486
st,0.20046937465667725
gy,0.1984775960445404
cy,0.19532272219657898
zw,0.19404257833957672
ax,0.18750205636024475
gh,0.18001055717468262
bt,0.17848289012908936
fo,0.1783064305782318
co,0.17766499519348145
va,0.16612699627876282
vu,0.16560021042823792
bj,0.1649220883846283
nu,0.16317220032215118
kp,0.16310226917266846
bm,0.15164610743522644
vc,0.14992108941078186
cn,0.1495029330253601
ba,0.14942307770252228
nf,0.14756274223327637
pe,0.14189335703849792
ml,0.135858416557312
md,0.1333320140838623
bo,0.13283555209636688
bs,0.13280273973941803
th,0.1278807520866394
lr,0.1277393102645874
gn,0.12354450672864914
bd,0.1225242167711258
bh,0.12190165370702744
jm,0.12118367850780487
wf,0.11897381395101547
vi,0.11775919049978256
je,0.11526460945606232
lk,0.11525629460811615
kg,0.11425657570362091
td,0.11365622282028198
gb-nir,0.11270839720964432
gb,0.11270839720964432
sh,0.11270839720964432
ro,0.11145215481519699
sn,0.10982614755630493
mx,0.10771040618419647
er,0.10526059567928314
tw,0.10471181571483612
bw,0.1044016107916832
mk,0.10231834650039673
ec,0.10107338428497314
kr,0.10048088431358337
ke,0.0958174467086792
rw,0.0953473225235939
ad,0.09524187445640564
mt,0.09224773943424225
ie,0.08634825050830841
be,0.08530755341053009
tg,0.08477561175823212
tl,0.08365269750356674
mu,0.0777842327952385
vn,0.07613338530063629
ci,0.07482840120792389
na,0.0740688368678093
se,0.07060196995735168
cm,0.069050133228302
dm,0.06856808066368103
tr,0.06838881224393845
lc,0.06648619472980499
fi,0.06542842090129852
ne,0.06443041563034058
im,0.06389279663562775
pa,0.06171046942472458
sz,0.06044229120016098
it,0.06034345179796219
mw,0.05894026905298233
gt,0.05865885317325592
bl,0.05854234844446182
fr,0.05854234844446182
gf,0.05854234844446182
gp,0.05854234844446182
mf,0.05854234844446182
mq,0.05854234844446182
nc,0.05854234844446182
pm,0.05854234844446182
re,0.05854234844446182
yt,0.05854234844446182
pw,0.05756150186061859
ng,0.0558498352766037
ma,0.05244910717010498
sb,0.04951222985982895
dz,0.04944729059934616
tc,0.049114782363176346
cd,0.04817052185535431
pt,0.04716665297746658
lt,0.04655198007822037
sx,0.046241436153650284
ai,0.04161079600453377
br,0.040538541972637177
gs,0.040200117975473404
bb,0.03970390930771828
cu,0.03688807040452957
ck,0.035850778222084045
es,0.03534729778766632
fk,0.0335768423974514
uy,0.03252613544464111
uz,0.02918987348675728
um,0.02818138152360916
us,0.02818138152360916
pn,0.02595912478864193
nz,0.022400926798582077
ar,0.021005451679229736
vg,0.019845783710479736
gd,0.019832581281661987
qa,0.015992820262908936
ve,0.015350136905908585
ms,0.015349711291491985
au,0.013778915628790855
hm,0.013778915628790855
ky,0.013221435248851776
ug,0.01227269321680069
hk,0.004917897284030914
cg,0.004600204527378082
me,0.0005584806203842163
al,-0.0012996643781661987
za,-0.003139602020382881
kh,-0.004331424832344055
tn,-0.00440555065870285
ly,-0.005519241094589233
sd,-0.012474924325942993
eg,-0.013204297050833702
is,-0.013698868453502655
cf,-0.013824991881847382
ga,-0.017739668488502502
tt,-0.022507503628730774
ws,-0.025125809013843536
pr,-0.03054043836891651
gr,-0.031533390283584595
sy,-0.031615398824214935
iq,-0.032509345561265945
ss,-0.033064715564250946
tj,-0.03494369238615036
ye,-0.0352516695857048
fm,-0.03568205237388611
ch,-0.03584934398531914
mz,-0.03707556426525116
kz,-0.039967432618141174
xk,-0.04288081079721451
zm,-0.04554976522922516
il,-0.0536271333694458
io,-0.05434494465589523
kn,-0.05766507238149643
dk,-0.05845757946372032
gb-sct,-0.062407977879047394
cc,-0.06743043661117554
my,-0.06850707530975342
tz,-0.06860485672950745
ls,-0.06920050829648972
tm,-0.0734531581401825
hr,-0.07383642345666885
fj,-0.07753515243530273
gm,-0.08464481681585312
mm,-0.08887261152267456
af,-0.08941756933927536
aq,-0.0897289291024208
ae,-0.09142118692398071
tv,-0.09303733706474304
do,-0.09616123884916306
pf,-0.09641031175851822
sa,-0.09968455135822296
mp,-0.10998457670211792
lu,-0.11000809818506241
ni,-0.11360248923301697
tf,-0.11788593232631683
so,-0.12026093900203705
bi,-0.12444280087947845
np,-0.125703826546669
aw,-0.12653769552707672
hu,-0.13502192497253418
ua,-0.1365027278661728
bv,-0.13685764372348785
no,-0.13685764372348785
sj,-0.13685764372348785
mn,-0.13911327719688416
de,-0.15288971364498138
py,-0.15391403436660767
tk,-0.1578340083360672
cx,-0.15827317535877228
lb,-0.15844205021858215
ph,-0.16562987864017487
sv,-0.16637328267097473
nr,-0.1675560027360916
bz,-0.16916519403457642
li,-0.17089790105819702
ee,-0.17432820796966553
sl,-0.18188504874706268
ir,-0.18307074904441833
mh,-0.18341496586799622
pk,-0.1874677985906601
ki,-0.18819105625152588
as,-0.19041121006011963
lv,-0.19226866960525513
eu,-0.1954079270362854
mr,-0.1985314041376114
mo,-0.20221218466758728
hn,-0.20603159070014954
sg,-0.21649977564811707
cw,-0.21849116683006287
gu,-0.2184913158416748
bq,-0.22996489703655243
nl,-0.22996489703655243
cv,-0.23183394968509674
ht,-0.232060968875885
at,-0.24594420194625854
la,-0.24926581978797913
id,-0.2514929175376892
et,-0.2519395053386688
jo,-0.26966506242752075
mv,-0.2833666205406189
mc,-0.3120418190956116
rs,-0.3189862370491028
am,-0.32572463154792786
eh,-0.33444327116012573
gq,-0.3457443118095398
ps,-0.3565262258052826
kw,-0.3631446957588196
ag,-0.4938160479068756
