Image,Similarity
ie,0.3400264382362366
mx,0.3177504241466522
it,0.3048909902572632
gt,0.3016228675842285
ng,0.29889222979545593
lu,0.2966766953468323
cy,0.29616913199424744
bl,0.29543834924697876
fr,0.29543834924697876
gf,0.29543834924697876
gp,0.29543834924697876
mf,0.29543834924697876
mq,0.29543834924697876
nc,0.29543834924697876
pm,0.29543834924697876
re,0.29543834924697876
yt,0.29543834924697876
ar,0.28956839442253113
sm,0.2827940583229065
je,0.27883321046829224
fm,0.26928675174713135
sc,0.26916709542274475
kr,0.2558682858943939
sg,0.253231942653656
hu,0.23850002884864807
py,0.23012979328632355
uy,0.226830393075943
bq,0.2242870330810547
nl,0.2242870330810547
nf,0.21310490369796753
pe,0.20901642739772797
at,0.20705050230026245
ba,0.2065637856721878
il,0.20224271714687347
lr,0.19536903500556946
in,0.19271372258663177
dz,0.19118660688400269
ca,0.18803299963474274
so,0.1873609870672226
id,0.18682381510734558
mc,0.18484893441200256
mt,0.18406972289085388
vi,0.1805773377418518
ni,0.17926925420761108
hr,0.17676444351673126
sl,0.1766047328710556
aq,0.17461003363132477
pl,0.17292338609695435
ci,0.1723639816045761
fo,0.16873449087142944
jp,0.16719822585582733
to,0.16490578651428223
ne,0.16455072164535522
pr,0.16392821073532104
tj,0.16174918413162231
gb-eng,0.15703850984573364
sn,0.15680751204490662
pf,0.15495210886001587
gg,0.15396173298358917
ge,0.15318867564201355
lb,0.1504565179347992
hn,0.14966675639152527
sd,0.1430383175611496
sv,0.14291709661483765
va,0.1411665976047516
ye,0.14049972593784332
uz,0.13981397449970245
fj,0.13770538568496704
fi,0.136878103017807
dk,0.1367998868227005
gr,0.1365693211555481
rs,0.13187402486801147
iq,0.1309162825345993
ki,0.1287052482366562
tf,0.12722277641296387
ad,0.12645167112350464
eg,0.12557362020015717
as,0.12467792630195618
io,0.12125939130783081
gb-sct,0.1207602247595787
ck,0.12062080949544907
ky,0.12025018036365509
ro,0.11822280287742615
ch,0.11540188640356064
lc,0.1130961999297142
pn,0.11223595589399338
wf,0.11024130880832672
bi,0.1078098714351654
sy,0.10771100968122482
cd,0.10709723085165024
um,0.10630370676517487
us,0.10630370676517487
ml,0.10284948348999023
ls,0.10236901044845581
fk,0.10209737718105316
bm,0.1014174222946167
aw,0.10116006433963776
be,0.09996151924133301
mm,0.09987007826566696
ai,0.09906236827373505
tz,0.09893308579921722
bn,0.09810798615217209
mp,0.09771423041820526
gs,0.09736882150173187
vg,0.0943085327744484
bw,0.0925980806350708
tc,0.09250529110431671
co,0.09193252772092819
gb-wls,0.08455739170312881
kz,0.08433589339256287
ir,0.08312418311834335
lv,0.08283393085002899
cr,0.08070133626461029
bf,0.08037671446800232
si,0.08010309934616089
tv,0.07802069932222366
td,0.07761732488870621
do,0.07581566274166107
hk,0.07448301464319229
ms,0.0736834779381752
km,0.07296758890151978
sk,0.07082869857549667
nz,0.0689719021320343
sx,0.06882508099079132
gq,0.06542330980300903
kw,0.06369677186012268
bv,0.0627598762512207
no,0.0627598762512207
sj,0.0627598762512207
om,0.06171046942472458
ec,0.06153245270252228
md,0.06137506663799286
mg,0.06063378229737282
cz,0.058849118649959564
au,0.05469900369644165
hm,0.05469900369644165
bz,0.054637469351291656
cu,0.054248351603746414
ps,0.0535455048084259
gw,0.053193267434835434
kp,0.04647735506296158
ru,0.0461297444999218
tn,0.04538325220346451
ae,0.04362775385379791
bo,0.042850762605667114
vc,0.041388139128685
bg,0.04058003053069115
gi,0.03937108442187309
gb-nir,0.0380704365670681
gb,0.0380704365670681
sh,0.0380704365670681
za,0.03803814575076103
eh,0.03618309274315834
pw,0.03520248457789421
kg,0.03459613025188446
nu,0.03155088424682617
pt,0.028213828802108765
kh,0.025786634534597397
cm,0.02318083494901657
gm,0.021595023572444916
gh,0.019930057227611542
bt,0.018976952880620956
cl,0.017064861953258514
cf,0.014523722231388092
sz,0.013303685933351517
ga,0.012929931282997131
bh,0.007974304258823395
es,0.007388085126876831
tr,0.005538135766983032
bj,-0.0016798153519630432
la,-0.002521091140806675
by,-0.003678619861602783
xk,-0.005112051963806152
th,-0.00620302464812994
mk,-0.006320290267467499
cn,-0.00689426064491272
dj,-0.007773492485284805
bb,-0.008558008819818497
im,-0.009896114468574524
jo,-0.012380216270685196
is,-0.015617238357663155
bs,-0.017292611300945282
az,-0.025735102593898773
vn,-0.02641317993402481
gd,-0.0277724452316761
lk,-0.0320674292743206
tl,-0.03212609142065048
mn,-0.03609833866357803
af,-0.03852951526641846
ag,-0.04288506507873535
gn,-0.04324140399694443
ve,-0.0511639229953289
sr,-0.05269321799278259
gy,-0.05283060669898987
er,-0.05310630053281784
vu,-0.06064576283097267
tw,-0.06458918005228043
se,-0.0658135637640953
mo,-0.07406182587146759
mh,-0.07620637863874435
br,-0.07625872641801834
am,-0.07686363160610199
cx,-0.07912927865982056
st,-0.07935070991516113
my,-0.08095930516719818
mu,-0.08322348445653915
me,-0.08454655110836029
ao,-0.08563262224197388
cv,-0.08714644610881805
lt,-0.08717024326324463
ss,-0.09021782875061035
dm,-0.09192545711994171
kn,-0.09394118934869766
ax,-0.09624645113945007
ee,-0.09960407763719559
rw,-0.10897868871688843
eu,-0.1092577874660492
ma,-0.11209428310394287
ug,-0.11670109629631042
pk,-0.12022881954908371
et,-0.12066690623760223
gu,-0.12268432974815369
ws,-0.1234358549118042
mr,-0.12537796795368195
tt,-0.12711134552955627
pg,-0.12797026336193085
gl,-0.12987220287322998
tg,-0.1341497302055359
mw,-0.1366921067237854
jm,-0.13819921016693115
mv,-0.14322566986083984
tk,-0.1454060971736908
sa,-0.1459330916404724
na,-0.14918433129787445
qa,-0.14959374070167542
bd,-0.15061572194099426
ke,-0.15091359615325928
al,-0.15375086665153503
ua,-0.15489467978477478
nr,-0.15707546472549438
zw,-0.16364824771881104
ly,-0.16511790454387665
np,-0.16872349381446838
cw,-0.16945813596248627
ht,-0.16972002387046814
ph,-0.17655670642852783
de,-0.19888561964035034
sb,-0.20704814791679382
mz,-0.2160445749759674
zm,-0.2345801293849945
cg,-0.24506519734859467
tm,-0.2788468301296234
li,-0.29037609696388245
cc,-0.29174408316612244
