Image,Similarity
fr,0.786413848400116
it,0.7264447808265686
mx,0.6753629446029663
gt,0.5172857046127319
ng,0.5059418678283691
cl,0.3878946304321289
pl,0.370301216840744
kr,0.3465189039707184
us,0.3055112957954407
id,0.2901535034179687
ca,0.2578926682472229
ar,0.2459106296300888
do,0.2311678379774093
vn,0.2276796102523803
cn,0.2174529731273651
th,0.2108469605445861
cr,0.2049522250890731
fj,0.1906467378139495
uy,0.180695578455925
ru,0.1797789931297302
es,0.1728222817182541
gr,0.1533549129962921
cu,0.1522545367479324
jp,0.1293238699436187
il,0.125286728143692
ec,0.1109388917684555
gb,0.106668546795845
co,0.1036611571907997
ug,0.0968070775270462
ma,0.0813581645488739
dz,0.0605855509638786
ve,0.0479658916592597
in,0.0474712736904621
bz,0.0373147651553154
ua,0.0315376408398151
py,0.0190199613571167
to,0.0043364167213439
zw,0.0003772713243961
pw,-0.0193472951650619
ws,-0.021132655441761
de,-0.0369547829031944
as,-0.056991808116436
se,-0.0715232565999031
za,-0.0728768408298492
ht,-0.077667199075222
eg,-0.0797300860285759
bo,-0.0848688185214996
tv,-0.1012815311551094
ao,-0.1461307555437088
vu,-0.1538813412189483
jm,-0.1705717742443084
ke,-0.1849881559610366
kz,-0.1868564337491989
br,-0.1921496987342834
pg,-0.2035262137651443
au,-0.2847557365894317
nz,-0.2978388667106628
sb,-0.3109399378299713
sa,-0.3615770041942596
pk,-0.3680972456932068
