Image,Similarity
ao,0.6784114837646484
vu,0.5298073291778564
ma,0.5191778540611267
cn,0.4057008326053619
bo,0.4049139618873596
ws,0.3891218900680542
ke,0.355961799621582
to,0.3460268378257751
vn,0.3336842060089111
es,0.3133018016815185
zw,0.2914102673530578
co,0.2714468538761139
eg,0.2540223896503448
ve,0.2537395358085632
nz,0.2383317053318023
au,0.2254044115543365
za,0.2177484035491943
ec,0.1709313690662384
sa,0.1653888970613479
ug,0.1471550464630127
jm,0.1356410086154937
de,0.1282743513584137
sb,0.0909810438752174
br,0.0613704845309257
in,0.0573922991752624
py,0.0446717441082
gb,0.0425005629658699
pk,0.0298418533056974
cl,0.0151327326893806
ht,0.014505922794342
bz,0.0030641928315162
as,-0.0249014720320701
ru,-0.0319857895374298
dz,-0.0644548684358596
pl,-0.0869699046015739
th,-0.0967696905136108
do,-0.1058750599622726
se,-0.1141096800565719
cr,-0.1522047817707061
id,-0.1983488202095031
pe,-0.2035262137651443
fr,-0.2088465094566345
us,-0.223009318113327
cu,-0.2437692582607269
tv,-0.2781583964824676
jp,-0.2924786806106567
kz,-0.2940821647644043
mx,-0.299542635679245
kr,-0.3046613335609436
it,-0.3054565787315368
ca,-0.3430529534816742
ua,-0.3560713827610016
il,-0.3614253997802734
uy,-0.3686267733573913
pw,-0.3709039688110351
fj,-0.3956981301307678
gr,-0.4114288091659546
ng,-0.4953007102012634
ar,-0.5366665124893188
gt,-0.5486564040184021
