Image,Similarity
li,0.7725489139556885
ht,0.6984279155731201
ua,0.5160276889801025
ws,0.4818057715892792
rw,0.42591434717178345
tw,0.3919214606285095
et,0.3600660562515259
qa,0.350227028131485
cv,0.3439124822616577
kw,0.3424738347530365
cw,0.3233731687068939
sb,0.3066239655017853
mz,0.2933008074760437
de,0.2862129211425781
kn,0.2842661440372467
nr,0.28411540389060974
to,0.2826760411262512
ir,0.27815383672714233
al,0.268449604511261
gi,0.2321198582649231
eu,0.23207643628120422
lv,0.22733324766159058
tr,0.22633862495422363
bh,0.22471454739570618
gu,0.20778290927410126
gq,0.2074442207813263
ma,0.20261256396770477
tt,0.19839167594909668
si,0.19652003049850464
az,0.19635920226573944
bm,0.19017058610916138
ae,0.18449771404266357
xk,0.18430112302303314
tl,0.18118759989738464
cf,0.16451621055603027
tk,0.16078367829322815
cn,0.15909695625305176
cl,0.15908931195735931
im,0.15837381780147552
is,0.1567712128162384
mh,0.1522289663553238
ag,0.1495249718427658
me,0.14610791206359863
pl,0.14269359409809113
bd,0.14118289947509766
hn,0.1396598070859909
mn,0.13941234350204468
sv,0.13940586149692535
np,0.134304940700531
aw,0.12750253081321716
ls,0.12197373807430267
dk,0.12171448767185211
bv,0.11991739273071289
no,0.11991739273071289
sj,0.11991739273071289
pk,0.11799370497465134
kp,0.11475653946399689
pt,0.11158658564090729
as,0.11132688820362091
sk,0.10802724957466125
ru,0.1065339520573616
wf,0.10475419461727142
bz,0.10390302538871765
ke,0.10039783269166946
ee,0.09831402450799942
do,0.09806064516305923
tn,0.09173859655857086
kh,0.08702792227268219
cz,0.0862470343708992
gs,0.08319000899791718
mv,0.08262413740158081
la,0.07711809128522873
ms,0.07573619484901428
tf,0.07494892179965973
nz,0.07134006917476654
ni,0.0696156769990921
dm,0.06941591203212738
am,0.06785175949335098
at,0.06784811615943909
na,0.06636287271976471
hk,0.06631042063236237
lc,0.06604552268981934
uz,0.06539921462535858
mw,0.061984628438949585
eh,0.058478984981775284
au,0.057922929525375366
hm,0.057922929525375366
vg,0.056481100618839264
ss,0.05569162219762802
ky,0.05421161279082298
vn,0.05244327336549759
mp,0.0484742633998394
gb-nir,0.04525696113705635
gb,0.04525696113705635
sh,0.04525696113705635
lk,0.04421407729387283
bg,0.043130919337272644
mt,0.04202577471733093
mr,0.041628606617450714
my,0.04055329039692879
er,0.03997841477394104
fk,0.03963155299425125
ps,0.03734659403562546
kg,0.03670421987771988
zm,0.03541380167007446
cg,0.033639077097177505
ck,0.031642548739910126
pn,0.02896701917052269
tc,0.02398126944899559
mu,0.021529987454414368
ai,0.017439668998122215
ch,0.016868194565176964
pf,0.01293418649584055
lb,0.012222431600093842
cm,0.008183375000953674
eg,0.005570709705352783
ax,0.005081320181488991
il,0.003778792917728424
af,0.0036128945648670197
tm,-0.0015320703387260437
iq,-0.004852399230003357
ye,-0.007936634123325348
hr,-0.010879813693463802
zw,-0.011382728815078735
gl,-0.01181416679173708
mk,-0.011907897889614105
cd,-0.012473780661821365
pr,-0.013640433549880981
cr,-0.019901201128959656
sa,-0.023671582341194153
mo,-0.02768540382385254
se,-0.02937266044318676
cx,-0.03252597898244858
sd,-0.03280409425497055
sz,-0.03352870047092438
br,-0.03465750813484192
dj,-0.03744262456893921
es,-0.0387677401304245
sy,-0.04298607259988785
so,-0.04323650896549225
aq,-0.05446677282452583
ve,-0.0560295432806015
cc,-0.0572536438703537
bb,-0.059086356312036514
gb-wls,-0.06260696053504944
um,-0.06400961428880692
us,-0.06400961428880692
jo,-0.06414121389389038
sr,-0.06607512384653091
ao,-0.06806818395853043
lr,-0.07030493021011353
pg,-0.07660847902297974
ga,-0.07888905704021454
ug,-0.08075250685214996
uy,-0.0813324898481369
jp,-0.08246569335460663
ly,-0.08538756519556046
io,-0.08553166687488556
tz,-0.08870911598205566
bj,-0.09069175273180008
cu,-0.09219889342784882
jm,-0.09545570611953735
ar,-0.0988098606467247
th,-0.10383652150630951
je,-0.10702122747898102
gb-sct,-0.10768328607082367
pw,-0.10804246366024017
rs,-0.10861848294734955
bi,-0.11106424033641815
gr,-0.11446292698383331
tg,-0.12227395176887512
bq,-0.1275879591703415
nl,-0.1275879591703415
ge,-0.12976545095443726
ad,-0.1298108696937561
fm,-0.1321972906589508
pe,-0.1354002058506012
bt,-0.1356189250946045
tj,-0.1366361677646637
sl,-0.13950105011463165
st,-0.14158162474632263
fi,-0.14218351244926453
hu,-0.1438363790512085
md,-0.15281613171100616
gm,-0.1529754400253296
kz,-0.15310348570346832
bw,-0.15836374461650848
td,-0.1586601734161377
kr,-0.1598237007856369
be,-0.1615021824836731
ro,-0.1622246652841568
om,-0.16562987864017487
ca,-0.16583611071109772
nu,-0.16695523262023926
fo,-0.17133235931396484
pa,-0.17655670642852783
gb-eng,-0.1803903430700302
lt,-0.18285691738128662
sx,-0.19780734181404114
gy,-0.1978117823600769
gg,-0.19882002472877502
za,-0.19954827427864075
bl,-0.19993917644023895
fr,-0.19993917644023895
