Image,Similarity
sa,0.345711201429367
sb,0.2963322401046753
nz,0.2655406296253204
au,0.2638845443725586
ke,0.2546361684799194
ao,0.1810958832502365
jm,0.1597739309072494
vu,0.1370215117931366
br,0.1259642243385315
kz,0.1135526299476623
de,0.1061465591192245
zw,0.093250960111618
ht,0.0900603532791137
ug,0.0899788215756416
tv,0.0708691328763961
bz,0.0534665398299694
as,0.0388274639844894
pg,0.0298418533056974
za,0.0294747985899448
cu,0.0210008695721626
ua,0.0176965557038784
ws,0.0105299912393093
bo,0.0029253773391246
se,-0.0046080164611339
pw,-0.0207515880465507
ma,-0.0569252111017704
th,-0.0586876422166824
ve,-0.0664093270897865
eg,-0.0722197294235229
to,-0.0763911455869674
es,-0.0832954347133636
cr,-0.0883027017116546
gb,-0.0943783074617385
vn,-0.1043526455760002
do,-0.1169385015964508
py,-0.1222168207168579
ec,-0.13026162981987
co,-0.1313925981521606
il,-0.1330038607120514
uy,-0.1408153027296066
fj,-0.1536770910024643
gr,-0.1674560606479644
cn,-0.1779861152172088
in,-0.183658480644226
ru,-0.2017154395580291
dz,-0.2111334502696991
id,-0.2156162858009338
us,-0.2480342090129852
ar,-0.2859455347061157
it,-0.2992206513881683
fr,-0.3072812557220459
gt,-0.3342394530773163
jp,-0.3363303244113922
cl,-0.3409671187400818
kr,-0.3518528640270233
pl,-0.3599304854869842
ca,-0.3615682721138
pe,-0.3680972456932068
ng,-0.3999248743057251
mx,-0.4012172818183899
