Image,Similarity
bi,0.5006862282752991
lb,0.48840633034706116
th,0.477713942527771
pf,0.4702858030796051
cu,0.393183171749115
at,0.3195313513278961
cz,0.318082720041275
cr,0.31098055839538574
ie,0.30565932393074036
bt,0.3046509027481079
bl,0.3012494146823883
fr,0.3012494146823883
gf,0.3012494146823883
gp,0.3012494146823883
mf,0.3012494146823883
mq,0.3012494146823883
nc,0.3012494146823883
pm,0.3012494146823883
re,0.3012494146823883
yt,0.3012494146823883
hk,0.2888588607311249
gb-eng,0.2888147532939911
ge,0.2846241593360901
it,0.2828369736671448
mm,0.2694095969200134
sg,0.2684929668903351
si,0.2682621479034424
mx,0.26732391119003296
gd,0.2590354084968567
gt,0.2581246793270111
ch,0.25453460216522217
pl,0.25215020775794983
mt,0.25131282210350037
fo,0.24924902617931366
pe,0.24566519260406494
cl,0.2443874478340149
tn,0.2433260977268219
ad,0.23893333971500397
gg,0.23881438374519348
gl,0.23809334635734558
sn,0.23585627973079681
ng,0.23504549264907837
mc,0.2281644344329834
ir,0.22630104422569275
es,0.22503972053527832
id,0.22484055161476135
ru,0.22002096474170685
tj,0.21870791912078857
kg,0.21540074050426483
fi,0.21115031838417053
ro,0.2075595110654831
im,0.2067769169807434
gb-nir,0.2052568793296814
gb,0.2052568793296814
sh,0.2052568793296814
ba,0.2044455111026764
tr,0.2044200450181961
mr,0.20382334291934967
la,0.20176902413368225
cy,0.19979828596115112
wf,0.19677475094795227
um,0.19488833844661713
us,0.19488833844661713
bj,0.19037550687789917
be,0.19019493460655212
am,0.18882901966571808
gm,0.18850427865982056
ec,0.18352152407169342
as,0.18336431682109833
ag,0.18208806216716766
bg,0.18191485106945038
km,0.18040731549263
hu,0.1802617907524109
il,0.17354917526245117
co,0.17296969890594482
sc,0.17261828482151031
td,0.1700405776500702
ug,0.16818028688430786
fm,0.16629363596439362
ve,0.1652965396642685
pa,0.16392821073532104
cn,0.16362622380256653
ar,0.16239598393440247
ca,0.16099584102630615
ml,0.15943694114685059
cg,0.15768253803253174
md,0.1573525369167328
aq,0.15726688504219055
cm,0.15539014339447021
sm,0.15032705664634705
uy,0.1501043438911438
sr,0.14970612525939941
tw,0.1495196521282196
lr,0.148054301738739
my,0.14727404713630676
bm,0.14663589000701904
mk,0.1465662121772766
lu,0.14609016478061676
sk,0.1459086537361145
bw,0.1405046284198761
je,0.14046762883663177
nu,0.13863031566143036
gq,0.132680743932724
dk,0.13181021809577942
bh,0.12962877750396729
bv,0.12955641746520996
no,0.12955641746520996
sj,0.12955641746520996
in,0.1287159025669098
lc,0.12831154465675354
va,0.12810978293418884
gi,0.12678158283233643
cf,0.1260373443365097
dz,0.12323235720396042
pt,0.1218828335404396
ci,0.12170353531837463
bq,0.1188594400882721
nl,0.1188594400882721
rs,0.11837439984083176
py,0.11831222474575043
ws,0.11624874174594879
vn,0.11612118780612946
me,0.11575165390968323
hr,0.11260174214839935
lt,0.11253514140844345
tl,0.10753954946994781
za,0.10688725858926773
mv,0.10634201020002365
gr,0.1038094311952591
kr,0.10235956311225891
gb-sct,0.09638753533363342
bz,0.09621813893318176
vc,0.09532858431339264
kw,0.09517578780651093
nf,0.0938723236322403
iq,0.08965245634317398
bn,0.08952892571687698
sy,0.085358165204525
ne,0.08395849168300629
ye,0.08120609819889069
sd,0.07230035960674286
ma,0.07070577144622803
to,0.0700988918542862
eg,0.06945432722568512
tk,0.0657726600766182
do,0.06403885781764984
jp,0.06158481165766716
mp,0.06024261936545372
fj,0.055916085839271545
al,0.05306149274110794
ki,0.049683600664138794
aw,0.043007660657167435
af,0.04254255071282387
lk,0.03771200776100159
bb,0.037345804274082184
vi,0.03713882714509964
so,0.03392433375120163
tt,0.02596861496567726
pg,0.014754816889762878
et,0.012721635401248932
gn,0.00570794939994812
mg,0.004566479474306107
io,-0.008443988859653473
ua,-0.009047359228134155
ss,-0.012862585484981537
qa,-0.013301720842719078
lv,-0.013526542112231255
ph,-0.013640433549880981
hn,-0.014495722949504852
ls,-0.01818220689892769
zw,-0.025978825986385345
sl,-0.02869933843612671
om,-0.03054043836891651
sx,-0.031995419412851334
ht,-0.03336662799119949
ni,-0.033490873873233795
kn,-0.03453913331031799
sv,-0.04804428666830063
mz,-0.052563704550266266
ee,-0.05532997101545334
tg,-0.05557401478290558
mu,-0.05949776992201805
gw,-0.06267192959785461
uz,-0.06681294739246368
bo,-0.07049910724163055
xk,-0.07056448608636856
ao,-0.07334503531455994
ae,-0.07595111429691315
ke,-0.0761956050992012
gb-wls,-0.07933472096920013
pk,-0.0856228768825531
ax,-0.08581486344337463
de,-0.0876849815249443
np,-0.08913277089595795
bf,-0.09005405008792877
gy,-0.09117729216814041
gh,-0.0914544016122818
ps,-0.0915350615978241
cv,-0.09724454581737518
li,-0.09921427071094513
tf,-0.09949697554111481
by,-0.10434097796678543
eh,-0.11303550004959106
kz,-0.11496458947658539
is,-0.11539975553750992
mn,-0.12587319314479828
rw,-0.12785468995571136
tv,-0.12877157330513
dj,-0.1304508000612259
mh,-0.13145041465759277
vu,-0.13461606204509735
kp,-0.16970355808734894
cw,-0.1712254136800766
jo,-0.1727304756641388
kh,-0.17289169132709503
sz,-0.1782134771347046
fk,-0.1786200851202011
na,-0.17901389300823212
az,-0.17995880544185638
ck,-0.18659572303295135
cx,-0.18837270140647888
ai,-0.1946239173412323
dm,-0.19464179873466492
mw,-0.194981649518013
ky,-0.19527968764305115
se,-0.19719159603118896
eu,-0.20121882855892181
cd,-0.20461833477020264
mo,-0.2051326334476471
gu,-0.2106086015701294
br,-0.21157684922218323
vg,-0.21767288446426392
tc,-0.21772877871990204
gs,-0.22493983805179596
pn,-0.2250225991010666
sb,-0.225680410861969
ga,-0.22990889847278595
sa,-0.23140914738178253
ly,-0.23215115070343018
st,-0.23373167216777802
ms,-0.24499355256557465
pw,-0.24890649318695068
er,-0.24891462922096252
bs,-0.25563663244247437
zm,-0.25595080852508545
nz,-0.26077452301979065
au,-0.26324087381362915
hm,-0.26324087381362915
tz,-0.289165735244751
nr,-0.29284605383872986
bd,-0.29382508993148804
jm,-0.3666602373123169
tm,-0.3758007287979126
cc,-0.3811732828617096
