Image,Similarity
eg,0.8348599672317505
in,0.7009357810020447
bo,0.6054706573486328
as,0.5830632448196411
ar,0.5196374654769897
il,0.4224060773849487
do,0.3431337475776672
id,0.2926960289478302
fj,0.2729414999485016
gr,0.2720434665679931
za,0.2698539495468139
bz,0.2125492990016937
ng,0.1971883773803711
gt,0.1767349988222122
tv,0.1579395532608032
es,0.1387195885181427
it,0.1285468488931656
fr,0.1177026480436325
gb,0.1169261708855629
co,0.1124028265476226
kr,0.1097580641508102
pw,0.1076644510030746
ec,0.1025951877236366
dz,0.0937639027833938
cu,0.0810802280902862
pl,0.0793205201625824
se,0.0788503959774971
uy,0.0724148899316787
us,0.0699915438890457
kz,0.0640256032347679
mx,0.0621787831187248
pg,0.0446717441082
vn,0.0432543754577636
ao,0.033168226480484
jm,0.0297025442123413
pe,0.0190199613571167
au,0.0137770101428031
vu,0.0105015784502029
nz,1.5391036868095398e-05
cn,-0.0002090036869049
jp,-0.0226188376545906
ca,-0.0255860760807991
cl,-0.0398270413279533
br,-0.0415788292884826
to,-0.049942061305046
ke,-0.0816540494561195
ma,-0.095837116241455
sa,-0.0978561788797378
pk,-0.1222168207168579
cr,-0.1288021951913833
ve,-0.1759495884180069
sb,-0.1821720898151397
ws,-0.2314785867929458
ht,-0.2595028579235077
ug,-0.310514748096466
zw,-0.336244523525238
ru,-0.3720611333847046
th,-0.3748345673084259
ua,-0.3881277441978454
de,-0.3996046781539917
