Image,Similarity
ma,0.7895057201385498
al,0.7585578560829163
cn,0.7336429953575134
me,0.7240849733352661
ws,0.69285649061203
tl,0.6637017130851746
tw,0.6464903950691223
ao,0.6307923793792725
tr,0.6301649212837219
im,0.604736864566803
to,0.6004087924957275
vn,0.5777280330657959
pg,0.5497326850891113
li,0.5329254269599915
bh,0.5320132970809937
mw,0.5177755951881409
pt,0.5176559090614319
kg,0.5042519569396973
wf,0.49203458428382874
tn,0.482666552066803
de,0.47841525077819824
tt,0.4615301191806793
by,0.46106332540512085
ly,0.45556628704071045
bm,0.44957253336906433
hk,0.42079243063926697
lk,0.40931305289268494
mk,0.39823535084724426
zw,0.3887055814266205
ke,0.3813416361808777
cm,0.3794483542442322
ht,0.37648892402648926
sx,0.3741168677806854
es,0.369040310382843
ph,0.350227028131485
am,0.34462451934814453
vu,0.3249146342277527
bd,0.31793224811553955
af,0.2969178557395935
mv,0.2896132469177246
er,0.2836274206638336
kp,0.28198158740997314
ve,0.271519273519516
kn,0.26882657408714294
la,0.26087260246276855
ug,0.2600077986717224
ss,0.258967787027359
bv,0.25745689868927
no,0.25745689868927
sj,0.25745689868927
lv,0.25538861751556396
gb-wls,0.25223851203918457
kh,0.24481242895126343
gh,0.2432396560907364
nz,0.23374506831169128
au,0.22949595749378204
hm,0.22949595749378204
gs,0.22458423674106598
gm,0.2229141741991043
ch,0.21677161753177643
dk,0.21319542825222015
vg,0.20922577381134033
tc,0.20731443166732788
ky,0.20049461722373962
np,0.19919897615909576
gi,0.19745665788650513
pn,0.1968933343887329
lt,0.19234374165534973
bf,0.19095376133918762
nr,0.18176902830600739
ms,0.1799820214509964
be,0.1720479279756546
bo,0.16905248165130615
zm,0.1689067780971527
ai,0.16744600236415863
gb-nir,0.1633836179971695
gb,0.1633836179971695
sh,0.1633836179971695
ck,0.16022033989429474
td,0.154879629611969
bj,0.15128186345100403
fk,0.15027408301830292
pk,0.14737632870674133
sz,0.1401524841785431
na,0.13958746194839478
sy,0.1317863166332245
cw,0.1312883049249649
gu,0.13124752044677734
mu,0.1301116794347763
ag,0.12782037258148193
dm,0.1248110830783844
iq,0.12273937463760376
my,0.12107613682746887
eg,0.1204855740070343
et,0.1198519915342331
mz,0.11320120096206665
co,0.11306396871805191
ro,0.09705722332000732
tf,0.0937865823507309
ad,0.08873145282268524
ax,0.08562417328357697
ye,0.08370485156774521
eu,0.08247748762369156
md,0.07965398579835892
tg,0.07936181873083115
ec,0.07906705141067505
sd,0.07652586698532104
is,0.07608523964881897
tk,0.06629941612482071
sr,0.0642453134059906
bb,0.06261169910430908
mg,0.05443579703569412
ki,0.046597763895988464
sc,0.0449075847864151
mh,0.03170064464211464
gd,0.03066062182188034
at,0.030465174466371536
bz,0.0284988135099411
cc,0.028099283576011658
id,0.022773519158363342
cf,0.021229401230812073
jo,0.019666915759444237
hr,0.01787818968296051
om,0.015992820262908936
ml,0.0008185133337974548
tz,-0.00023862440139055252
za,-0.0032566748559474945
rs,-0.004174426198005676
sb,-0.005814939737319946
mr,-0.010959438979625702
gn,-0.013019181787967682
pr,-0.013301720842719078
pf,-0.01399574801325798
jm,-0.020417258143424988
cx,-0.024871591478586197
ba,-0.030536990612745285
sk,-0.034203290939331055
ge,-0.035227254033088684
mt,-0.03647245839238167
th,-0.03685709089040756
mn,-0.043514180928468704
ru,-0.048405952751636505
cg,-0.05095979571342468
do,-0.05427613854408264
cv,-0.05939432978630066
cz,-0.059421785175800323
cl,-0.06419142335653305
mc,-0.0695001482963562
gl,-0.0710565447807312
bn,-0.07290077209472656
si,-0.0732017457485199
eh,-0.0766671746969223
cr,-0.08411615341901779
tm,-0.08449310064315796
pl,-0.0910504013299942
lb,-0.09427022188901901
lr,-0.09450039267539978
py,-0.09674090892076492
gq,-0.10090085119009018
mm,-0.10406570881605148
xk,-0.1052694097161293
nu,-0.10527192056179047
sa,-0.1059449315071106
bt,-0.10634921491146088
tj,-0.10734863579273224
ee,-0.10782074183225632
sn,-0.11009664088487625
kw,-0.11964108794927597
pe,-0.12013646960258484
bq,-0.12077071517705917
nl,-0.12077071517705917
ps,-0.12104947865009308
as,-0.12232339382171631
br,-0.12393812835216522
bi,-0.13189519941806793
gw,-0.13197940587997437
az,-0.13693027198314667
ae,-0.13724127411842346
ua,-0.13873562216758728
ir,-0.14050541818141937
ne,-0.14218148589134216
sg,-0.14502570033073425
st,-0.14533571898937225
km,-0.14930307865142822
pa,-0.14959374070167542
vc,-0.14960655570030212
hu,-0.15999063849449158
gy,-0.16281944513320923
um,-0.16921395063400269
us,-0.16921395063400269
gb-eng,-0.1732916235923767
cd,-0.17392531037330627
se,-0.17443609237670898
bg,-0.1789325773715973
io,-0.18001438677310944
bs,-0.18697026371955872
jp,-0.19479410350322723
gg,-0.20022828876972198
mp,-0.20626482367515564
in,-0.2340686023235321
aq,-0.2495192289352417
cu,-0.25503212213516235
bl,-0.25737184286117554
fr,-0.25737184286117554
gf,-0.25737184286117554
gp,-0.25737184286117554
mf,-0.25737184286117554
mq,-0.25737184286117554
nc,-0.25737184286117554
pm,-0.25737184286117554
re,-0.25737184286117554
yt,-0.25737184286117554
ca,-0.25737226009368896
hn,-0.26796501874923706
ga,-0.2807351052761078
je,-0.2833332419395447
ls,-0.28340470790863037
fo,-0.2923222780227661
mo,-0.2971789538860321
dz,-0.3004453182220459
fi,-0.30156171321868896
sv,-0.3051093816757202
