Image,Similarity
bl,0.9999969601631165
fr,0.9999969601631165
gf,0.9999969601631165
gp,0.9999969601631165
mf,0.9999969601631165
mq,0.9999969601631165
nc,0.9999969601631165
pm,0.9999969601631165
yt,0.9999969601631165
it,0.960882306098938
pe,0.786413848400116
mx,0.7691680788993835
ie,0.7116222381591797
sn,0.6473264098167419
gt,0.6409384608268738
ng,0.6397560834884644
ci,0.6336663365364075
ro,0.5466957688331604
be,0.5310260057449341
ad,0.4885484576225281
td,0.47756731510162354
ml,0.4745202362537384
cl,0.43379032611846924
ch,0.38388973474502563
um,0.3459510803222656
us,0.3459510803222656
mm,0.34389379620552063
fm,0.3405967950820923
aq,0.33538761734962463
ar,0.3343203663825989
dk,0.32603007555007935
je,0.3197192847728729
hk,0.3140663206577301
cz,0.3134547770023346
sg,0.3114834427833557
cy,0.3074111342430115
do,0.3054385781288147
bt,0.30194634199142456
pr,0.3012494146823883
pa,0.29543834924697876
pl,0.2952658534049988
bi,0.2901250720024109
va,0.2896386981010437
tn,0.2868894338607788
fj,0.2834544777870178
gl,0.2754419445991516
lr,0.2748430371284485
at,0.27133387327194214
kr,0.26627883315086365
mc,0.26433685421943665
gr,0.26193922758102417
cg,0.2612888216972351
km,0.25935935974121094
so,0.2584238350391388
lu,0.25411614775657654
mt,0.25040873885154724
vi,0.2494894564151764
bb,0.24160337448120117
id,0.24097523093223572
dz,0.23982146382331848
fo,0.23739252984523773
nf,0.2301180064678192
ag,0.22852957248687744
bz,0.22079554200172424
hu,0.2179172933101654
bj,0.20719920098781586
fi,0.2059934139251709
nu,0.205474853515625
gn,0.19901300966739655
ki,0.198543980717659
md,0.1940513551235199
il,0.18662287294864655
la,0.18580977618694305
uy,0.18508224189281464
sm,0.18249362707138062
mp,0.17890235781669617
kg,0.17769894003868103
ba,0.17227588593959808
bq,0.1692480444908142
nl,0.1692480444908142
gb-sct,0.16606226563453674
as,0.1648167073726654
ge,0.1616983264684677
sl,0.15793374180793762
si,0.15499836206436157
uz,0.15254303812980652
aw,0.15201956033706665
gg,0.1501312553882599
ni,0.14648745954036713
rs,0.14418469369411469
ir,0.1437099277973175
cr,0.14260846376419067
cu,0.1424722969532013
im,0.1388976126909256
kw,0.1325559914112091
hn,0.1311415135860443
gq,0.12883155047893524
vc,0.12799090147018433
bw,0.12781599164009094
sc,0.12771274149417877
ca,0.12549275159835815
gb-eng,0.12316220253705978
kh,0.12192238122224808
io,0.12057676911354065
sk,0.11866259574890137
py,0.11770264804363251
bg,0.11404414474964142
bn,0.11205969750881195
ru,0.1113770455121994
lb,0.10997974872589111
th,0.10783945769071579
tj,0.10649625957012177
mk,0.10630442202091217
af,0.10541412234306335
pf,0.10185034573078156
gd,0.10104939341545105
pt,0.10101892054080963
in,0.09433010965585709
vn,0.09226718544960022
sz,0.09066843241453171
my,0.09034349769353867
lv,0.08048993349075317
sd,0.08023252338171005
lc,0.07999666780233383
es,0.07447077333927155
az,0.07222901284694672
sr,0.06892755627632141
ug,0.05902387946844101
om,0.05854234844446182
ye,0.05751759558916092
bs,0.055534571409225464
pw,0.05483603477478027
mo,0.05457743629813194
hr,0.05425557494163513
gb-nir,0.05227534472942352
gb,0.05227534472942352
sh,0.05227534472942352
tk,0.052240706980228424
sv,0.05050190910696983
xk,0.050357408821582794
kp,0.04756731912493706
wf,0.046435050666332245
dj,0.044710949063301086
ec,0.040555838495492935
kz,0.03186163678765297
ga,0.029593098908662796
co,0.029213257133960724
me,0.02910192310810089
ua,0.024250924587249756
ne,0.022493142634630203
sy,0.02155161276459694
cn,0.02124982327222824
tv,0.008440129458904266
eg,0.006301872432231903
gw,0.003943447023630142
rw,0.0025006458163261414
cd,0.0018864236772060394
ps,0.0002765469253063202
ae,-0.006231535226106644
gy,-0.0062984563410282135
jp,-0.0095174890011549
gb-wls,-0.01123383641242981
iq,-0.014994814060628414
jo,-0.016004640609025955
ee,-0.01914261095225811
ls,-0.020157113671302795
ht,-0.020343301817774773
tr,-0.024350419640541077
tl,-0.02529924362897873
se,-0.039150238037109375
za,-0.04135725647211075
ve,-0.0434478223323822
cm,-0.043756596744060516
cv,-0.048351582139730453
mn,-0.052270933985710144
bv,-0.054764777421951294
no,-0.054764777421951294
sj,-0.054764777421951294
eh,-0.057499613612890244
ws,-0.060964275151491165
bm,-0.06941385567188263
cf,-0.0713425874710083
mu,-0.07209303975105286
tt,-0.07390926778316498
tw,-0.07553291320800781
ax,-0.08145205676555634
am,-0.08208559453487396
gm,-0.08393698185682297
bf,-0.08926264941692352
lt,-0.0898958146572113
is,-0.0946081280708313
st,-0.10009877383708954
tg,-0.1075960248708725
mh,-0.10821899026632309
na,-0.11198970675468445
bo,-0.1165769174695015
et,-0.11730922758579254
er,-0.11734732985496521
by,-0.1265760064125061
mr,-0.1275073140859604
ma,-0.12759312987327576
