Image,Similarity
td,0.989285945892334
ad,0.923287034034729
ml,0.9018775224685669
sn,0.8706896305084229
be,0.7496469616889954
bb,0.6475219130516052
md,0.6034690141677856
bl,0.5466957688331604
fr,0.5466957688331604
gf,0.5466957688331604
gp,0.5466957688331604
mf,0.5466957688331604
mq,0.5466957688331604
nc,0.5466957688331604
pm,0.5466957688331604
re,0.5466957688331604
yt,0.5466957688331604
gn,0.5433542728424072
bj,0.542456328868866
kg,0.5253019332885742
vn,0.4930170178413391
it,0.49264201521873474
pt,0.4774756133556366
cg,0.46331867575645447
nu,0.4397369921207428
es,0.43865349888801575
gd,0.4174328148365021
mk,0.4163322448730469
me,0.4073166251182556
vc,0.39614301919937134
mx,0.39163729548454285
pe,0.37675705552101135
cn,0.373817503452301
hk,0.3684711158275604
tl,0.365815132856369
cm,0.35724401473999023
tn,0.3564825654029846
af,0.34917494654655457
ch,0.34126806259155273
mm,0.32974037528038025
cl,0.3192983567714691
bt,0.3180544078350067
im,0.3172125220298767
tr,0.2998621463775635
ug,0.2965216040611267
tk,0.2838088274002075
ma,0.27525246143341064
wf,0.26517122983932495
ie,0.26073312759399414
ba,0.25366726517677307
dk,0.2516886293888092
de,0.2409951388835907
ec,0.2398556023836136
ki,0.23984165489673615
bn,0.23564234375953674
to,0.22974893450737
tw,0.22946768999099731
zw,0.22899892926216125
ws,0.22292834520339966
cz,0.222289577126503
gt,0.21284084022045135
co,0.20828932523727417
pr,0.2075595110654831
at,0.1990007907152176
id,0.19526785612106323
va,0.19434887170791626
lt,0.1934206187725067
sc,0.18481972813606262
st,0.18476808071136475
gw,0.18407315015792847
ng,0.1839240938425064
mt,0.18060782551765442
km,0.1781051903963089
ao,0.17531204223632812
bh,0.1723480075597763
by,0.17123138904571533
la,0.1668945550918579
um,0.16596871614456177
us,0.16596871614456177
ag,0.1653461456298828
al,0.1587257981300354
sg,0.15659746527671814
zm,0.15497756004333496
ge,0.1512124091386795
gq,0.15074506402015686
bi,0.15019023418426514
bo,0.14823149144649506
mw,0.1440543532371521
mc,0.14219015836715698
lk,0.14105170965194702
gg,0.13927395641803741
ve,0.1381506472826004
pl,0.13810722529888153
gh,0.1376728117465973
pg,0.13720420002937317
bf,0.1369924545288086
lv,0.13620562851428986
gl,0.1327029913663864
sr,0.1312149316072464
bm,0.13084323704242706
kp,0.12818694114685059
do,0.1211405098438263
ne,0.11976494640111923
lr,0.11875632405281067
pa,0.11822280287742615
tt,0.11570771783590317
ax,0.1138584166765213
tg,0.11348037421703339
mu,0.11281117796897888
je,0.11161427944898605
om,0.11145215481519699
kn,0.10591044276952744
tj,0.10029872506856918
gb-wls,0.09803006052970886
gy,0.09786070883274078
qa,0.09705722332000732
am,0.09662829339504242
ir,0.08835464715957642
ci,0.08548733592033386
bz,0.08400259166955948
pf,0.08248752355575562
ss,0.08050744980573654
hu,0.07990697026252747
dz,0.07518661767244339
cy,0.0699000433087349
vu,0.06891703605651855
in,0.06744994968175888
gb-nir,0.06722050905227661
gb,0.06722050905227661
sh,0.06722050905227661
mr,0.06664963811635971
sz,0.06432507932186127
sd,0.06276810169219971
eg,0.060484208166599274
lb,0.0561823770403862
ye,0.05547866225242615
ke,0.05358520895242691
my,0.05269847810268402
ua,0.05211910605430603
vi,0.05196026712656021
sy,0.050743360072374344
kw,0.04629512503743172
bs,0.04400340095162392
jm,0.04238913580775261
cc,0.04223845154047012
ca,0.041767656803131104
gb-eng,0.040442101657390594
cf,0.03960798308253288
dm,0.03895290568470955
aq,0.03800854831933975
mv,0.03292287141084671
cr,0.03159802407026291
bd,0.03122394159436226
iq,0.025836240500211716
fo,0.022618837654590607
bg,0.02030600979924202
ga,0.01768709160387516
rs,0.014992974698543549
ly,0.009089015424251556
se,0.008269499987363815
th,-0.00432949885725975
mz,-0.005514353513717651
pw,-0.005971260368824005
sk,-0.006100327707827091
bq,-0.0073034316301345825
nl,-0.0073034316301345825
kr,-0.010210350155830383
gm,-0.014475907199084759
gi,-0.018073871731758118
kh,-0.023084677755832672
bv,-0.023123959079384804
no,-0.023123959079384804
sj,-0.023123959079384804
lu,-0.028334781527519226
ht,-0.032059766352176666
si,-0.0336037315428257
az,-0.034019701182842255
as,-0.034091152250766754
py,-0.037037529051303864
ru,-0.039989132434129715
er,-0.040311239659786224
jo,-0.04191521182656288
nf,-0.045003682374954224
lc,-0.04672916606068611
ps,-0.05872579291462898
ae,-0.062339894473552704
hr,-0.06311049312353134
jp,-0.06641094386577606
eh,-0.07064059376716614
mg,-0.08048010617494583
za,-0.08525626361370087
mp,-0.09683184325695038
na,-0.09866200387477875
sx,-0.10025545209646225
mo,-0.10171392560005188
fi,-0.10172106325626373
li,-0.10373898595571518
sm,-0.10509568452835083
uz,-0.10759001970291138
ar,-0.10771995782852173
io,-0.1093723401427269
xk,-0.11404135823249817
rw,-0.11574704945087433
tz,-0.12957654893398285
br,-0.1318136304616928
sl,-0.13328872621059418
cx,-0.13398171961307526
gr,-0.13683587312698364
ee,-0.153066486120224
is,-0.15469206869602203
ph,-0.1622246652841568
sa,-0.16290932893753052
pk,-0.16615210473537445
cu,-0.18251819908618927
hn,-0.19647246599197388
ls,-0.19675612449645996
uy,-0.19701629877090454
bw,-0.1993701457977295
il,-0.19961513578891754
fj,-0.19997377693653107
et,-0.20244088768959045
kz,-0.2102459967136383
dj,-0.21042589843273163
gb-sct,-0.2261408567428589
mh,-0.22747650742530823
sb,-0.23369574546813965
cv,-0.23946219682693481
fm,-0.24217809736728668
ni,-0.24883946776390076
sv,-0.26153627038002014
gu,-0.26198670268058777
ck,-0.28073441982269287
np,-0.2834686040878296
aw,-0.29343292117118835
cw,-0.295621395111084
cd,-0.29666274785995483
pn,-0.30529332160949707
tc,-0.30601370334625244
so,-0.3066694736480713
gs,-0.3066709339618683
nz,-0.3138580024242401
au,-0.316058874130249
hm,-0.316058874130249
vg,-0.3179519474506378
ky,-0.32026004791259766
ai,-0.3257439136505127
ms,-0.35126182436943054
fk,-0.35210955142974854
nr,-0.3556329905986786
tm,-0.36873283982276917
tv,-0.3950147330760956
eu,-0.43596312403678894
tf,-0.4543708562850952
mn,-0.48658323287963867
