Image,Similarity
mc,0.5954083800315857
id,0.5824332237243652
sg,0.5806026458740234
am,0.4044676423072815
ki,0.35469016432762146
ee,0.34555038809776306
je,0.3310588300228119
vi,0.31580373644828796
ca,0.31463566422462463
mt,0.30761200189590454
jp,0.3051656484603882
th,0.28173524141311646
fo,0.2784498333930969
gb-eng,0.26927563548088074
fi,0.2605893611907959
gg,0.25573739409446716
cy,0.2530510425567627
pe,0.2512454390525818
gt,0.24496489763259888
sc,0.23725658655166626
kr,0.23590347170829773
lr,0.22653061151504517
um,0.22190824151039124
us,0.22190824151039124
ge,0.22146736085414886
mx,0.2200978398323059
va,0.21332959830760956
ci,0.21157437562942505
fj,0.2072562575340271
uy,0.206282839179039
ie,0.20499929785728455
nf,0.20062346756458282
ng,0.19906474649906158
fm,0.17616170644760132
lu,0.175441712141037
bh,0.16933947801589966
gd,0.162108913064003
ag,0.16099612414836884
mz,0.15424688160419464
dk,0.15287868678569794
lb,0.1513977199792862
it,0.15127748250961304
tl,0.14691121876239777
hk,0.14600718021392822
bl,0.14418469369411469
fr,0.14418469369411469
gf,0.14418469369411469
gp,0.14418469369411469
mf,0.14418469369411469
mq,0.14418469369411469
nc,0.14418469369411469
pm,0.14418469369411469
re,0.14418469369411469
yt,0.14418469369411469
cr,0.14339396357536316
bi,0.1428874433040619
cn,0.1410841941833496
kg,0.13622517883777618
np,0.13210009038448334
pa,0.13187402486801147
at,0.13153137266635895
sx,0.1274968385696411
sm,0.12618467211723328
io,0.1243152916431427
ch,0.12232722342014313
mg,0.12180928885936737
de,0.12112686038017273
pr,0.11837439984083176
pf,0.11287148296833038
im,0.10222140699625015
tr,0.10087420791387558
tn,0.09707280248403549
mk,0.09645120799541473
wf,0.09284380078315735
al,0.08886702358722687
bw,0.08872474730014801
md,0.07931165397167206
cu,0.07784648984670639
vc,0.07705952972173691
gm,0.07603277266025543
ma,0.0743982195854187
mm,0.07200875133275986
lc,0.07185764610767365
lt,0.06983178853988647
aw,0.06964817643165588
mu,0.0682561844587326
kp,0.06721596419811249
ug,0.06547939777374268
gn,0.06488741934299469
vn,0.06451037526130676
ve,0.062038861215114594
ar,0.062030941247940063
gr,0.060128264129161835
sn,0.05697028338909149
my,0.05310620740056038
nu,0.05283452570438385
ly,0.05190318822860718
bf,0.05068575590848923
bb,0.044926658272743225
er,0.04469514265656471
ad,0.04414808750152588
tv,0.04124792665243149
do,0.03975622355937958
bv,0.0378304086625576
no,0.0378304086625576
sj,0.0378304086625576
mv,0.03775525093078613
me,0.037570446729660034
bt,0.033999547362327576
vu,0.032336533069610596
sk,0.029942452907562256
hu,0.028497109189629555
il,0.028099246323108673
so,0.028006315231323242
gb-nir,0.02182011678814888
gb,0.02182011678814888
sh,0.02182011678814888
la,0.017386872321367264
zw,0.01678144931793213
ro,0.014992974698543549
tt,0.014410369098186493
ml,0.012356773018836975
lv,0.005217093974351883
ua,0.0048761069774627686
py,0.0047163888812065125
gb-sct,0.00434604287147522
mp,0.002117343246936798
pt,0.0017363876104354858
cf,0.0011331886053085327
to,-0.0038917511701583862
qa,-0.004174426198005676
bq,-0.00419200211763382
nl,-0.00419200211763382
bn,-0.004551850259304047
td,-0.009940318763256073
cd,-0.010002046823501587
gl,-0.012923680245876312
cv,-0.013737216591835022
pw,-0.016560502350330353
by,-0.018603011965751648
af,-0.027488160878419876
tw,-0.033140748739242554
ne,-0.03421255201101303
bm,-0.03440288454294205
tg,-0.03712058067321777
sr,-0.03789931908249855
mw,-0.03942959010601044
ru,-0.04064750671386719
es,-0.042671434581279755
ec,-0.04720299318432808
tj,-0.05093579739332199
lk,-0.05214209854602814
tz,-0.052778154611587524
dz,-0.058927156031131744
be,-0.06083564832806587
bz,-0.06087814271450043
cm,-0.0612184964120388
si,-0.06234581768512726
ws,-0.06688103079795837
tf,-0.06823325157165527
km,-0.07307654619216919
kh,-0.07881850004196167
sz,-0.08343090862035751
mn,-0.08845757693052292
co,-0.08856413513422012
hr,-0.08880449831485748
na,-0.09488047659397125
pk,-0.0955217033624649
za,-0.10447296500205994
gb-wls,-0.10507837682962418
ph,-0.10861848294734955
dj,-0.11046470701694489
tk,-0.11066217720508575
gh,-0.11085435003042221
cw,-0.11468183994293213
mr,-0.11673372983932495
gw,-0.11680909991264343
bg,-0.11744130402803421
ck,-0.11864655464887619
ht,-0.11950743198394775
gi,-0.12342223525047302
as,-0.12630054354667664
ky,-0.12710490822792053
au,-0.12717373669147491
hm,-0.12717373669147491
is,-0.1278298795223236
cg,-0.12955565750598907
aq,-0.12983156740665436
ss,-0.13111236691474915
pl,-0.13259387016296387
in,-0.1329214870929718
bo,-0.13306482136249542
vg,-0.1378108114004135
li,-0.1383514553308487
bd,-0.14255979657173157
xk,-0.14640891551971436
gq,-0.14854103326797485
eu,-0.14952795207500458
nz,-0.15124662220478058
se,-0.15314263105392456
ls,-0.15415100753307343
ba,-0.1573256552219391
gs,-0.15902628004550934
ax,-0.16044940054416656
pn,-0.16806592047214508
fk,-0.17275641858577728
ms,-0.1762116402387619
ps,-0.17878445982933044
kz,-0.18354588747024536
sl,-0.18738849461078644
ni,-0.19389021396636963
cl,-0.1965315043926239
eh,-0.1974092423915863
ao,-0.19799894094467163
ke,-0.199102982878685
tc,-0.20114833116531372
kn,-0.20289695262908936
dm,-0.20871372520923615
