Image,Similarity
ve,0.5984638333320618
pl,0.5495626330375671
cl,0.4779591560363769
th,0.4434976875782013
co,0.2660729587078094
jp,0.2446131408214569
uy,0.2415444701910019
ca,0.2124807834625244
gt,0.2114208936691284
ec,0.2033903151750564
kr,0.1862085461616516
pe,0.1797789931297302
mx,0.1784636378288269
ng,0.1490627080202102
to,0.1289166063070297
cu,0.1142037808895111
it,0.1114245280623436
fr,0.1113770455121994
us,0.1098914146423339
cr,0.0942848324775695
nz,0.0702426359057426
au,0.0672956779599189
gr,0.0644515678286552
ug,0.0621780231595039
ht,0.0608986280858516
tv,0.059500329196453
zw,0.0567299127578735
fj,0.0490894243121147
ws,0.0447264313697814
dz,0.0416045859456062
cn,0.0063352212309837
ua,0.0025992058217525
ma,-0.0007527787238359
sb,-0.0110426172614097
za,-0.0201728604733943
pg,-0.0319857895374298
in,-0.0331109017133712
il,-0.0411925055086612
ao,-0.0537018999457359
gb,-0.0589407347142696
do,-0.0777262896299362
ar,-0.0843725800514221
bz,-0.0997312813997268
kz,-0.1039981544017791
vn,-0.1111133620142936
es,-0.1654361933469772
pw,-0.1696966737508773
sa,-0.1768144220113754
pk,-0.2017154395580291
vu,-0.2047096341848373
br,-0.2266683727502823
eg,-0.2415813654661178
as,-0.2913058400154114
se,-0.3010405302047729
id,-0.337029367685318
ke,-0.3642869889736175
py,-0.3720611333847046
de,-0.4207175970077514
jm,-0.4471154510974884
bo,-0.5045875310897827
