Image,Similarity
ua,0.6812262535095215
cv,0.5007156133651733
sb,0.4424576163291931
uz,0.4319823384284973
cw,0.4275519549846649
dj,0.4262787997722626
ph,0.42591434717178345
az,0.41309854388237
mu,0.4001918137073517
aw,0.37634599208831787
ht,0.34947720170021057
ni,0.34815555810928345
xk,0.3470463156700134
ls,0.3267734944820404
pw,0.3189280331134796
li,0.31795477867126465
mo,0.31230923533439636
kz,0.30765312910079956
sv,0.3066943883895874
bs,0.30086231231689453
ae,0.29711365699768066
il,0.2915744483470917
gb-sct,0.2900342345237732
hn,0.28917375206947327
lc,0.2863609194755554
tk,0.26435014605522156
so,0.26392823457717896
mh,0.25929006934165955
cl,0.25924983620643616
st,0.25835052132606506
jm,0.2535446882247925
ar,0.2477675974369049
kw,0.24505667388439178
ga,0.2449825257062912
ir,0.22825737297534943
fm,0.2248789370059967
as,0.22243936359882355
aq,0.2079564779996872
sl,0.19857193529605865
sa,0.1908976137638092
se,0.18181023001670837
cu,0.18115369975566864
gy,0.17814260721206665
mp,0.17089346051216125
tm,0.1680123209953308
pl,0.16070275008678436
gu,0.1559918373823166
ps,0.15179581940174103
cc,0.15099450945854187
nr,0.14898261427879333
cz,0.14305028319358826
cd,0.14239256083965302
bg,0.14097154140472412
br,0.136796236038208
eh,0.13674913346767426
mn,0.12684223055839539
bw,0.1265525221824646
cg,0.12492609769105911
gt,0.1174343153834343
gr,0.1133558452129364
et,0.11312548816204071
gq,0.11245957762002945
ng,0.11131855845451355
eu,0.11078117787837982
pk,0.10680922865867615
uy,0.10344430804252625
tg,0.10193868726491928
kh,0.09751516580581665
jo,0.09543005377054214
om,0.0953473225235939
nu,0.09340415149927139
bz,0.0898793414235115
ie,0.0836060419678688
si,0.07910633832216263
dz,0.07732832431793213
na,0.07623261213302612
cx,0.07558625936508179
zm,0.07515186816453934
mr,0.07453350722789764
is,0.07024747133255005
tv,0.06966441869735718
nf,0.06899944692850113
mz,0.06833022832870483
cr,0.06594718992710114
ax,0.06078029423952103
tj,0.059863969683647156
ci,0.057537905871868134
kn,0.05606328323483467
sr,0.05591244623064995
it,0.05014853924512863
ru,0.04424062371253967
ee,0.039020612835884094
bd,0.038692936301231384
do,0.030790764838457108
io,0.027341417968273163
fj,0.026682361960411072
dm,0.01940416917204857
ss,0.01905781403183937
tf,0.01334536075592041
sm,0.011119931936264038
mx,0.009013548493385315
ke,0.007556706666946411
ms,0.007415998727083206
cy,0.006692253053188324
gb-nir,0.005819201469421387
gb,0.005819201469421387
sh,0.005819201469421387
fi,0.0047158896923065186
sd,0.004426194354891777
bl,0.0025006458163261414
fr,0.0025006458163261414
gf,0.0025006458163261414
gp,0.0025006458163261414
mf,0.0025006458163261414
mq,0.0025006458163261414
nc,0.0025006458163261414
pm,0.0025006458163261414
re,0.0025006458163261414
yt,0.0025006458163261414
in,0.0013080835342407227
hr,-0.0006407275795936584
ye,-0.0025808624923229218
fk,-0.0034301714040338993
bi,-0.0060987286269664764
um,-0.006392493844032288
us,-0.006392493844032288
cf,-0.0072463154792785645
gl,-0.008272364735603333
eg,-0.01061755046248436
ws,-0.01231270283460617
km,-0.015788480639457703
va,-0.017475081607699394
gi,-0.018643945455551147
hu,-0.021537933498620987
vg,-0.022540785372257233
fo,-0.02388244867324829
sy,-0.025150200352072716
ky,-0.026010708883404732
iq,-0.02732020989060402
kp,-0.02789273113012314
sk,-0.028671063482761383
vi,-0.031069044023752213
gs,-0.032033003866672516
ai,-0.03270752355456352
pn,-0.03783344104886055
tw,-0.03862515091896057
bq,-0.04481463134288788
nl,-0.04481463134288788
ck,-0.04724045470356941
lb,-0.04802989587187767
my,-0.05013439059257507
tc,-0.05109584704041481
tz,-0.05289505422115326
sz,-0.054888926446437836
sn,-0.05701640620827675
nz,-0.060366272926330566
lr,-0.06588520109653473
gg,-0.06693409383296967
au,-0.06891375035047531
hm,-0.06891375035047531
ca,-0.069258913397789
ne,-0.0752890333533287
ag,-0.07531943917274475
gb-eng,-0.07633218914270401
bt,-0.07758373022079468
mt,-0.07903575897216797
pe,-0.08131874352693558
bb,-0.08198434114456177
je,-0.0828583613038063
pf,-0.08359910547733307
ml,-0.08549351990222931
gb-wls,-0.08605483174324036
jp,-0.08932661265134811
za,-0.09063346683979034
lv,-0.09136854112148285
de,-0.09186244755983353
at,-0.09278110414743423
gn,-0.0967957079410553
bm,-0.09694895148277283
lu,-0.10468903928995132
pa,-0.10897868871688843
th,-0.11157742142677307
kr,-0.11543042212724686
ro,-0.11574704945087433
ge,-0.11893008649349213
py,-0.1193457618355751
pr,-0.12785468995571136
be,-0.1284286379814148
vc,-0.12920832633972168
es,-0.13086098432540894
bv,-0.13171452283859253
no,-0.13171452283859253
sj,-0.13171452283859253
er,-0.13294033706188202
td,-0.1340000331401825
ad,-0.13402694463729858
bo,-0.13671287894248962
bj,-0.1403941810131073
af,-0.14235632121562958
gh,-0.14444340765476227
dk,-0.14915569126605988
mm,-0.16033464670181274
np,-0.16320976614952087
ch,-0.16880491375923157
bn,-0.17042216658592224
mw,-0.17240506410598755
to,-0.17246247828006744
gd,-0.17450889945030212
cm,-0.17497169971466064
md,-0.17679673433303833
tt,-0.19234538078308105
zw,-0.19558830559253693
lk,-0.19771406054496765
pt,-0.19886228442192078
ba,-0.20144250988960266
sc,-0.20602740347385406
gm,-0.21082594990730286
mv,-0.2118770182132721
la,-0.21224451065063477
mk,-0.22683224081993103
ug,-0.23326097428798676
hk,-0.24915556609630585
tn,-0.2531172037124634
bh,-0.257043719291687
pg,-0.25727295875549316
wf,-0.2573429048061371
im,-0.2746461033821106
kg,-0.27533572912216187
vu,-0.27720847725868225
vn,-0.28465735912323
by,-0.2978891432285309
tr,-0.2996408939361572
ly,-0.3002457320690155
lt,-0.3051679730415344
ao,-0.3053535521030426
mg,-0.3063860833644867
me,-0.31713682413101196
am,-0.31842541694641113
al,-0.31920838356018066
qa,-0.3199464678764343
tl,-0.3250832259654999
sg,-0.336128294467926
rs,-0.3385041356086731
ve,-0.3403015434741974
mc,-0.348310261964798
ma,-0.36323004961013794
gw,-0.3812784254550934
cn,-0.3865455985069275
ki,-0.40096551179885864
id,-0.45893245935440063
bf,-0.4614628851413727
sx,-0.4875045120716095
ec,-0.5397593975067139
co,-0.6668586730957031
