Image,Similarity
cc,0.610636830329895
tm,0.5388917326927185
zm,0.4716624915599823
gu,0.47088128328323364
mo,0.43449923396110535
eu,0.43215087056159973
cx,0.4228692650794983
nr,0.4142136573791504
sb,0.41330525279045105
nz,0.3796890377998352
ms,0.35867324471473694
au,0.3546174168586731
hm,0.3546174168586731
vg,0.35073789954185486
pk,0.34571120142936707
cw,0.34486478567123413
gs,0.3425489068031311
pn,0.3368968069553375
tc,0.32798781991004944
kz,0.32266947627067566
ck,0.3186233639717102
br,0.31501418352127075
ky,0.3142262399196625
ai,0.31095466017723083
fk,0.30180853605270386
tz,0.29966893792152405
bs,0.2872708737850189
jm,0.2790963053703308
ss,0.2587587833404541
mn,0.2527511417865753
ke,0.24672959744930267
jo,0.22613994777202606
eh,0.21317148208618164
ae,0.21237865090370178
tv,0.20548054575920105
ly,0.20358793437480927
ps,0.20313730835914612
dm,0.2020256221294403
st,0.19923849403858185
ao,0.19880005717277527
vu,0.19596636295318604
xk,0.19345170259475708
rw,0.1908976137638092
mh,0.19036319851875305
tf,0.18992674350738525
mr,0.18714988231658936
bd,0.18638001382350922
kn,0.1705508828163147
pg,0.16538889706134796
ls,0.15862292051315308
gw,0.15854497253894806
et,0.14730527997016907
mw,0.14578010141849518
bz,0.14343325793743134
mp,0.13932350277900696
bf,0.1368410885334015
sv,0.13515529036521912
dj,0.13461461663246155
se,0.1346057504415512
aq,0.13373227417469025
gy,0.12318260967731476
na,0.11536841094493866
za,0.11144720017910004
ga,0.1097087636590004
mv,0.1053585335612297
cv,0.09828561544418335
hn,0.09426192939281464
sl,0.09377942979335785
pw,0.09273402392864227
az,0.08639703691005707
uz,0.08592444658279419
tg,0.08512859046459198
ni,0.08051111549139023
gm,0.07749500870704651
mz,0.07432353496551514
af,0.07166698575019836
so,0.07066395878791809
cd,0.07014010846614838
is,0.06981931626796722
as,0.056897785514593124
bo,0.05598251894116402
sx,0.05173495039343834
cf,0.05038547143340111
gh,0.04200219362974167
aw,0.04190482944250107
iq,0.03726432844996452
ag,0.03649524599313736
sy,0.027742668986320496
ht,0.02577565237879753
bb,0.02514874003827572
np,0.020689375698566437
li,0.015455201268196106
gb-sct,0.009431309998035431
ax,0.00782769639045
cu,0.007067352533340454
ba,0.0050504133105278015
eg,-0.00036718975752592087
kh,-0.001586809754371643
ug,-0.002738162875175476
sd,-0.006680110935121775
ee,-0.007772721350193024
by,-0.008741002529859543
ye,-0.013267500326037407
bw,-0.01400139182806015
tk,-0.017921417951583862
ph,-0.023671582341194153
sr,-0.02730921283364296
la,-0.028150901198387146
