Image,Similarity
sa,0.413305252790451
kz,0.3484983146190643
jm,0.3088420033454895
ht,0.3066727817058563
nz,0.3053800463676452
pk,0.2963322401046753
au,0.2887750566005707
ua,0.2226034104824066
bz,0.1719620078802108
ke,0.169839322566986
tv,0.1406586468219757
se,0.1226522400975227
vu,0.1206172183156013
ws,0.1027550846338272
br,0.1006573140621185
pg,0.0909810438752174
ao,0.082359030842781
pw,0.0815403759479522
as,0.0655646473169326
il,0.0052185356616973
ru,-0.0110426172614097
eg,-0.0167982690036296
gr,-0.0218870714306831
cu,-0.0309746414422988
de,-0.0400323122739791
cl,-0.0442158728837966
do,-0.0473139435052871
za,-0.0578021854162216
gb,-0.0608343482017517
fj,-0.0768298059701919
uy,-0.0805117040872573
cr,-0.082155168056488
ar,-0.0872462168335914
bo,-0.1032399088144302
to,-0.1078290939331054
dz,-0.1321260333061218
zw,-0.1359895765781402
pl,-0.1539089530706405
ug,-0.1612615585327148
th,-0.1625371873378753
in,-0.1807835847139358
py,-0.1821720898151397
gt,-0.2023722678422927
it,-0.2138030976057052
fr,-0.2138031870126724
ma,-0.2270113229751587
us,-0.233279138803482
ng,-0.2393506169319152
mx,-0.2519557476043701
kr,-0.2579736709594726
es,-0.2753131985664367
ve,-0.2762803733348846
vn,-0.2935562133789062
jp,-0.3062739968299866
pe,-0.3109399378299713
ca,-0.3361796140670776
co,-0.3448808491230011
cn,-0.363789290189743
ec,-0.3689364194869995
id,-0.5277431011199951
