Image,Similarity
ye,0.982715904712677
eg,0.9586372375488281
iq,0.9202178120613098
sy,0.9034554362297058
hu,0.8820205330848694
bq,0.8711275458335876
nl,0.8711275458335876
py,0.8184865117073059
ae,0.7629602551460266
tj,0.7469452023506165
in,0.7450966835021973
ps,0.7400491237640381
at,0.7338939905166626
ne,0.7056610584259033
hr,0.7048656940460205
eh,0.6955321431159973
lu,0.6689543724060059
bo,0.639192521572113
hn,0.6260786056518555
lv,0.6194398403167725
as,0.5942652821540833
kw,0.5779858231544495
jo,0.5774760246276855
gq,0.5722081065177917
sv,0.5313606262207031
sl,0.5190660953521729
uz,0.5019461512565613
ir,0.4998963475227356
gh,0.49901798367500305
ni,0.47187143564224243
gm,0.4339390993118286
ls,0.4262181520462036
pf,0.4128955602645874
ch,0.40727049112319946
sx,0.3700743019580841
dk,0.36958399415016174
lb,0.36399906873703003
aq,0.3589993119239807
hk,0.3442073464393616
la,0.33893078565597534
tn,0.3332209289073944
do,0.32811713218688965
bi,0.32595014572143555
es,0.2855171859264374
wf,0.2838823199272156
bf,0.27980664372444153
by,0.27810144424438477
ar,0.26978039741516113
dj,0.25109606981277466
tl,0.24641366302967072
ao,0.24368108808994293
il,0.242083340883255
im,0.24111774563789368
gb-sct,0.24049481749534607
bz,0.23846465349197388
me,0.23775747418403625
vn,0.2348693162202835
pg,0.22655348479747772
bv,0.2224956750869751
no,0.2224956750869751
sj,0.2224956750869751
mm,0.2209213227033615
kg,0.21453669667243958
za,0.2089640200138092
pt,0.20771615207195282
bt,0.2034943401813507
kh,0.20098000764846802
mk,0.20052143931388855
gw,0.19578438997268677
tr,0.1942048966884613
af,0.18733063340187073
bm,0.18501903116703033
pl,0.18389075994491577
mg,0.18293289840221405
ba,0.17132653295993805
is,0.16919419169425964
lk,0.16553965210914612
km,0.16215406358242035
co,0.16037048399448395
cn,0.15379846096038818
pa,0.1430383175611496
gi,0.14155271649360657
ai,0.1415015459060669
ec,0.13889414072036743
gl,0.13787561655044556
cl,0.13742569088935852
to,0.13132557272911072
cf,0.11619038879871368
mo,0.11596140265464783
mu,0.11471444368362427
jm,0.11301024258136749
fk,0.10435696691274643
tc,0.10313966870307922
gr,0.10294589400291443
cm,0.09839101135730743
gb-wls,0.09738735854625702
bs,0.09544581174850464
kp,0.09352564811706543
ma,0.09044978022575378
st,0.08210601657629013
mp,0.08067899942398071
tt,0.08052142709493637
cz,0.08044857531785965
mt,0.08037510514259338
bl,0.08023252338171005
fr,0.08023252338171005
gf,0.08023252338171005
gp,0.08023252338171005
mf,0.08023252338171005
mq,0.08023252338171005
nc,0.08023252338171005
pm,0.08023252338171005
re,0.08023252338171005
yt,0.08023252338171005
mh,0.08013245463371277
ms,0.0799567699432373
ie,0.07804173976182938
so,0.07671007513999939
qa,0.07652586698532104
ki,0.0758705735206604
mr,0.07480469346046448
vu,0.07441715896129608
gb-nir,0.07427438348531723
gb,0.07427438348531723
sh,0.07427438348531723
pr,0.07230035960674286
ss,0.069298155605793
gu,0.06903819739818573
pn,0.06650592386722565
be,0.06542064994573593
na,0.06397734582424164
it,0.06309774518013
ro,0.06276810169219971
td,0.060130637139081955
bj,0.06008540838956833
bd,0.05992646515369415
bh,0.05741136893630028
ng,0.05649144947528839
au,0.055874116718769073
hm,0.055874116718769073
gs,0.0539485439658165
nz,0.05031266063451767
ci,0.04815186187624931
ml,0.04749910533428192
tf,0.04349662363529205
mw,0.04320039227604866
dm,0.042657580226659775
ck,0.04234021157026291
gn,0.04078429564833641
mv,0.04072072356939316
id,0.04046342894434929
ga,0.03907960653305054
ky,0.036532286554574966
ad,0.036290571093559265
sg,0.034682001918554306
bn,0.03447699919342995
se,0.033221229910850525
nu,0.028104187920689583
ke,0.027635835111141205
vg,0.02616250514984131
cx,0.023389078676700592
fj,0.021911587566137314
io,0.02034159190952778
tw,0.013091056607663631
lr,0.011816643178462982
et,0.011331599205732346
xk,0.010473798960447311
fm,0.0065813735127449036
dz,0.006444728933274746
rw,0.004426194354891777
ax,0.003906622529029846
sz,0.0009519029408693314
nr,-0.0011051036417484283
sn,-0.004373908042907715
mc,-0.0047715455293655396
va,-0.005796967074275017
sa,-0.006680110935121775
al,-0.007827332243323326
cg,-0.008803957141935825
si,-0.00983111560344696
sm,-0.01183195412158966
om,-0.012474924325942993
gy,-0.012647341936826706
tg,-0.01460418850183487
tv,-0.015730882063508034
br,-0.02002977766096592
ws,-0.020869551226496696
nf,-0.02162245474755764
ht,-0.023368727415800095
vc,-0.023832127451896667
um,-0.02409401349723339
us,-0.02409401349723339
sb,-0.026414159685373306
ag,-0.029563888907432556
gt,-0.030720161274075508
ph,-0.03280409425497055
sc,-0.03391182795166969
pw,-0.033952951431274414
am,-0.04336161911487579
md,-0.04533325508236885
pe,-0.05049147084355354
cv,-0.05058078095316887
mn,-0.06405557692050934
je,-0.06468302011489868
ve,-0.06476958096027374
np,-0.06701397895812988
cu,-0.06785064935684204
mx,-0.06812699139118195
ly,-0.07180138677358627
sk,-0.07449445873498917
gd,-0.07570184022188187
pk,-0.08138667047023773
cd,-0.08530314266681671
my,-0.08533303439617157
cc,-0.08840332925319672
aw,-0.08886036276817322
kr,-0.09019476920366287
cy,-0.09279389679431915
eu,-0.0929805338382721
uy,-0.09999395906925201
kz,-0.10376590490341187
bb,-0.10725288093090057
tk,-0.10854729264974594
az,-0.11523530632257462
ug,-0.12335380911827087
ge,-0.12584282457828522
bg,-0.12948322296142578
er,-0.1386999934911728
lc,-0.14527946710586548
zm,-0.14617469906806946
cw,-0.14680694043636322
vi,-0.1650235801935196
tm,-0.1681976616382599
li,-0.17400088906288147
lt,-0.17883776128292084
gg,-0.18006157875061035
gb-eng,-0.2054131031036377
ru,-0.2060966193675995
ua,-0.2166386842727661
sr,-0.21870718896389008
rs,-0.22249871492385864
jp,-0.23290564119815826
kn,-0.23372000455856323
tz,-0.24158671498298645
fo,-0.2435390055179596
ca,-0.2535319924354553
zw,-0.2572912573814392
de,-0.2636822760105133
cr,-0.29726552963256836
bw,-0.3089239001274109
fi,-0.3863937258720398
th,-0.4823744595050812
mz,-0.6059224009513855
ee,-0.9065238237380981
