Image,Similarity
pw,0.4276102185249328
jm,0.2319359481334686
kz,0.2198695093393325
ar,0.1993566453456878
br,0.1889600157737732
bo,0.1490964442491531
sa,0.1346057504415512
sb,0.1226522400975227
tv,0.117899052798748
il,0.1065981388092041
ng,0.0956793427467346
gt,0.0927792191505432
as,0.0836499035358429
nz,0.0795654654502868
py,0.0788503959774971
fj,0.07870614528656
bz,0.078306995332241
au,0.0742770433425903
ke,0.0652454122900962
uy,0.0613872110843658
eg,0.0478898957371711
cr,0.0404788851737976
ua,0.036396287381649
mx,0.020939290523529
do,0.0176935717463493
kr,0.0135830529034137
it,0.0024752654135227
in,0.0016785860061645
pk,-0.0046080164611339
gr,-0.0047966018319129
ca,-0.0099964365363121
gb,-0.0175456851720809
de,-0.0177789293229579
vu,-0.0348711311817169
fr,-0.0391502380371093
ht,-0.041488267481327
jp,-0.0460324548184871
es,-0.0505834966897964
cl,-0.0574281215667724
pl,-0.0604603625833988
za,-0.0604923963546752
dz,-0.0676992535591125
id,-0.068718634545803
vn,-0.0707345008850097
pe,-0.0715232565999031
us,-0.0733770728111267
ao,-0.0829170197248458
cu,-0.0900269895792007
pg,-0.1141096800565719
co,-0.1191553249955177
ec,-0.1279845237731933
to,-0.1300439536571502
ug,-0.1467652767896652
cn,-0.1719402968883514
th,-0.1830021440982818
ma,-0.204747274518013
zw,-0.2215955555438995
ws,-0.2703747749328613
ru,-0.3010405302047729
ve,-0.3811305463314056
