Image,Similarity
mc,0.9692307710647583
id,0.95582115650177
cy,0.5893071889877319
rs,0.5806026458740234
ki,0.5745980739593506
je,0.549899160861969
ca,0.5053994059562683
lu,0.5035721063613892
vi,0.4845820367336273
ie,0.476176917552948
gg,0.4739188849925995
va,0.4553759694099426
gb-eng,0.449988454580307
jp,0.448144793510437
sc,0.4337538480758667
at,0.42933472990989685
ar,0.4254801571369171
gt,0.41673463582992554
ge,0.41638973355293274
mt,0.41518935561180115
ng,0.414516806602478
lr,0.4018705487251282
um,0.39876437187194824
us,0.39876437187194824
hu,0.38069629669189453
pf,0.3756483197212219
fj,0.371915727853775
fo,0.36835506558418274
ci,0.36464202404022217
kr,0.3601132929325104
mx,0.3593830466270447
pe,0.3402673006057739
it,0.33782315254211426
lb,0.3370498716831207
bq,0.329029381275177
nl,0.329029381275177
bi,0.3277464807033539
fm,0.3268105983734131
gl,0.3216598927974701
bt,0.31208816170692444
bl,0.3114834427833557
fr,0.3114834427833557
gf,0.3114834427833557
gp,0.3114834427833557
mf,0.3114834427833557
mq,0.3114834427833557
nc,0.3114834427833557
pm,0.3114834427833557
re,0.3114834427833557
yt,0.3114834427833557
py,0.30902165174484253
ch,0.2999320328235626
nu,0.299710750579834
nf,0.2981526255607605
kg,0.2974357008934021
wf,0.28959891200065613
dk,0.2824283838272095
hk,0.2815643548965454
ne,0.27938711643218994
il,0.2699659764766693
pr,0.2684929668903351
mk,0.26176729798316956
sm,0.25794708728790283
pa,0.253231942653656
gr,0.25084570050239563
bh,0.24505725502967834
tj,0.24344174563884735
cr,0.24005798995494843
uy,0.2189999222755432
tn,0.21446487307548523
gb-sct,0.2042386680841446
cn,0.20408836007118225
my,0.20151309669017792
tr,0.19991105794906616
mm,0.19949451088905334
sn,0.19599685072898865
mg,0.19574442505836487
es,0.19222891330718994
io,0.19046659767627716
kp,0.1893138736486435
ml,0.1860077679157257
tl,0.18551167845726013
hr,0.17719830572605133
sl,0.17542724311351776
lv,0.1743154227733612
md,0.17153669893741608
vn,0.16981680691242218
vc,0.163004070520401
gn,0.159854918718338
do,0.15692993998527527
ro,0.15659746527671814
cu,0.1517680138349533
gd,0.15117120742797852
in,0.1485326588153839
th,0.1478113830089569
ad,0.1475728452205658
dz,0.14607800543308258
gb-nir,0.14492781460285187
gb,0.14492781460285187
sh,0.14492781460285187
gq,0.14404170215129852
fi,0.1405675858259201
mu,0.13582484424114227
er,0.1356816589832306
lk,0.1326477974653244
lc,0.13252539932727814
de,0.11382929980754852
td,0.11311168968677521
im,0.11272194236516953
bf,0.11048111319541931
ni,0.1087283045053482
am,0.10731373727321625
as,0.10611710697412491
ag,0.09795922785997391
ir,0.09507352858781815
ps,0.09072212874889374
so,0.090654656291008
ee,0.08875169605016708
cg,0.08719176054000854
sr,0.08686978369951248
kh,0.08477224409580231
bw,0.08150605857372284
kw,0.07950156182050705
ga,0.07273459434509277
eh,0.0705871731042862
bo,0.0703418105840683
tk,0.0692710280418396
hn,0.06805860996246338
sx,0.0638897716999054
be,0.06166356801986694
pw,0.06003580987453461
uz,0.0592057891190052
bv,0.05863521248102188
no,0.05863521248102188
sj,0.05863521248102188
gh,0.05839398503303528
cm,0.05768910050392151
by,0.05337733030319214
ye,0.046632878482341766
aq,0.040107160806655884
me,0.03563001751899719
sd,0.034682001918554306
sv,0.030504509806632996
cv,0.029516346752643585
ls,0.027981460094451904
np,0.024946972727775574
aw,0.02291618287563324
eg,0.021361395716667175
bn,0.020685017108917236
ec,0.01873442530632019
jo,0.01862136460840702
ba,0.017792541533708572
ug,0.014169961214065552
pt,0.010823220014572144
gm,0.010664600878953934
