Image,Similarity
bv,0.999977171421051
no,0.999977171421051
tw,0.28478965163230896
at,0.2835163474082947
tr,0.28259438276290894
is,0.27144062519073486
hk,0.2712855637073517
ws,0.27064406871795654
tn,0.26671847701072693
cn,0.25888222455978394
ma,0.25782519578933716
qa,0.25745689868927
al,0.2536172866821289
iq,0.25284168124198914
sy,0.25211799144744873
am,0.2467992603778839
im,0.2454608678817749
tl,0.2450927495956421
me,0.23826664686203003
wf,0.2240135818719864
sd,0.2224956750869751
to,0.22101914882659912
vn,0.22050580382347107
pt,0.22035138309001923
bm,0.2203156054019928
la,0.21801242232322693
gm,0.21794123947620392
eg,0.20945990085601807
ye,0.20760634541511536
kg,0.20695346593856812
mt,0.2067451775074005
lv,0.20113098621368408
ve,0.19797517359256744
ch,0.18724557757377625
bh,0.18707172572612762
ag,0.1734883189201355
es,0.17321571707725525
gi,0.17026817798614502
lb,0.1654331535100937
tt,0.16069412231445312
mv,0.16049368679523468
hu,0.15925469994544983
ht,0.15740427374839783
um,0.1566847562789917
us,0.1566847562789917
gq,0.15139524638652802
bq,0.14993435144424438
nl,0.14993435144424438
ao,0.1491556018590927
li,0.14702372252941132
za,0.14579932391643524
si,0.14556922018527985
py,0.14392098784446716
pf,0.14340007305145264
lk,0.14224660396575928
pg,0.14054107666015625
hr,0.13816995918750763
bj,0.13694484531879425
kw,0.13094493746757507
pr,0.12955641746520996
mg,0.12551788985729218
lt,0.12086305022239685
ph,0.11991739273071289
mk,0.11804284900426865
ir,0.1136670708656311
my,0.11035075783729553
sx,0.10695613920688629
zw,0.10647847503423691
dk,0.10596751421689987
tj,0.10536545515060425
do,0.10140220075845718
gr,0.0986718088388443
cz,0.09682781994342804
bi,0.09602613747119904
co,0.08698271214962006
dm,0.08690209686756134
id,0.08652031421661377
et,0.08650611340999603
mm,0.08494369685649872
gb-nir,0.08085945248603821
gb,0.08085945248603821
sh,0.08085945248603821
ug,0.080093152821064
ec,0.07739036530256271
ru,0.07656065374612808
be,0.0762321949005127
gd,0.07494790107011795
in,0.0727619156241417
bw,0.07067809253931046
gl,0.07056649029254913
pl,0.0697816014289856
sz,0.06952043622732162
kn,0.06936845928430557
mc,0.0650927945971489
cm,0.06371171772480011
jo,0.06328466534614563
pa,0.0627598762512207
kp,0.06172492727637291
mn,0.06149699538946152
eh,0.061423249542713165
ps,0.060439448803663254
np,0.06024143099784851
sg,0.05863521248102188
gh,0.05605892091989517
bo,0.054343972355127335
ki,0.05406608432531357
ly,0.05396242439746857
gb-wls,0.05384723097085953
sk,0.05095522105693817
lu,0.04920687526464462
cg,0.047944094985723495
bt,0.04733442887663841
as,0.04666147753596306
bg,0.04548919200897217
ae,0.04525494575500488
kh,0.038495540618896484
rs,0.0378304086625576
tg,0.03487689048051834
ne,0.03479618951678276
cf,0.034548819065093994
mp,0.034183841198682785
md,0.03290471434593201
mr,0.027295971289277077
de,0.02724541909992695
ba,0.02593296766281128
gs,0.025879811495542526
sc,0.024316521361470222
bn,0.02380828559398651
by,0.02244018204510212
km,0.02100026234984398
af,0.020554877817630768
ge,0.020416684448719025
ai,0.018093537539243698
nz,0.01712740585207939
au,0.01524540688842535
hm,0.01524540688842535
ms,0.014419212937355042
tc,0.010676347650587559
cu,0.008497264236211777
fk,0.006369436159729958
bf,0.005904605612158775
vg,0.00550160463899374
je,0.005355881527066231
pe,0.005205119028687477
mu,0.004839682951569557
ky,0.0029337862506508827
cw,0.0026693735271692276
gu,0.0018877359107136726
cl,8.593779057264328e-05
mw,-0.00019414164125919342
ck,-0.0018379585817456245
na,-0.0039284564554691315
pn,-0.003949250094592571
hn,-0.0045793987810611725
tk,-0.00649304548278451
mh,-0.012226572260260582
bz,-0.014063535258173943
nu,-0.014757498167455196
th,-0.017195090651512146
sv,-0.01811995729804039
kr,-0.018646830692887306
ad,-0.020284930244088173
ie,-0.0216372013092041
ro,-0.023123959079384804
vc,-0.024110645055770874
vu,-0.026233308017253876
td,-0.027015414088964462
jp,-0.02765108086168766
eu,-0.027834255248308182
mx,-0.034658316522836685
gb-sct,-0.0348283052444458
aq,-0.03516734763979912
ml,-0.04105978459119797
gb-eng,-0.04834940657019615
sn,-0.05027833208441734
gw,-0.05086389556527138
ua,-0.05123079568147659
ke,-0.05127953737974167
pk,-0.05353523790836334
bl,-0.054764777421951294
fr,-0.054764777421951294
gf,-0.054764777421951294
gp,-0.054764777421951294
mf,-0.054764777421951294
mq,-0.054764777421951294
nc,-0.054764777421951294
pm,-0.054764777421951294
re,-0.054764777421951294
yt,-0.054764777421951294
tf,-0.055833809077739716
ss,-0.056271761655807495
il,-0.05845705047249794
xk,-0.05907490849494934
cy,-0.05939529091119766
ng,-0.06269503384828568
ni,-0.06403021514415741
aw,-0.06517550349235535
ca,-0.06561367213726044
cx,-0.06813227385282516
cd,-0.0718359500169754
ls,-0.07285820692777634
zm,-0.07594703137874603
it,-0.07959859073162079
cr,-0.08226720988750458
uz,-0.08361309766769409
er,-0.0855235904455185
bd,-0.08650205284357071
nf,-0.08665154874324799
ar,-0.0882577896118164
cv,-0.08928356319665909
sl,-0.09179388731718063
vi,-0.09404265135526657
lc,-0.09552042931318283
sb,-0.1030542254447937
gn,-0.10323483496904373
jm,-0.10567642748355865
so,-0.10632527619600296
mz,-0.10647784918546677
fj,-0.10714703053236008
sm,-0.10732883960008621
sr,-0.11013268679380417
ci,-0.11869537085294724
sa,-0.11918988078832626
bb,-0.1227148249745369
dz,-0.12402839213609695
tm,-0.12444198876619339
io,-0.12563614547252655
lr,-0.130628302693367
rw,-0.13171452283859253
ax,-0.1356772780418396
om,-0.13685764372348785
gy,-0.1406777948141098
br,-0.14272162318229675
fm,-0.143736332654953
fi,-0.15018020570278168
