Image,Similarity
ru,0.7870140671730042
si,0.776063859462738
bg,0.7531625032424927
pl,0.6080660820007324
cz,0.5631870031356812
cl,0.4753352999687195
ve,0.4464559853076935
gl,0.43633323907852173
gi,0.4327097237110138
lt,0.4190228581428528
om,0.3607517182826996
co,0.34602659940719604
sm,0.33901655673980713
fo,0.3362140655517578
bt,0.3245726525783539
jp,0.3098280727863312
ec,0.30396875739097595
th,0.3017880916595459
fi,0.28826475143432617
cy,0.27564412355422974
mm,0.27248769998550415
gb-eng,0.2716294229030609
nf,0.2699754536151886
uy,0.2696646749973297
vi,0.2664203643798828
ca,0.26507559418678284
lc,0.2548769414424896
gg,0.25317299365997314
bn,0.25218239426612854
kr,0.24174198508262634
va,0.23399686813354492
gt,0.23322679102420807
ge,0.23028427362442017
pe,0.22991521656513214
lr,0.2182590812444687
je,0.21571354568004608
bm,0.2088155448436737
ie,0.20880207419395447
ng,0.2010936439037323
wf,0.19990934431552887
ci,0.19668364524841309
dj,0.19576147198677063
mx,0.18813416361808777
mt,0.1871742308139801
fm,0.1856098473072052
to,0.18112415075302124
lb,0.17947036027908325
aw,0.16746249794960022
gd,0.15974675118923187
pr,0.1459086537361145
at,0.14352178573608398
cn,0.1373845636844635
hk,0.13603582978248596
um,0.13358809053897858
us,0.13358809053897858
bi,0.1318107396364212
am,0.12577398121356964
it,0.12174349278211594
ch,0.12101874500513077
bh,0.12076070159673691
bl,0.11866259574890137
fr,0.11866259574890137
gf,0.11866259574890137
gp,0.11866259574890137
mf,0.11866259574890137
mq,0.11866259574890137
nc,0.11866259574890137
pm,0.11866259574890137
re,0.11866259574890137
yt,0.11866259574890137
pf,0.11471863090991974
ir,0.11453332751989365
kg,0.11334313452243805
ph,0.10802724957466125
cu,0.10374531149864197
gb-wls,0.10039453208446503
km,0.0977945476770401
im,0.09638485312461853
vc,0.09610845148563385
cr,0.09588626772165298
tn,0.09378845989704132
bw,0.09337760508060455
al,0.08680706471204758
dk,0.08490114659070969
ma,0.08051474392414093
tl,0.0781884714961052
mk,0.07810522615909576
md,0.07504525780677795
tr,0.07259801030158997
mz,0.07209719717502594
pa,0.07082869857549667
ug,0.06940903514623642
in,0.0671471655368805
gn,0.06515417248010635
tw,0.05706050619482994
fj,0.05571460723876953
nu,0.05418553948402405
sn,0.0534282922744751
io,0.05282839760184288
bv,0.05095522105693817
no,0.05095522105693817
sj,0.05095522105693817
bj,0.05018191039562225
dz,0.05008832737803459
cf,0.04950417950749397
ar,0.044234685599803925
np,0.04198212921619415
vn,0.039085954427719116
ad,0.03665325045585632
mg,0.035138972103595734
bb,0.03382175788283348
rs,0.029942452907562256
gw,0.02427581697702408
mv,0.022800428792834282
lk,0.020120562985539436
ck,0.01899203285574913
fk,0.01642029546201229
li,0.015218183398246765
ht,0.015148285776376724
tv,0.014700021594762802
zw,0.014326473698019981
la,0.01352262869477272
gq,0.013029620051383972
cg,0.011998215690255165
gr,0.01194094493985176
kn,0.010996265336871147
il,0.01079290360212326
tt,0.00904894806444645
my,0.008743634447455406
sz,0.007130196318030357
gs,0.006806809920817614
so,0.0014526303857564926
me,-0.0010672714561223984
ms,-0.001930528786033392
ro,-0.006100327707827091
ml,-0.009340150281786919
au,-0.012928604148328304
hm,-0.012928604148328304
do,-0.01803767867386341
sc,-0.01878131926059723
gb-nir,-0.019716160371899605
gb,-0.019716160371899605
sh,-0.019716160371899605
nz,-0.01982574723660946
vg,-0.021393515169620514
ky,-0.02260780893266201
td,-0.0259232260286808
rw,-0.028671063482761383
kp,-0.030152082443237305
ai,-0.030546793714165688
lv,-0.0313115119934082
pn,-0.033406805247068405
ws,-0.034060366451740265
qa,-0.034203290939331055
kw,-0.035168133676052094
ee,-0.03521853685379028
mp,-0.040383510291576385
ua,-0.04168995842337608
cm,-0.043699659407138824
ao,-0.04392752796411514
et,-0.04406542703509331
za,-0.04437827318906784
az,-0.04483511671423912
be,-0.04580847546458244
tc,-0.048273056745529175
gb-sct,-0.05123453959822655
es,-0.05213203281164169
