Image,Similarity
ni,0.8671561479568481
hn,0.8317270278930664
sv,0.8122907280921936
uz,0.7748538851737976
ae,0.7672141790390015
bq,0.7585805058479309
nl,0.7585805058479309
ps,0.7493096590042114
lu,0.7328939437866211
ar,0.7178819179534912
py,0.7071609497070312
eh,0.6990156173706055
hu,0.6609265208244324
kw,0.6318380832672119
ga,0.5958921313285828
as,0.5941314697265625
hr,0.5755207538604736
gb-sct,0.5654048323631287
jo,0.5634211301803589
ls,0.5613656044006348
so,0.551676869392395
gq,0.5475493669509888
ye,0.5473573207855225
il,0.5412442088127136
fm,0.5301131010055542
ne,0.5200679302215576
sd,0.5190660953521729
ir,0.5174220204353333
in,0.5164711475372314
eg,0.5048577189445496
tj,0.502926766872406
aq,0.46969735622406006
iq,0.4629407525062561
kz,0.4544461965560913
sy,0.441912978887558
gr,0.4327835142612457
bs,0.4175640344619751
mo,0.39252594113349915
dj,0.3884735405445099
fj,0.38436776399612427
pw,0.37447771430015564
at,0.3697142004966736
ng,0.36702534556388855
gt,0.3528159260749817
ie,0.33128809928894043
cx,0.3237614929676056
tv,0.3152216672897339
sm,0.294602632522583
do,0.2813766598701477
mp,0.2663422226905823
ci,0.26082152128219604
se,0.2577202320098877
st,0.25141772627830505
lv,0.24850668013095856
nf,0.23897871375083923
pf,0.2366684228181839
cy,0.23265747725963593
aw,0.23262819647789001
is,0.231959730386734
it,0.22815120220184326
bo,0.22814133763313293
mh,0.22154495120048523
jm,0.22098465263843536
cv,0.21970604360103607
bz,0.21543458104133606
cd,0.21283096075057983
xk,0.21138134598731995
rw,0.19857193529605865
gy,0.19411098957061768
az,0.19220829010009766
uy,0.18845218420028687
lb,0.18326136469841003
dz,0.17991849780082703
kh,0.17760077118873596
bi,0.17672964930534363
pa,0.1766047328710556
sg,0.17542724311351776
lc,0.16520899534225464
km,0.16351468861103058
cu,0.1631430983543396
io,0.1602519154548645
bl,0.15793374180793762
fr,0.15793374180793762
gf,0.15793374180793762
gp,0.15793374180793762
mf,0.15793374180793762
mq,0.15793374180793762
nc,0.15793374180793762
pm,0.15793374180793762
re,0.15793374180793762
yt,0.15793374180793762
je,0.1511181741952896
kr,0.14471833407878876
ba,0.1411365121603012
br,0.13607510924339294
mc,0.13051363825798035
va,0.1271820366382599
mx,0.1128830686211586
gh,0.10789301991462708
gu,0.10292262583971024
bt,0.094732366502285
ax,0.0944356769323349
sa,0.09377942979335785
vi,0.09306062757968903
mn,0.08521846681833267
nr,0.08444377779960632
um,0.083012655377388
us,0.083012655377388
mt,0.08265316486358643
bw,0.07996786385774612
id,0.07776416838169098
ki,0.07684944570064545
za,0.07489372789859772
tf,0.07192176580429077
dm,0.0698828473687172
dk,0.06968788057565689
gl,0.0639425590634346
ss,0.06276082247495651
er,0.0610794760286808
et,0.05997220799326897
lr,0.05461577698588371
sx,0.053178571164608
gw,0.052722424268722534
pl,0.05225030705332756
mm,0.050564028322696686
gb-nir,0.0341082327067852
gb,0.0341082327067852
sh,0.0341082327067852
ch,0.03360433131456375
ai,0.021864041686058044
eu,0.02059328556060791
mg,0.010460056364536285
ca,0.008319370448589325
fo,0.004505962133407593
sb,0.003916420042514801
cg,0.003136739134788513
bd,0.0009259358048439026
na,0.0007401406764984131
pk,-0.007625095546245575
fk,-0.008075524121522903
sc,-0.012239444069564342
kp,-0.013064483180642128
jp,-0.013306833803653717
gg,-0.022519852966070175
tc,-0.025335121899843216
pr,-0.02869933843612671
tz,-0.029554639011621475
gb-eng,-0.03360721841454506
cl,-0.034532297402620316
cf,-0.03616952523589134
gm,-0.03683844581246376
ms,-0.037656016647815704
la,-0.038096558302640915
cr,-0.041915249079465866
ag,-0.04451730102300644
tm,-0.04780448228120804
pe,-0.050426874309778214
ck,-0.05274377763271332
ec,-0.05836726352572441
pn,-0.06237960234284401
sr,-0.06354109942913055
mr,-0.06656971573829651
ky,-0.0705912783741951
au,-0.07661308348178864
hm,-0.07661308348178864
nz,-0.07768997550010681
co,-0.07856529206037521
cc,-0.07976952195167542
sn,-0.08135411888360977
ge,-0.08608341217041016
np,-0.08979378640651703
bj,-0.09115444868803024
bv,-0.09179388731718063
no,-0.09179388731718063
sj,-0.09179388731718063
gs,-0.09287423640489578
gn,-0.09351512789726257
vg,-0.09498405456542969
ml,-0.10133789479732513
sz,-0.10147593915462494
af,-0.10665542632341385
cw,-0.107969731092453
bf,-0.10838457196950912
nu,-0.11268697679042816
bn,-0.11273151636123657
ke,-0.11870570480823517
fi,-0.12164908647537231
vc,-0.12854203581809998
cz,-0.1304444670677185
hk,-0.13153527677059174
mw,-0.13212284445762634
ro,-0.13328872621059418
gi,-0.13609260320663452
by,-0.13679911196231842
ad,-0.13769705593585968
mu,-0.13833783566951752
my,-0.13936060667037964
ph,-0.13950105011463165
tg,-0.14246714115142822
ua,-0.15335331857204437
es,-0.17087462544441223
tn,-0.17131328582763672
tk,-0.1724720448255539
gb-wls,-0.17717629671096802
be,-0.17940813302993774
om,-0.18188504874706268
td,-0.182322695851326
ht,-0.18469837307929993
rs,-0.18738849461078644
bb,-0.19128835201263428
wf,-0.19649258255958557
zm,-0.19951467216014862
lk,-0.21657320857048035
mk,-0.22604696452617645
md,-0.23991596698760986
pt,-0.24691450595855713
cm,-0.24778905510902405
bm,-0.25199782848358154
si,-0.2744540870189667
bh,-0.27737805247306824
tt,-0.27976757287979126
sk,-0.2886001467704773
kn,-0.2918582856655121
kg,-0.2926652431488037
im,-0.2984228730201721
tr,-0.3056837320327759
pg,-0.3159078359603882
vn,-0.3225557804107666
vu,-0.3288443088531494
gd,-0.33357295393943787
ug,-0.33416152000427246
de,-0.36759090423583984
to,-0.3692665696144104
ao,-0.3709070384502411
mv,-0.37105250358581543
tl,-0.37245532870292664
bg,-0.38367611169815063
li,-0.3845542073249817
me,-0.4098737835884094
ve,-0.4195207953453064
th,-0.4328708052635193
cn,-0.4375748038291931
ru,-0.43931904435157776
ee,-0.4400269389152527
ws,-0.44421854615211487
tw,-0.4542261064052582
ly,-0.4605996310710907
zw,-0.46422725915908813
qa,-0.4934092164039612
mz,-0.5189610123634338
ma,-0.5465389490127563
lt,-0.5751506090164185
am,-0.5838713645935059
al,-0.5882274508476257
