Image,Similarity
cy,0.699992299079895
fm,0.6972879767417908
ca,0.6466174125671387
nf,0.638462245464325
ar,0.6369005441665649
jp,0.618609607219696
gt,0.6184426546096802
kr,0.557634711265564
vi,0.5524647235870361
je,0.5465247631072998
gb-eng,0.5421902537345886
lc,0.5280306935310364
ng,0.518997073173523
ie,0.513978123664856
gg,0.504477858543396
fj,0.4902341961860657
fo,0.48225218057632446
pl,0.480997771024704
uy,0.47692355513572693
so,0.4542648196220398
il,0.45344626903533936
gr,0.4373297095298767
dj,0.43108290433883667
lu,0.4111200273036957
va,0.40906742215156555
bw,0.401258647441864
ge,0.3959961533546448
fi,0.38782933354377747
gb-sct,0.38647305965423584
km,0.3763142228126526
mx,0.3733372092247009
pw,0.35871848464012146
cz,0.3577705919742584
gl,0.3577572703361511
aw,0.35484182834625244
bg,0.34559759497642517
kz,0.3422316610813141
sk,0.33901655673980713
lr,0.3343326151371002
tv,0.33337312936782837
ci,0.3295140266418457
cr,0.32435089349746704
ni,0.3214876353740692
ru,0.3160713315010071
om,0.3101220726966858
in,0.2972409129142761
mt,0.2952629625797272
mg,0.29474517703056335
sl,0.294602632522583
cu,0.285233736038208
pa,0.2827940583229065
si,0.281963586807251
dz,0.27385520935058594
it,0.26879778504371643
um,0.2676657438278198
us,0.2676657438278198
cl,0.26577097177505493
lb,0.2601678967475891
sg,0.25794708728790283
gi,0.25129392743110657
bn,0.24818727374076843
uz,0.24508178234100342
pf,0.24406251311302185
sc,0.23056358098983765
pe,0.22624243795871735
py,0.22275105118751526
bt,0.2193514108657837
cd,0.21929185092449188
io,0.21816390752792358
th,0.21515318751335144
sv,0.21024295687675476
hu,0.1964370608329773
gw,0.1899578720331192
bl,0.18249362707138062
fr,0.18249362707138062
gf,0.18249362707138062
gp,0.18249362707138062
mf,0.18249362707138062
mq,0.18249362707138062
nc,0.18249362707138062
pm,0.18249362707138062
re,0.18249362707138062
yt,0.18249362707138062
ne,0.18179811537265778
ls,0.1694479137659073
hr,0.16742901504039764
bq,0.16195005178451538
nl,0.16195005178451538
mp,0.15562203526496887
co,0.15181371569633484
pr,0.15032705664634705
bi,0.14577943086624146
ba,0.14551018178462982
hn,0.14316818118095398
ec,0.1285826563835144
rs,0.12618467211723328
mc,0.11855345964431763
tj,0.11848406493663788
gb-nir,0.11214560270309448
gb,0.11214560270309448
sh,0.11214560270309448
at,0.11094881594181061
cf,0.0944269597530365
id,0.09097002446651459
gb-wls,0.08811850845813751
vc,0.08375108242034912
ga,0.07639750838279724
aq,0.06314003467559814
xk,0.0601738840341568
nu,0.05882900953292847
za,0.05805402249097824
ir,0.045647237449884415
mm,0.04050620272755623
as,0.03432105854153633
se,0.030332691967487335
sr,0.024083130061626434
az,0.022417530417442322
ee,0.012439928948879242
rw,0.011119931936264038
ki,0.009100206196308136
sn,0.006555549800395966
tf,0.002859733998775482
gy,-0.0010134018957614899
kp,-0.003995126578956842
do,-0.007825028151273727
sd,-0.01183195412158966
dk,-0.013614507392048836
ye,-0.01454835943877697
bf,-0.016806207597255707
sx,-0.01950831711292267
fk,-0.019904017448425293
eg,-0.02416815608739853
iq,-0.025095555931329727
ai,-0.030224649235606194
my,-0.030328959226608276
gd,-0.03072359412908554
is,-0.032275713980197906
wf,-0.04531748965382576
ax,-0.048229917883872986
md,-0.05152915418148041
bj,-0.05304710566997528
sy,-0.053335435688495636
bs,-0.05531878024339676
gn,-0.05773462355136871
gq,-0.0648094117641449
mn,-0.06483107805252075
bh,-0.06576904654502869
ml,-0.06605802476406097
np,-0.06719627976417542
lt,-0.06812377274036407
ae,-0.06949682533740997
ck,-0.0725788027048111
kw,-0.07416621595621109
ad,-0.07763969898223877
bm,-0.08095361292362213
tc,-0.08718328922986984
ms,-0.08728282153606415
ve,-0.09959815442562103
bo,-0.10009323805570602
cg,-0.10393159091472626
ro,-0.10509568452835083
bb,-0.10541579127311707
ky,-0.10671798139810562
st,-0.10683993250131607
bv,-0.10732883960008621
no,-0.10732883960008621
sj,-0.10732883960008621
er,-0.10988466441631317
pn,-0.11254505813121796
bz,-0.113454669713974
au,-0.1191863864660263
hm,-0.1191863864660263
sz,-0.1192561686038971
cx,-0.12157272547483444
gs,-0.1264098584651947
gh,-0.13078320026397705
vg,-0.13080067932605743
br,-0.1316073089838028
cv,-0.1318148970603943
nz,-0.13438236713409424
tz,-0.1356511116027832
tg,-0.13625553250312805
gm,-0.13821974396705627
lv,-0.162685364484787
na,-0.16818676888942719
mh,-0.17068076133728027
td,-0.1731722354888916
ps,-0.1753295212984085
mk,-0.1778266429901123
sb,-0.17893950641155243
eu,-0.18398843705654144
to,-0.1896606832742691
eh,-0.19076581299304962
mo,-0.19142182171344757
dm,-0.19554877281188965
kg,-0.19939985871315002
ch,-0.19970370829105377
cm,-0.20561209321022034
by,-0.2057676762342453
kh,-0.21187813580036163
lk,-0.2141709327697754
jm,-0.21888726949691772
mu,-0.22584876418113708
mr,-0.22945556044578552
es,-0.22952449321746826
ua,-0.23048678040504456
sa,-0.23073101043701172
be,-0.2339116334915161
tr,-0.24352997541427612
vu,-0.2580994963645935
hk,-0.25885117053985596
tm,-0.2785978317260742
nr,-0.2883243262767792
ug,-0.290046364068985
zw,-0.29315224289894104
cw,-0.29846563935279846
mz,-0.2991490364074707
pk,-0.29951879382133484
jo,-0.3057445287704468
bd,-0.30993223190307617
cn,-0.3159681558609009
et,-0.3192752003669739
gu,-0.3226259648799896
tk,-0.32567042112350464
kn,-0.32601332664489746
am,-0.3292436897754669
tl,-0.332915723323822
tn,-0.3367534875869751
ph,-0.33690154552459717
pg,-0.3414539694786072
vn,-0.34396475553512573
im,-0.3448141813278198
tt,-0.35484427213668823
ao,-0.35921114683151245
la,-0.3596749007701874
ss,-0.36602312326431274
af,-0.366266131401062
tw,-0.36716142296791077
mv,-0.37414222955703735
ag,-0.39390313625335693
pt,-0.4124068319797516
ke,-0.43839794397354126
ly,-0.45787668228149414
cc,-0.4756027162075043
ht,-0.4779338836669922
ma,-0.4782240688800812
al,-0.48097193241119385
ws,-0.5044228434562683
zm,-0.5132222771644592
me,-0.530238151550293
qa,-0.5441609621047974
mw,-0.5500456094741821
li,-0.5802717804908752
de,-0.6018886566162109
