Image,Similarity
jm,0.6080949306488037
ga,0.5853149890899658
gy,0.5060215592384338
gh,0.5059577226638794
cc,0.4621422588825226
bo,0.4477595388889313
bs,0.43873098492622375
tg,0.40313059091567993
br,0.3926219642162323
zm,0.37513870000839233
ss,0.3583890497684479
az,0.3521965444087982
ke,0.34926068782806396
nu,0.3409140706062317
ml,0.3189210295677185
es,0.31715768575668335
ne,0.31582942605018616
ls,0.3155788779258728
ax,0.31500113010406494
uz,0.30895161628723145
eh,0.30848342180252075
gw,0.3082147538661957
mw,0.3058338165283203
jo,0.28870683908462524
sn,0.28566765785217285
ae,0.2806311249732971
de,0.27876532077789307
er,0.27797242999076843
gn,0.27679166197776794
ps,0.2765679955482483
se,0.2733805477619171
cg,0.27292969822883606
bd,0.272849977016449
vc,0.27102047204971313
dm,0.2674666941165924
by,0.26704686880111694
tk,0.2614552974700928
rw,0.25835052132606506
sl,0.25141772627830505
tj,0.23859500885009766
pw,0.2376580834388733
in,0.22833561897277832
sr,0.21996617317199707
td,0.21942195296287537
lk,0.2118002474308014
md,0.2028818130493164
om,0.20046937465667725
sa,0.19923849403858185
zw,0.19836516678333282
mu,0.19773128628730774
ir,0.1887703835964203
tm,0.18651536107063293
gq,0.18592649698257446
va,0.18508298695087433
ro,0.18476808071136475
sc,0.17545461654663086
bt,0.17197108268737793
bj,0.16459029912948608
kh,0.16302761435508728
pt,0.1574186086654663
kp,0.15599536895751953
mk,0.14959676563739777
kw,0.14844536781311035
tz,0.14704741537570953
sv,0.1397828906774521
as,0.13443228602409363
ni,0.12999747693538666
eg,0.1288968175649643
ua,0.12592780590057373
ug,0.1211334839463234
kg,0.11874611675739288
vn,0.11589337140321732
be,0.11569055914878845
dj,0.11446575075387955
na,0.11333861947059631
mz,0.11226457357406616
kn,0.10830602794885635
ye,0.10038045048713684
tl,0.09977687895298004
iq,0.098128542304039
ba,0.09641433507204056
hn,0.0928075760602951
hu,0.09273527562618256
bf,0.09258787333965302
gb-nir,0.08801387250423431
gb,0.08801387250423431
sh,0.08801387250423431
gb-wls,0.08637851476669312
pk,0.08224627375602722
sd,0.08210601657629013
hr,0.08208726346492767
cf,0.08096034824848175
ad,0.07835958153009415
mo,0.0782405287027359
cm,0.0745030865073204
af,0.0697392076253891
cr,0.06811317801475525
me,0.06789892911911011
bq,0.06577403843402863
nl,0.06577403843402863
mg,0.06520229578018188
py,0.06360743939876556
vu,0.06140068173408508
pg,0.06129859387874603
sy,0.06081855297088623
ao,0.059314027428627014
ar,0.05819740891456604
km,0.05027400702238083
il,0.048230692744255066
sz,0.04705116152763367
bn,0.04631505161523819
kz,0.045100897550582886
aq,0.045083239674568176
et,0.04160872474312782
lu,0.03809724748134613
dz,0.03663119673728943
cx,0.030553288757801056
ki,0.025672078132629395
sb,0.023676350712776184
to,0.021834999322891235
mr,0.019242413341999054
bb,0.01635989546775818
gd,0.01628842204809189
ci,0.015494927763938904
gb-sct,0.012627139687538147
gg,0.010252201929688454
ec,0.005857700482010841
cn,0.004827439785003662
mh,0.0025808364152908325
ge,-0.000442249933257699
cy,-0.001552671194076538
cv,-0.003574281930923462
cu,-0.007852800190448761
ch,-0.01539162453263998
do,-0.018275819718837738
tr,-0.019592151045799255
ie,-0.02186824381351471
id,-0.023765377700328827
pf,-0.024024248123168945
ma,-0.025959327816963196
tt,-0.02863423526287079
mm,-0.028676476329565048
hk,-0.029811203479766846
cw,-0.035326357930898666
gi,-0.03549976646900177
is,-0.03756511211395264
ca,-0.038256995379924774
lv,-0.03850281611084938
bh,-0.04039769619703293
nf,-0.04089587181806564
wf,-0.04406769573688507
cd,-0.044144660234451294
co,-0.04429134726524353
je,-0.045310892164707184
tn,-0.045731522142887115
it,-0.052104853093624115
gb-eng,-0.05276554077863693
ng,-0.05449919402599335
sg,-0.058003686368465424
mc,-0.05832469463348389
za,-0.058965373784303665
mx,-0.06256633996963501
tw,-0.06579232215881348
cl,-0.06644974648952484
sx,-0.06990132480859756
mt,-0.07042215019464493
vi,-0.0714525505900383
at,-0.07367708534002304
my,-0.07825324684381485
al,-0.07858461141586304
pa,-0.07935070991516113
lb,-0.08008889853954315
lr,-0.08178317546844482
ag,-0.08321254700422287
gl,-0.08373679220676422
pe,-0.08569039404392242
im,-0.08619915693998337
bi,-0.08925500512123108
pl,-0.09095365554094315
dk,-0.09755769371986389
bl,-0.10009877383708954
fr,-0.10009877383708954
gf,-0.10009877383708954
gp,-0.10009877383708954
mf,-0.10009877383708954
mq,-0.10009877383708954
nc,-0.10009877383708954
pm,-0.10009877383708954
re,-0.10009877383708954
yt,-0.10009877383708954
lc,-0.10010283440351486
jp,-0.10193566977977753
bm,-0.10485106706619263
io,-0.10683020949363708
sm,-0.10683993250131607
um,-0.10951772332191467
us,-0.10951772332191467
ws,-0.11544844508171082
bw,-0.11979665607213974
kr,-0.12514260411262512
gm,-0.12528640031814575
ph,-0.14158162474632263
ly,-0.14318057894706726
gr,-0.14493778347969055
qa,-0.14533571898937225
nr,-0.14567846059799194
tc,-0.14696134626865387
pn,-0.1521347165107727
gt,-0.15300923585891724
ai,-0.1532171070575714
li,-0.1532590389251709
mp,-0.15714481472969055
bz,-0.16431549191474915
np,-0.1653420627117157
bv,-0.1691594123840332
no,-0.1691594123840332
sj,-0.1691594123840332
fo,-0.17126181721687317
vg,-0.17459969222545624
cz,-0.19010549783706665
lt,-0.19259431958198547
ky,-0.19371363520622253
fj,-0.19644597172737122
xk,-0.19820860028266907
uy,-0.19827952980995178
ms,-0.19861005246639252
fk,-0.20311908423900604
gs,-0.20602498948574066
ee,-0.21274346113204956
ck,-0.2148953080177307
ht,-0.22169102728366852
nz,-0.22201719880104065
au,-0.22378012537956238
hm,-0.22378012537956238
tv,-0.22817575931549072
fm,-0.22973129153251648
pr,-0.23373167216777802
aw,-0.2371586263179779
gu,-0.23879855871200562
mn,-0.25034865736961365
tf,-0.2648823857307434
th,-0.29986652731895447
rs,-0.3008691668510437
eu,-0.30438902974128723
bg,-0.30903464555740356
fi,-0.3091055452823639
ve,-0.3127416670322418
sk,-0.3285379409790039
so,-0.33641505241394043
mv,-0.34447139501571655
am,-0.4020102620124817
la,-0.40367186069488525
ru,-0.4707842171192169
si,-0.48681747913360596
