Image,Similarity
ni,0.9448080658912659
hn,0.9135662317276001
sl,0.8122907280921936
uz,0.7548918724060059
ae,0.7371119856834412
ps,0.7231858372688293
ls,0.718980073928833
eh,0.7162936925888062
ar,0.7032040357589722
bq,0.6933410167694092
nl,0.6933410167694092
py,0.6527632474899292
as,0.635891854763031
hr,0.609693169593811
lu,0.6054676175117493
kw,0.5862610340118408
hu,0.5815238952636719
il,0.5770901441574097
so,0.5558017492294312
jo,0.5499933362007141
ye,0.5475984215736389
eg,0.5447461605072021
gb-sct,0.5361067056655884
sd,0.5313606262207031
ga,0.5246049165725708
iq,0.4963754713535309
fm,0.4879243075847626
ir,0.47317221760749817
aq,0.4722627103328705
kz,0.4631444811820984
bs,0.4616994261741638
sy,0.43939322233200073
tj,0.4375845491886139
gr,0.42899465560913086
ne,0.4245222806930542
gq,0.40392181277275085
dj,0.39984720945358276
pw,0.37532365322113037
mh,0.37320375442504883
in,0.3653908669948578
xk,0.3637152910232544
is,0.3403431177139282
tv,0.3349097967147827
cv,0.3267878293991089
bz,0.3251064717769623
fj,0.3228279948234558
mp,0.3203257620334625
at,0.3197200894355774
aw,0.3147698938846588
mo,0.3130943179130554
rw,0.3066943883895874
cx,0.30192261934280396
cd,0.2910030484199524
do,0.2908240556716919
kh,0.2907699942588806
nr,0.29044267535209656
az,0.2798576354980469
se,0.26838988065719604
gt,0.25832298398017883
gu,0.2464156448841095
lv,0.24383169412612915
eu,0.23702111840248108
pf,0.23432788252830505
mn,0.2324007898569107
lc,0.2317524552345276
tf,0.22791188955307007
sb,0.22585570812225342
bo,0.21901102364063263
ng,0.21570396423339844
sm,0.21024295687675476
cu,0.20669424533843994
lb,0.1963595747947693
gh,0.1940556913614273
nf,0.1886054426431656
ai,0.17529752850532532
ie,0.16563311219215393
jm,0.16353246569633484
io,0.15289700031280518
fk,0.14800937473773956
dz,0.1447969675064087
pa,0.14291709661483765
bw,0.1423046588897705
ax,0.14095312356948853
st,0.1397828906774521
ph,0.13940586149692535
sa,0.13515529036521912
tc,0.12770284712314606
uy,0.12592294812202454
cy,0.12313878536224365
ms,0.12215539067983627
gb-nir,0.12008903175592422
gb,0.12008903175592422
sh,0.12008903175592422
ss,0.11703269183635712
et,0.11476977169513702
kr,0.1111409068107605
bi,0.1038227379322052
sx,0.10203374922275543
cw,0.10114822536706924
gy,0.09729168564081192
na,0.09375719726085663
za,0.09332920610904694
dm,0.08974342793226242
ck,0.0874229297041893
ci,0.08681166917085648
it,0.08581420034170151
pn,0.08543528616428375
nz,0.08520515263080597
ky,0.08288136124610901
au,0.08172989636659622
hm,0.08172989636659622
br,0.07339075207710266
ht,0.07097980380058289
gs,0.06735779345035553
np,0.06452526897192001
je,0.06350798904895782
cf,0.061392176896333694
dk,0.06026659533381462
vg,0.05472005903720856
kp,0.053977977484464645
pl,0.053853265941143036
bl,0.05050190910696983
fr,0.05050190910696983
gf,0.05050190910696983
gp,0.05050190910696983
mf,0.05050190910696983
mq,0.05050190910696983
nc,0.05050190910696983
pm,0.05050190910696983
re,0.05050190910696983
yt,0.05050190910696983
bd,0.04211600869894028
mx,0.03560565784573555
sg,0.030504509806632996
mt,0.029757052659988403
um,0.02506396174430847
us,0.02506396174430847
gm,0.02012794092297554
gl,0.0172637477517128
cl,0.0037791579961776733
mc,0.002654552459716797
lr,-0.002027653157711029
mg,-0.0060401540249586105
er,-0.011031215079128742
km,-0.01107108872383833
bv,-0.01811995729804039
no,-0.01811995729804039
sj,-0.01811995729804039
pk,-0.019303180277347565
tm,-0.02916211634874344
ua,-0.029249384999275208
ba,-0.03238636627793312
tz,-0.0345037616789341
cr,-0.03599940612912178
ke,-0.041419580578804016
gi,-0.04166839271783829
vi,-0.04641243815422058
pr,-0.04804428666830063
mr,-0.05306918919086456
fo,-0.05361858755350113
jp,-0.05499210208654404
la,-0.05588768422603607
