Image,Similarity
bf,0.5661684274673462
mg,0.5439422726631165
by,0.5035485625267029
ao,0.49189236760139465
gh,0.45632171630859375
vu,0.4543347656726837
bo,0.4529363512992859
py,0.4497859477996826
eg,0.406718373298645
iq,0.393826961517334
hr,0.3934633731842041
pg,0.3922308385372162
ye,0.3794581890106201
qa,0.3741168677806854
sd,0.3700743019580841
au,0.349136084318161
hm,0.349136084318161
sy,0.3490006625652313
bq,0.34890758991241455
nl,0.34890758991241455
gw,0.34689250588417053
nz,0.34514832496643066
lu,0.3361973166465759
ne,0.325973778963089
tc,0.3252619802951813
gm,0.3240513205528259
tl,0.3224947452545166
co,0.3036741614341736
ly,0.30172663927078247
pn,0.3011491298675537
ai,0.29644617438316345
vg,0.29496145248413086
gs,0.2931146025657654
ky,0.292161226272583
bh,0.2816542685031891
ck,0.27840399742126465
to,0.2765690088272095
ms,0.27561354637145996
mw,0.26770174503326416
tj,0.26764702796936035
fk,0.26424601674079895
hu,0.2634773254394531
tr,0.26282548904418945
ma,0.2618182897567749
me,0.2501603066921234
lv,0.24898464977741241
in,0.2482127547264099
tt,0.2473900318145752
cn,0.2383214235305786
za,0.23114365339279175
ki,0.23045504093170166
ba,0.21601295471191406
pt,0.21286004781723022
nr,0.20749515295028687
kp,0.20298458635807037
kh,0.20167383551597595
al,0.20005615055561066
np,0.19252663850784302
eh,0.18521420657634735
gb-wls,0.18286296725273132
ss,0.18142105638980865
tf,0.18106192350387573
er,0.18053752183914185
ke,0.17690519988536835
id,0.1680625081062317
im,0.16295939683914185
ps,0.16184629499912262
ec,0.15988047420978546
pf,0.15726324915885925
bd,0.15377911925315857
tn,0.15012423694133759
vn,0.14944490790367126
dk,0.14350590109825134
eu,0.14025399088859558
hk,0.13828754425048828
wf,0.13551755249500275
kg,0.12764540314674377
rs,0.1274968385696411
sc,0.12228566408157349
na,0.11868499219417572
cx,0.11565285176038742
gu,0.11354386806488037
at,0.11267189681529999
bm,0.11102908104658127
lk,0.10908307135105133
mt,0.10904685407876968
ve,0.10840795189142227
bv,0.10695613920688629
no,0.10695613920688629
sj,0.10695613920688629
bz,0.10267945379018784
sv,0.10203374922275543
ch,0.10085567831993103
do,0.09637530148029327
af,0.09570412337779999
mv,0.0918920636177063
is,0.09071128815412521
tz,0.0895891860127449
lb,0.087845079600811
es,0.0852685421705246
la,0.08332984149456024
dm,0.08276840299367905
hn,0.08198694884777069
mk,0.08053026348352432
ae,0.07591845840215683
as,0.07432110607624054
gb-nir,0.0735849067568779
gb,0.0735849067568779
sh,0.0735849067568779
ls,0.07273505628108978
cd,0.0723833292722702
pa,0.06882508099079132
mn,0.06761863827705383
am,0.06525291502475739
mc,0.06510236859321594
sg,0.0638897716999054
cm,0.05576841160655022
tw,0.054680876433849335
sl,0.053178571164608
lt,0.05280110985040665
sa,0.05173495039343834
gi,0.049875080585479736
om,0.046241436153650284
ws,0.04198058322072029
pk,0.04172542691230774
tv,0.03128097206354141
io,0.024556035175919533
jo,0.023453712463378906
zw,0.02243155613541603
ax,0.014072556048631668
mu,0.011393092572689056
jm,0.010858945548534393
ni,0.010838109999895096
bi,-0.0008060168474912643
cr,-0.0011751018464565277
tm,-0.0017847567796707153
cc,-0.003942012786865234
tg,-0.005203861743211746
km,-0.006319737061858177
il,-0.011337153613567352
cw,-0.013507410883903503
sm,-0.01950831711292267
mp,-0.021942880004644394
br,-0.02494071051478386
aq,-0.02764146775007248
zm,-0.02928350865840912
bj,-0.02999643050134182
mh,-0.030729658901691437
pr,-0.031995419412851334
lr,-0.03733035549521446
fj,-0.039735473692417145
ug,-0.04143286496400833
dj,-0.04358277469873428
uy,-0.04587250202894211
se,-0.04720713943243027
kr,-0.04912050440907478
bb,-0.050064291805028915
cf,-0.05117170885205269
sb,-0.05210089683532715
sr,-0.05224248021841049
sz,-0.05652875453233719
mm,-0.05935162678360939
xk,-0.06041206419467926
mr,-0.06060268357396126
st,-0.06990132480859756
gb-sct,-0.0730932429432869
md,-0.07381667196750641
cu,-0.08384311199188232
gl,-0.08406774699687958
ad,-0.08502881228923798
ag,-0.0878431499004364
ga,-0.08942878246307373
td,-0.09196716547012329
ge,-0.09340432286262512
bn,-0.09532003104686737
th,-0.09780498594045639
ro,-0.10025545209646225
kn,-0.10683785378932953
cv,-0.10714863240718842
jp,-0.1090778112411499
mo,-0.10925262421369553
vc,-0.11099802702665329
gq,-0.11395092308521271
sk,-0.11536281555891037
je,-0.11595066636800766
bt,-0.11838026344776154
ml,-0.11858305335044861
so,-0.1278139054775238
ar,-0.13083723187446594
et,-0.1308557391166687
kz,-0.13173708319664001
pw,-0.13554266095161438
de,-0.13704538345336914
be,-0.14014819264411926
my,-0.14061599969863892
gn,-0.1434701830148697
bs,-0.14516489207744598
gb-eng,-0.14991140365600586
pe,-0.15041112899780273
nf,-0.15055060386657715
gd,-0.1529015302658081
ir,-0.15440261363983154
gg,-0.15512505173683167
kw,-0.1558331996202469
uz,-0.15637490153312683
um,-0.1601066291332245
us,-0.1601066291332245
pl,-0.16281741857528687
ca,-0.17580750584602356
sn,-0.176030233502388
fo,-0.17776528000831604
fi,-0.1853230893611908
mx,-0.18548603355884552
gr,-0.1856423169374466
ru,-0.1881929636001587
vi,-0.1903897076845169
ph,-0.19780734181404114
fm,-0.20602259039878845
si,-0.20651386678218842
bl,-0.20790605247020721
fr,-0.20790605247020721
gf,-0.20790605247020721
gp,-0.20790605247020721
mf,-0.20790605247020721
mq,-0.20790605247020721
nc,-0.20790605247020721
pm,-0.20790605247020721
re,-0.20790605247020721
yt,-0.20790605247020721
bw,-0.20791170001029968
it,-0.22376520931720734
cy,-0.2328939437866211
ci,-0.23405267298221588
nu,-0.2386941909790039
bg,-0.24577292799949646
gy,-0.24689863622188568
li,-0.2503608167171478
dz,-0.2542857825756073
ht,-0.258620947599411
gt,-0.2598727345466614
va,-0.2611331045627594
ng,-0.262454628944397
ie,-0.26275956630706787
az,-0.26865771412849426
cl,-0.28997310996055603
aw,-0.2978241443634033
cg,-0.2999577820301056
cz,-0.3004209101200104
lc,-0.32219529151916504
mz,-0.3312912583351135
ee,-0.3623926341533661
tk,-0.42720961570739746
rw,-0.4875045120716095
ua,-0.6477394104003906
