Image,Similarity
ye,0.9215099215507507
iq,0.9063245058059692
sd,0.9034554362297058
eg,0.8940519690513611
hu,0.7958826422691345
bq,0.7937801480293274
nl,0.7937801480293274
py,0.7437865734100342
ae,0.6996206641197205
tj,0.6795063614845276
in,0.6667010188102722
ps,0.6571562886238098
at,0.6555808782577515
ne,0.6299082636833191
hr,0.6244807839393616
bo,0.6139566898345947
eh,0.6082287430763245
lu,0.5925081968307495
hn,0.5566495656967163
jo,0.5475098490715027
lv,0.5203039646148682
as,0.5151010155677795
gm,0.5038431882858276
kw,0.500800609588623
gq,0.48292648792266846
gh,0.47818487882614136
sl,0.441912978887558
sv,0.43939322233200073
ir,0.4167627692222595
uz,0.40760308504104614
la,0.38491469621658325
ni,0.3795349895954132
sx,0.3490006625652313
pf,0.33567723631858826
ls,0.33088260889053345
hk,0.31530821323394775
bf,0.31474554538726807
ch,0.3043060302734375
ao,0.30424049496650696
tn,0.2962932884693146
dk,0.2933180332183838
by,0.2895188629627228
lb,0.2878890335559845
es,0.28290003538131714
pg,0.26282769441604614
aq,0.2556968927383423
bv,0.25211799144744873
no,0.25211799144744873
sj,0.25211799144744873
im,0.2510336637496948
me,0.24882762134075165
wf,0.2485969215631485
vn,0.24414268136024475
bi,0.2439495325088501
do,0.23872318863868713
tr,0.23136553168296814
za,0.2287082076072693
gw,0.21641114354133606
tl,0.20871451497077942
pt,0.20564772188663483
mm,0.20501217246055603
mg,0.19656820595264435
ai,0.19595979154109955
kg,0.19404134154319763
mk,0.19295340776443481
bm,0.1828313022851944
kh,0.17891374230384827
co,0.17878437042236328
dj,0.17586736381053925
gb-sct,0.17120563983917236
bz,0.16908057034015656
ba,0.16549664735794067
af,0.16456042230129242
tc,0.1612899750471115
lk,0.16122281551361084
bt,0.15875697135925293
ec,0.15618082880973816
ar,0.1558796912431717
cn,0.15420979261398315
il,0.14755690097808838
is,0.14684469997882843
fk,0.1467958390712738
km,0.14515525102615356
to,0.14225152134895325
qa,0.1317863166332245
ms,0.13144651055335999
gu,0.1279802769422531
gi,0.12568777799606323
pl,0.12478272616863251
vu,0.12255840748548508
mo,0.12198930978775024
mu,0.12023922801017761
ma,0.11596139520406723
mv,0.11306481063365936
pn,0.11012326180934906
jm,0.10913269966840744
gb-wls,0.10815473645925522
pa,0.10771100968122482
gs,0.10712792724370956
cm,0.10268759727478027
nz,0.10167014598846436
au,0.09788032621145248
hm,0.09788032621145248
ky,0.09678149223327637
ss,0.09456115961074829
ck,0.09265626221895218
cx,0.08964012563228607
cf,0.08860164880752563
be,0.08622677624225616
gr,0.08618489652872086
pr,0.085358165204525
gl,0.08474511653184891
vg,0.0844772681593895
bs,0.08399038761854172
mr,0.08313747495412827
cl,0.08209674060344696
gb-nir,0.08053997159004211
gb,0.08053997159004211
sh,0.08053997159004211
bj,0.07420526444911957
mw,0.06988070160150528
bd,0.06651366502046585
ke,0.06457488238811493
kp,0.06380059570074081
bh,0.06366001069545746
st,0.06081855297088623
et,0.0584842711687088
tt,0.057085491716861725
td,0.05564906448125839
