Image,Similarity
zw,0.2769812345504761
kp,0.26568567752838135
tg,0.26353856921195984
ug,0.21362628042697906
kh,0.195832759141922
tn,0.18924224376678467
ma,0.18084993958473206
me,0.1756168156862259
cn,0.17513872683048248
hk,0.17384891211986542
er,0.1722322404384613
vn,0.1603093445301056
pg,0.15798994898796082
be,0.15460194647312164
kg,0.15291132032871246
tw,0.15041062235832214
lk,0.14669670164585114
ws,0.14536523818969727
al,0.1450851857662201
ch,0.1442006230354309
qa,0.1401524841785431
my,0.13766011595726013
dz,0.13158227503299713
gy,0.12985561788082123
pe,0.12970691919326782
ao,0.12599243223667145
tk,0.12530769407749176
im,0.11889155209064484
mw,0.11176417022943497
wf,0.10981874912977219
by,0.10855679959058762
de,0.1064010038971901
ly,0.10534781217575073
tl,0.10352475941181183
mk,0.10315538942813873
sr,0.10094296187162399
km,0.09953703731298447
bd,0.09795862436294556
li,0.09380019456148148
cz,0.09219178557395935
vu,0.09161985665559769
bl,0.09066843241453171
fr,0.09066843241453171
gf,0.09066843241453171
gp,0.09066843241453171
mf,0.09066843241453171
mq,0.09066843241453171
nc,0.09066843241453171
pm,0.09066843241453171
re,0.09066843241453171
yt,0.09066843241453171
br,0.08940158784389496
na,0.08938919752836227
tt,0.08443903177976608
cl,0.083145871758461
jo,0.08285138010978699
pt,0.07886394113302231
ht,0.07723268866539001
gb-wls,0.07629614323377609
gh,0.07619991153478622
sn,0.07618530094623566
ag,0.0760386735200882
td,0.07570165395736694
nu,0.06973505765199661
bv,0.06952043622732162
no,0.06952043622732162
sj,0.06952043622732162
bj,0.06821444630622864
sc,0.06617362052202225
jm,0.06537890434265137
ro,0.06432507932186127
lv,0.06382498145103455
es,0.06296983361244202
om,0.06044229120016098
to,0.05845589190721512
ad,0.05733408033847809
ve,0.05614891275763512
ba,0.0561298131942749
tr,0.055420804768800735
cd,0.053029920905828476
md,0.05300939455628395
pl,0.05257619917392731
mh,0.051581621170043945
va,0.05110738426446915
cg,0.04979751259088516
bm,0.049305304884910583
do,0.04872690141201019
cr,0.047805361449718475
st,0.04705116152763367
it,0.04320833459496498
ml,0.04116765409708023
lt,0.04066865146160126
am,0.0406356044113636
je,0.03954720497131348
gw,0.038285993039608
mn,0.037432219833135605
gd,0.03663456439971924
za,0.036353737115859985
gn,0.035205598920583725
bo,0.03421882912516594
zm,0.033848874270915985
cm,0.033309467136859894
cu,0.03255109116435051
bs,0.03176043927669525
az,0.02635710872709751
dk,0.024890854954719543
bf,0.02267458848655224
ax,0.01939745806157589
af,0.019196614623069763
bh,0.016672968864440918
ci,0.01632855460047722
as,0.015987837687134743
id,0.01551889255642891
ck,0.014448711648583412
at,0.0138917937874794
pa,0.013303685933351517
vc,0.01317649893462658
vi,0.01215333677828312
mu,0.011629343032836914
mx,0.010250015184283257
bn,0.009150376543402672
sk,0.007130196318030357
tf,0.006517097353935242
gm,0.006166219711303711
gl,0.005331765860319138
mm,0.003996843937784433
aq,0.003568466752767563
ru,0.003297769231721759
sd,0.0009519029408693314
iq,0.0007451269775629044
au,0.0005764502566307783
hm,0.0005764502566307783
fj,-0.000445634126663208
ye,-0.0031164344400167465
eg,-0.0032104896381497383
ke,-0.00420103594660759
ie,-0.005246573127806187
vg,-0.006001055706292391
kn,-0.006073259748518467
mz,-0.006127700209617615
bb,-0.006160001736134291
co,-0.006172239780426025
mc,-0.006791908293962479
mp,-0.0072028301656246185
tz,-0.007788218557834625
fo,-0.007863428443670273
bt,-0.008427077904343605
pn,-0.009195918217301369
gb-nir,-0.010171612724661827
gb,-0.010171612724661827
sh,-0.010171612724661827
sy,-0.010197264142334461
si,-0.01315612718462944
sg,-0.013439062982797623
ki,-0.014337711967527866
eu,-0.015408952720463276
gq,-0.015640078112483025
ee,-0.017759382724761963
nz,-0.017819955945014954
gs,-0.018409913405776024
fi,-0.018912093713879585
bg,-0.01923614926636219
tc,-0.019283823668956757
tm,-0.023313773795962334
ky,-0.023397497832775116
la,-0.02449766919016838
gg,-0.025011735036969185
lr,-0.025774210691452026
ge,-0.026174208149313927
ua,-0.026276882737874985
eh,-0.026297137141227722
is,-0.02726874127984047
aw,-0.027700001373887062
jp,-0.028843887150287628
um,-0.030620872974395752
us,-0.030620872974395752
hu,-0.03225366398692131
py,-0.033089593052864075
ga,-0.033232178539037704
ph,-0.03352870047092438
gr,-0.033533383160829544
gu,-0.03409801423549652
kw,-0.03422953933477402
ec,-0.0342647060751915
in,-0.03493652492761612
io,-0.03689248114824295
bq,-0.037615031003952026
nl,-0.037615031003952026
ne,-0.03850385546684265
pw,-0.03891880437731743
dm,-0.03893916308879852
gi,-0.03934067487716675
ca,-0.04073617234826088
fk,-0.04088737443089485
nr,-0.04222055897116661
cw,-0.04241516813635826
gb-eng,-0.04303252696990967
ng,-0.04369024559855461
ss,-0.04503899812698364
ms,-0.04536815360188484
ps,-0.04778430238366127
np,-0.04781847447156906
ai,-0.049153272062540054
cy,-0.04983590170741081
ae,-0.051839061081409454
xk,-0.05356043577194214
rw,-0.054888926446437836
sx,-0.05652875453233719
kr,-0.05696363374590874
lu,-0.05730786174535751
se,-0.059974055737257004
cx,-0.06376729160547256
bw,-0.06501692533493042
et,-0.0653141438961029
mg,-0.06531871110200882
cc,-0.06548307836055756
sb,-0.06871411204338074
hn,-0.07020731270313263
gb-sct,-0.07054522633552551
nf,-0.07497538626194
uz,-0.07571771740913391
ir,-0.07809418439865112
sv,-0.08109536021947861
rs,-0.08343090862035751
th,-0.08362846076488495
gt,-0.08590186387300491
sa,-0.08785989880561829
mo,-0.09134324640035629
ar,-0.09229126572608948
ls,-0.09322674572467804
ni,-0.09714056551456451
cf,-0.09716375917196274
pk,-0.09877519309520721
hr,-0.10049985349178314
bz,-0.10122361034154892
sl,-0.10147593915462494
uy,-0.10352420061826706
cv,-0.10473792254924774
tv,-0.10634632408618927
fm,-0.11610978096723557
mv,-0.1175626739859581
tj,-0.1190716102719307
sm,-0.1192561686038971
lc,-0.1323680877685547
so,-0.13629624247550964
kz,-0.1434052288532257
mt,-0.14655938744544983
bi,-0.1559162139892578
pr,-0.1782134771347046
dj,-0.18769419193267822
il,-0.18991050124168396
lb,-0.1935696005821228
pf,-0.22703206539154053
mr,-0.29724210500717163
