Image,Similarity
ai,0.953908383846283
ky,0.8992660641670227
vg,0.8948158621788025
ms,0.8943976163864136
nz,0.8936926126480103
gs,0.890514075756073
fk,0.8876246213912964
pn,0.8726368546485901
au,0.8718141317367554
hm,0.8718141317367554
ck,0.7800838351249695
tv,0.5161978602409363
tf,0.49006515741348267
eu,0.48573625087738037
gu,0.44378426671028137
nr,0.4375137686729431
mn,0.37908846139907837
cx,0.3527604937553406
sa,0.32798781991004944
sx,0.3252619802951813
ao,0.3224834203720093
bm,0.299919068813324
tm,0.29102230072021484
cw,0.287509560585022
sb,0.2835507094860077
vu,0.27719587087631226
ly,0.2762555480003357
pg,0.27057936787605286
fj,0.25296396017074585
mh,0.25022509694099426
is,0.23707903921604156
pk,0.23624682426452637
io,0.23323766887187958
tz,0.21901221573352814
np,0.21635670959949493
qa,0.20731443166732788
cc,0.20612213015556335
ss,0.20388728380203247
xk,0.20189978182315826
ke,0.19225925207138062
bf,0.17344674468040466
gm,0.16910706460475922
sy,0.1612899750471115
iq,0.15014784038066864
bs,0.1493668556213379
kh,0.1488640308380127
et,0.14075134694576263
bd,0.13960710167884827
by,0.1393718719482422
mo,0.13915403187274933
mv,0.13737210631370544
sv,0.12770284712314606
zm,0.1260499805212021
li,0.12065344303846359
cd,0.11966142803430557
hn,0.11019069701433182
za,0.10906926542520523
bz,0.10752474516630173
eg,0.10724297910928726
ls,0.10695642232894897
mw,0.10596712678670883
gb-wls,0.10468199849128723
to,0.10368955135345459
dm,0.10364479571580887
sd,0.10313966870307922
se,0.10061820596456528
so,0.10048047453165054
br,0.09889121353626251
ae,0.09786902368068695
hr,0.09666277468204498
ye,0.09346020966768265
pa,0.09250529110431671
kz,0.08535926789045334
mp,0.08104568719863892
kn,0.07339286804199219
gh,0.0728527083992958
cv,0.07095571607351303
ht,0.06811831891536713
mg,0.06727351248264313
ax,0.06088951975107193
ni,0.06066429615020752
py,0.06064758449792862
bo,0.059375375509262085
eh,0.055884070694446564
jo,0.05506094545125961
kp,0.0523022897541523
om,0.049114782363176346
ps,0.04248511791229248
er,0.03599048778414726
na,0.03584015369415283
co,0.03306692838668823
la,0.03222222626209259
ru,0.03153930604457855
ba,0.03132971376180649
gw,0.030374184250831604
dj,0.030260955914855003
ve,0.02625158801674843
ph,0.02398126944899559
al,0.021365374326705933
jm,0.02130885235965252
bw,0.012360980734229088
bv,0.010676347650587559
no,0.010676347650587559
sj,0.010676347650587559
tt,0.007687046658247709
bq,0.0011612316593527794
nl,0.0011612316593527794
si,-0.0008128851186484098
gb-nir,-0.0022703162394464016
gb,-0.0022703162394464016
sh,-0.0022703162394464016
aw,-0.003274570219218731
uy,-0.006678469013422728
ma,-0.009005529806017876
lt,-0.00958450697362423
az,-0.012381661683321
sz,-0.019283823668956757
aq,-0.021935172379016876
sl,-0.025335121899843216
bg,-0.029442979022860527
as,-0.030875012278556824
tj,-0.03655574098229408
gi,-0.03720282390713692
af,-0.03882704675197601
mr,-0.04259192571043968
am,-0.044817306101322174
cu,-0.04617322236299515
gb-sct,-0.04695267975330353
sk,-0.048273056745529175
rw,-0.05109584704041481
il,-0.05388331040740013
in,-0.05429080128669739
pw,-0.05735944211483002
lu,-0.058421894907951355
cf,-0.059706758707761765
me,-0.060076843947172165
lv,-0.06167614459991455
ws,-0.07211634516716003
zw,-0.07433056086301804
ee,-0.07766880095005035
im,-0.08111337572336197
ec,-0.08162961900234222
th,-0.08270290493965149
sm,-0.08718328922986984
ne,-0.08742991834878922
tg,-0.08766894042491913
ag,-0.08903055638074875
gy,-0.08940581232309341
uz,-0.0895107090473175
bh,-0.09182004630565643
cr,-0.09513820707798004
bb,-0.09647196531295776
km,-0.09701547771692276
ga,-0.09839114546775818
tw,-0.10092561691999435
cm,-0.10354916751384735
dk,-0.10416212677955627
pt,-0.10560298711061478
tr,-0.10575555264949799
hu,-0.10897276550531387
