Image,Similarity
ro,0.989285945892334
ad,0.9036716818809509
ml,0.9028910398483276
sn,0.8509323000907898
be,0.7729331254959106
bb,0.6636416912078857
md,0.610637366771698
gn,0.5897076725959778
kg,0.5579007267951965
bj,0.5508315563201904
vn,0.5407235622406006
pt,0.5153117179870605
es,0.4795911908149719
bl,0.47756731510162354
fr,0.47756731510162354
gf,0.47756731510162354
gp,0.47756731510162354
mf,0.47756731510162354
mq,0.47756731510162354
nc,0.47756731510162354
pm,0.47756731510162354
re,0.47756731510162354
yt,0.47756731510162354
me,0.4664401113986969
cg,0.4595531225204468
mk,0.44992464780807495
gd,0.4423874616622925
nu,0.4403470754623413
cn,0.4206092059612274
it,0.4147639870643616
tl,0.4141257405281067
vc,0.40961334109306335
af,0.40010878443717957
cm,0.38024410605430603
hk,0.37908098101615906
tn,0.37427818775177
im,0.3474319875240326
ma,0.33925437927246094
ch,0.338539183139801
ug,0.3328477144241333
pe,0.3314267098903656
mm,0.3236210346221924
tr,0.3220239281654358
mx,0.32042792439460754
bt,0.31105124950408936
de,0.2990843653678894
tk,0.2988467812538147
cl,0.29782140254974365
wf,0.28360506892204285
zw,0.2827712893486023
ec,0.25975996255874634
ws,0.25305888056755066
tw,0.25232571363449097
to,0.2516295909881592
dk,0.24155454337596893
ao,0.23837865889072418
bn,0.23602962493896484
ki,0.23452916741371155
ba,0.23327337205410004
lt,0.23298799991607666
co,0.2275482416152954
al,0.22278223931789398
st,0.21942195296287537
by,0.21847212314605713
zm,0.21723157167434692
gw,0.21329209208488464
mw,0.20413213968276978
va,0.19586502015590668
pg,0.19524630904197693
cz,0.19499839842319489
lk,0.1887163519859314
bo,0.1853375881910324
sc,0.18089735507965088
gh,0.17848318815231323
ie,0.17753590643405914
id,0.17482838034629822
la,0.17405378818511963
at,0.17373842000961304
bf,0.17035460472106934
pr,0.1700405776500702
ag,0.16982945799827576
ve,0.16530072689056396
bh,0.16380232572555542
km,0.16272681951522827
bm,0.15628448128700256
qa,0.154879629611969
tt,0.1519026905298233
tg,0.14891599118709564
gq,0.14187997579574585
lv,0.14064863324165344
mu,0.1395617425441742
kn,0.13949668407440186
sr,0.13457460701465607
ax,0.132816880941391
ge,0.12830542027950287
gt,0.12756791710853577
am,0.12631317973136902
um,0.12609124183654785
us,0.12609124183654785
vu,0.1210765689611435
kp,0.1199251338839531
bi,0.1195860281586647
gy,0.11901956051588058
gb-wls,0.1185522973537445
ne,0.11637253314256668
om,0.11365622282028198
sg,0.11311168968677521
mc,0.11057782173156738
ng,0.10847334563732147
cc,0.10815487802028656
mt,0.10787317156791687
gg,0.1060345470905304
ss,0.10599426925182343
ke,0.10362537205219269
pl,0.10034234821796417
gl,0.09808937460184097
do,0.09603996574878693
mr,0.09442058205604553
tj,0.08696586638689041
lr,0.08234941214323044
pa,0.07761732488870621
sz,0.07570165395736694
dz,0.07546865195035934
bd,0.07543613016605377
jm,0.07297174632549286
mv,0.07271412014961243
dm,0.06953144073486328
ly,0.06846760213375092
ir,0.06726585328578949
bz,0.06420016288757324
eg,0.06364313513040543
gb-nir,0.06238734349608421
gb,0.06238734349608421
sh,0.06238734349608421
sd,0.060130637139081955
pf,0.05983647331595421
je,0.05958271771669388
sy,0.05564906448125839
my,0.05515465512871742
ye,0.05261652171611786
ua,0.05167891085147858
in,0.050883322954177856
ci,0.04903914034366608
hu,0.048318102955818176
bs,0.04659024626016617
cf,0.04478756710886955
lb,0.02995745837688446
iq,0.029549915343523026
mz,0.026901714503765106
kw,0.0265074223279953
se,0.01201978512108326
ga,0.010580824688076973
cy,0.005849413573741913
vi,0.005403399467468262
aq,0.0048964545130729675
gb-eng,0.0024324730038642883
gm,0.0016730097122490406
bg,0.00013054534792900085
ca,-0.002337891608476639
cr,-0.006431683897972107
gi,-0.009434863924980164
rs,-0.009940318763256073
er,-0.011477701365947723
jo,-0.01717802882194519
ht,-0.021304834634065628
th,-0.024184461683034897
fo,-0.02536969631910324
sk,-0.0259232260286808
pw,-0.02626081556081772
bv,-0.027015414088964462
no,-0.027015414088964462
sj,-0.027015414088964462
kh,-0.027118168771266937
bq,-0.039395771920681
nl,-0.039395771920681
az,-0.04649811238050461
as,-0.05411478132009506
kr,-0.06068805605173111
ps,-0.06283573806285858
li,-0.0628795176744461
