Image,Similarity
ky,0.5512639880180359
fk,0.5433182716369629
ms,0.5399234890937805
eu,0.5352734327316284
nz,0.5330344438552856
vg,0.5273248553276062
pn,0.5218901038169861
gs,0.5211687684059143
au,0.5187714099884033
hm,0.5187714099884033
ck,0.5051685571670532
ai,0.490805059671402
tc,0.49006515741348267
tv,0.4434221684932709
nr,0.4205845594406128
cw,0.4118971526622772
gu,0.4063296616077423
mn,0.3760903477668762
mh,0.29684171080589294
xk,0.2899799346923828
cx,0.28295964002609253
so,0.2791413962841034
cv,0.27729862928390503
sv,0.22791188955307007
aw,0.210343599319458
mp,0.2094380259513855
fj,0.20652946829795837
pk,0.20608344674110413
tm,0.19800367951393127
kz,0.19596359133720398
hn,0.19552288949489594
ni,0.19023965299129486
sa,0.18992674350738525
is,0.18901371955871582
tz,0.18446874618530273
sx,0.18106192350387573
gb-sct,0.18008896708488464
bz,0.1800142526626587
cd,0.17684665322303772
kh,0.17548492550849915
sb,0.1699313074350357
np,0.16845783591270447
io,0.16280193626880646
mo,0.1622695028781891
gm,0.1583862602710724
ls,0.15483027696609497
ly,0.14328601956367493
bw,0.13638845086097717
hr,0.13380160927772522
li,0.13164465129375458
aq,0.13043814897537231
pa,0.12722277641296387
uy,0.12640441954135895
il,0.1259320080280304
cu,0.11550888419151306
fm,0.11481072008609772
jo,0.11299404501914978
ss,0.11043871939182281
py,0.10556864738464355
as,0.09738688170909882
eh,0.09710802882909775
vu,0.09528912603855133
qa,0.0937865823507309
ht,0.0816616341471672
ps,0.08081305027008057
bs,0.08010141551494598
fi,0.07613310217857361
ee,0.07595260441303253
ph,0.07494892179965973
sl,0.07192176580429077
ao,0.06365296244621277
ke,0.06341861188411713
pg,0.06036250293254852
za,0.057326994836330414
bq,0.056891992688179016
nl,0.056891992688179016
iq,0.05493784695863724
ae,0.05395103245973587
lu,0.04886040836572647
sd,0.04349662363529205
se,0.039383724331855774
mv,0.03792361170053482
gr,0.036267444491386414
eg,0.030624980106949806
ye,0.028778638690710068
sy,0.02536681294441223
gb-nir,0.024556681513786316
gb,0.024556681513786316
sh,0.024556681513786316
et,0.021561698988080025
ru,0.02117675170302391
th,0.014669226482510567
rw,0.01334536075592041
bd,0.011678535491228104
bf,0.008307095617055893
sz,0.006517097353935242
sm,0.002859733998775482
er,-0.0013929307460784912
si,-0.0015817172825336456
uz,-0.004225276410579681
dj,-0.010265023447573185
cc,-0.011550292372703552
pw,-0.012103617191314697
br,-0.014538876712322235
am,-0.016913365572690964
ar,-0.01710715889930725
la,-0.017637193202972412
zm,-0.019579410552978516
na,-0.02182963863015175
by,-0.025257490575313568
mw,-0.02960885316133499
lc,-0.02979118376970291
kn,-0.03230740875005722
dz,-0.03302138298749924
tj,-0.03368108347058296
ba,-0.038012102246284485
cr,-0.03993618115782738
gb-wls,-0.04042195528745651
fo,-0.04079260677099228
ag,-0.04356236010789871
mr,-0.045371465384960175
dm,-0.04596687853336334
az,-0.04794881492853165
jm,-0.047993045300245285
ve,-0.051765523850917816
ax,-0.05196724832057953
mg,-0.05410846322774887
bv,-0.055833809077739716
no,-0.055833809077739716
sj,-0.055833809077739716
mu,-0.05720173567533493
hu,-0.060988202691078186
bm,-0.0651005357503891
rs,-0.06823325157165527
gi,-0.07198967039585114
sk,-0.07382924854755402
lv,-0.07511939108371735
kp,-0.07615454494953156
gh,-0.07753749191761017
lb,-0.07812466472387314
my,-0.07866279035806656
bg,-0.07880224287509918
al,-0.0849069207906723
pf,-0.08725136518478394
in,-0.0875101387500763
tt,-0.08828873932361603
nf,-0.09043986350297928
bo,-0.09742187708616257
pr,-0.09949697554111481
wf,-0.10415870696306229
kr,-0.10482468456029892
ne,-0.10622978955507278
ga,-0.11085102707147598
kw,-0.1123526468873024
sr,-0.11596235632896423
om,-0.11788593232631683
sc,-0.11806129664182663
gy,-0.11958461999893188
tg,-0.11996901780366898
to,-0.12019094824790955
af,-0.12080048024654388
jp,-0.12290084362030029
bi,-0.12905041873455048
lr,-0.12913812696933746
bh,-0.13274213671684265
ws,-0.13969388604164124
ma,-0.1438620239496231
lt,-0.14572042226791382
ki,-0.14576920866966248
km,-0.14959141612052917
gb-eng,-0.14960388839244843
gt,-0.15089638531208038
ir,-0.1521793007850647
tw,-0.15333113074302673
mz,-0.15474125742912292
mc,-0.15630996227264404
dk,-0.16533438861370087
cf,-0.17117734253406525
co,-0.17329175770282745
sg,-0.18031609058380127
cz,-0.1808188259601593
id,-0.18245990574359894
at,-0.19142097234725952
bb,-0.19155213236808777
vi,-0.19415360689163208
im,-0.1965990662574768
gq,-0.19687119126319885
ca,-0.1977856159210205
ua,-0.2008972465991974
cy,-0.2026805579662323
tn,-0.20463749766349792
pl,-0.2052735835313797
zw,-0.20655837655067444
tr,-0.2095581591129303
ng,-0.21158526837825775
cm,-0.21224892139434814
me,-0.21321287751197815
je,-0.2148398607969284
lk,-0.2173919975757599
ge,-0.22554893791675568
ec,-0.22732830047607422
gg,-0.23170995712280273
gw,-0.23220372200012207
mt,-0.23280853033065796
gl,-0.23411688208580017
do,-0.23516693711280823
mx,-0.23655618727207184
de,-0.24071773886680603
tk,-0.24681824445724487
um,-0.247583270072937
us,-0.247583270072937
hk,-0.2506295144557953
ug,-0.2508360743522644
cn,-0.25200653076171875
ci,-0.2590363621711731
bl,-0.26207560300827026
fr,-0.26207560300827026
gf,-0.26207560300827026
gp,-0.26207560300827026
mf,-0.26207560300827026
mq,-0.26207560300827026
nc,-0.26207560300827026
pm,-0.26207560300827026
re,-0.26207560300827026
yt,-0.26207560300827026
st,-0.2648823857307434
ch,-0.2669409215450287
pe,-0.27696844935417175
ie,-0.2864668369293213
it,-0.2869027554988861
tl,-0.28887858986854553
pt,-0.29945293068885803
mm,-0.333048939704895
bn,-0.3338780999183655
cl,-0.3346717953681946
es,-0.33966225385665894
vn,-0.34280186891555786
mk,-0.3605869710445404
gd,-0.360711932182312
va,-0.36188754439353943
kg,-0.3680438697338104
ad,-0.3718945384025574
be,-0.37204986810684204
md,-0.3839506506919861
vc,-0.3851209878921509
bj,-0.40602701902389526
bt,-0.41779282689094543
gn,-0.4285959005355835
ro,-0.4543708562850952
td,-0.4582321047782898
sn,-0.4701176881790161
nu,-0.5239272117614746
ml,-0.5342339873313904
cg,-0.5936664342880249
