Image,Similarity
zw,0.4690035581588745
st,0.40313059091567993
cu,0.39954617619514465
ug,0.35393649339675903
es,0.3373076915740967
sr,0.3267555236816406
gd,0.3230506181716919
gy,0.3024521470069885
gn,0.2961699366569519
jm,0.28646570444107056
sz,0.26353856921195984
ke,0.25986841320991516
gm,0.24940751492977142
vc,0.24600528180599213
nu,0.2457623928785324
gw,0.24459587037563324
gh,0.23889374732971191
mu,0.2384103238582611
bd,0.2282930612564087
bo,0.22401213645935059
kp,0.22103038430213928
kg,0.21922710537910461
me,0.21814343333244324
cc,0.21789240837097168
tk,0.2172333300113678
de,0.20813915133476257
ag,0.2062080055475235
ma,0.2048071175813675
cw,0.20308008790016174
by,0.20131830871105194
mz,0.2005464732646942
mk,0.19994550943374634
vn,0.1999034583568573
ao,0.19152680039405823
br,0.19050803780555725
mw,0.18327449262142181
zm,0.17292377352714539
tm,0.16840502619743347
cr,0.16437046229839325
lt,0.16192911565303802
md,0.15876445174217224
sc,0.15715576708316803
lk,0.1540629267692566
kh,0.15251067280769348
bf,0.15242211520671844
er,0.1513175517320633
td,0.14891599118709564
cn,0.14860491454601288
vu,0.1484198123216629
tl,0.1413688361644745
pk,0.14105641841888428
pg,0.13338510692119598
ss,0.12847180664539337
al,0.12285356223583221
gb-nir,0.12060859054327011
gb,0.12060859054327011
sh,0.12060859054327011
sn,0.11845116317272186
ml,0.1162203997373581
ro,0.11348037421703339
am,0.11207094043493271
tn,0.10673929005861282
rw,0.10193868726491928
hk,0.10078277438879013
ne,0.1002066433429718
be,0.10002197325229645
im,0.0985320657491684
tj,0.09842927753925323
cg,0.09289460629224777
tr,0.09134697169065475
sa,0.08512859046459198
om,0.08477561175823212
pt,0.08183553814888
bt,0.08113512396812439
va,0.08105836063623428
in,0.08039237558841705
qa,0.07936181873083115
pw,0.07785999774932861
af,0.0772416740655899
gb-wls,0.07474680244922638
wf,0.07347892969846725
th,0.07141022384166718
za,0.0703500285744667
ch,0.06699006259441376
ad,0.06662768125534058
ua,0.06573325395584106
kn,0.06541138142347336
ve,0.06305988132953644
jo,0.057577818632125854
ba,0.05643337965011597
