Image,Similarity
cr,0.6768608689308167
cu,0.4586125910282135
ru,0.4434976875782013
ug,0.3405759036540985
ve,0.2624411284923553
ca,0.2592673301696777
uy,0.2570226490497589
pe,0.2108469605445861
gt,0.2106073945760727
mx,0.203683391213417
zw,0.1973559558391571
jp,0.1902617216110229
ng,0.1394268125295639
pl,0.1371278762817382
gb,0.1171153411269187
fj,0.1131657212972641
id,0.1097439974546432
it,0.1088155433535575
fr,0.1078394576907157
cl,0.1005284860730171
kr,0.0787735730409622
co,0.0718691274523735
ec,0.0535028055310249
tv,0.0518202744424343
us,0.0505716055631637
cn,0.03470129519701
dz,0.0309479422867298
ma,0.0106772407889366
gr,0.0038203597068786
ws,-0.0042635202407836
ua,-0.0108641535043716
il,-0.011708840727806
to,-0.0147851705551147
es,-0.0236322320997715
za,-0.0256819128990173
bz,-0.0311405137181282
au,-0.0433535613119602
vu,-0.0468624606728553
nz,-0.057689145207405
pk,-0.0586876422166824
vn,-0.0604899376630783
kz,-0.0664533227682113
pw,-0.0764433145523071
ar,-0.0805907845497131
ke,-0.0896812453866005
ht,-0.0910405591130256
de,-0.0917669385671615
pg,-0.0967696905136108
ao,-0.0977587401866912
do,-0.1485477983951568
sa,-0.157676100730896
sb,-0.1625371873378753
br,-0.1734506040811538
se,-0.1830021440982818
as,-0.2551841735839844
jm,-0.2811437845230102
in,-0.3025419414043426
py,-0.3748345673084259
bo,-0.3995211720466614
eg,-0.4979246258735657
