Image,Similarity
hu,0.8146227598190308
ye,0.7614530324935913
bq,0.7587693333625793
nl,0.7587693333625793
sd,0.7469452023506165
eg,0.7434337139129639
ne,0.7189226746559143
py,0.7072529792785645
iq,0.7027360200881958
in,0.7007465362548828
lu,0.6824597120285034
sy,0.6795063614845276
at,0.6463623046875
ps,0.6327813863754272
hr,0.6098251938819885
eh,0.5953605771064758
pf,0.5933390855789185
ls,0.5922815799713135
as,0.5873759984970093
ae,0.560352087020874
bo,0.5565128922462463
lb,0.546507716178894
ir,0.5229379534721375
hn,0.5055977702140808
sl,0.502926766872406
lv,0.4848986566066742
gq,0.4832419455051422
bi,0.48279279470443726
uz,0.4788835048675537
jo,0.47340795397758484
kw,0.4633449912071228
sv,0.4375845491886139
gh,0.4308827519416809
ni,0.42000067234039307
il,0.4119485914707184
ar,0.372001975774765
aq,0.3548330068588257
ch,0.3503098785877228
gb-sct,0.3378836214542389
gm,0.3326086401939392
es,0.32822751998901367
dk,0.313673198223114
dj,0.30610039830207825
ss,0.30111730098724365
bt,0.2998485863208771
hk,0.2912212908267975
do,0.2797700762748718
tn,0.27935755252838135
sx,0.26764702796936035
bf,0.2568088471889496
lr,0.25033652782440186
by,0.24916984140872955
sg,0.24344174563884735
mg,0.23905876278877258
st,0.23859500885009766
id,0.22203169763088226
pr,0.21870791912078857
wf,0.21740947663784027
mu,0.21650944650173187
mm,0.21566346287727356
mk,0.21246787905693054
km,0.20595964789390564
ie,0.20547053217887878
gw,0.20536665618419647
nu,0.20272031426429749
tr,0.19883352518081665
kg,0.1976182758808136
mc,0.1963009089231491
ki,0.19336478412151337
cf,0.18736904859542847
ng,0.17784050107002258
va,0.17495012283325195
ke,0.17082595825195312
vn,0.16557054221630096
bz,0.1640687882900238
im,0.16319766640663147
mt,0.16254079341888428
pa,0.16174918413162231
ci,0.15292192995548248
la,0.15278807282447815
tl,0.1459391713142395
gb-nir,0.1422361135482788
gb,0.1422361135482788
sh,0.1422361135482788
jm,0.13993416726589203
fj,0.13882064819335938
pl,0.13513027131557465
io,0.13369585573673248
lk,0.1315653771162033
sc,0.1314360797405243
ml,0.13026019930839539
gl,0.1268751323223114
it,0.12679792940616608
fm,0.12591585516929626
gt,0.1244114339351654
cu,0.12348610162734985
gn,0.1211572140455246
me,0.11923643201589584
pt,0.11879133433103561
sm,0.11848406493663788
