Image,Similarity
ua,0.5577964782714844
de,0.5458739399909973
nu,0.446938157081604
cg,0.4196029007434845
es,0.3589184880256653
ws,0.357608437538147
cm,0.35742005705833435
tw,0.33276569843292236
mz,0.3095257878303528
jm,0.3029199540615082
td,0.2988467812538147
be,0.2888202369213104
ro,0.2838088274002075
li,0.27819645404815674
ug,0.2722710371017456
ss,0.2650986909866333
rw,0.26435014605522156
ht,0.2629847526550293
st,0.2614552974700928
ml,0.25932222604751587
mk,0.25018948316574097
my,0.24991436302661896
bs,0.24903267621994019
vn,0.24894538521766663
sb,0.2487277090549469
gd,0.23479992151260376
ad,0.22965353727340698
md,0.22945713996887207
gy,0.2269357144832611
pt,0.22516560554504395
cf,0.2243911772966385
mw,0.21729184687137604
tg,0.2172333300113678
zm,0.21649153530597687
kg,0.21500757336616516
mu,0.21219855546951294
sn,0.20798499882221222
lk,0.20633161067962646
zw,0.20595994591712952
me,0.20294415950775146
mh,0.20245814323425293
ke,0.17996513843536377
bj,0.1761193573474884
jo,0.174111008644104
kw,0.16393734514713287
al,0.16238728165626526
ph,0.16078367829322815
ee,0.15858574211597443
ma,0.15584585070610046
az,0.1524917483329773
af,0.15198656916618347
cn,0.1519191563129425
kn,0.14911213517189026
cc,0.1487995833158493
gq,0.14725574851036072
tl,0.14565354585647583
sr,0.1399233639240265
am,0.13868054747581482
na,0.13474416732788086
ir,0.12986531853675842
gn,0.12613195180892944
sz,0.12530769407749176
mc,0.12300118803977966
tn,0.12246453762054443
ga,0.11680499464273453
im,0.11650130152702332
hk,0.1163998544216156
ag,0.11564527451992035
tr,0.112806536257267
dz,0.11206017434597015
wf,0.11160855740308762
vc,0.11140178143978119
bm,0.10596645623445511
eh,0.10502341389656067
cw,0.1019197553396225
kp,0.10094510018825531
ps,0.10028120130300522
ch,0.09789253771305084
id,0.09737735986709595
mr,0.09331439435482025
et,0.0906132161617279
as,0.0839097872376442
tt,0.0743725597858429
cv,0.0715651884675026
sg,0.0692710280418396
qa,0.06629941612482071
pr,0.0657726600766182
ax,0.06529717892408371
uz,0.06383690237998962
lv,0.06250810623168945
um,0.05914846807718277
us,0.05914846807718277
kh,0.05692162364721298
br,0.056795310229063034
bi,0.052303217351436615
bl,0.052240706980228424
fr,0.052240706980228424
gf,0.052240706980228424
gp,0.052240706980228424
mf,0.052240706980228424
mq,0.052240706980228424
nc,0.052240706980228424
pm,0.052240706980228424
re,0.052240706980228424
yt,0.052240706980228424
cl,0.04648734629154205
pk,0.046417031437158585
dm,0.03964501991868019
to,0.0392916202545166
gb-nir,0.03837691247463226
gb,0.03837691247463226
sh,0.03837691247463226
ls,0.03804975748062134
at,0.0378347672522068
pg,0.035614073276519775
bh,0.03502725064754486
bb,0.034292072057724
cr,0.03369148075580597
dk,0.025752216577529907
bd,0.025381747633218765
mo,0.02146240323781967
gg,0.020415663719177246
bn,0.017890121787786484
va,0.017419733107089996
ge,0.015726028010249138
se,0.015291327610611916
it,0.01154085248708725
mv,0.0038766562938690186
ie,0.0015431493520736694
gh,0.0014141276478767395
lc,-0.0004100017249584198
pf,-0.0034207887947559357
aq,-0.0035293176770210266
bt,-0.0036711087450385094
bo,-0.005120702087879181
bv,-0.00649304548278451
no,-0.00649304548278451
sj,-0.00649304548278451
tj,-0.010317360982298851
lb,-0.011788859963417053
do,-0.013324227184057236
pe,-0.01523975282907486
er,-0.015716079622507095
gb-sct,-0.01576852798461914
sa,-0.017921417951583862
ae,-0.019666003063321114
cz,-0.021825015544891357
gi,-0.022401973605155945
mx,-0.02312256395816803
la,-0.02349502593278885
by,-0.02668030560016632
mm,-0.027153978124260902
gl,-0.028354469686746597
vu,-0.029128558933734894
gb-eng,-0.029707886278629303
ki,-0.03110293298959732
lr,-0.033285826444625854
xk,-0.034196652472019196
vi,-0.03680887818336487
aw,-0.037962161004543304
sc,-0.0399312749505043
ca,-0.04073428362607956
ba,-0.04613324999809265
ly,-0.04687342047691345
th,-0.055461227893829346
ao,-0.056131914258003235
ne,-0.05901108309626579
tm,-0.06361261010169983
cy,-0.06967028975486755
je,-0.07239507138729095
hu,-0.07320690155029297
bz,-0.07407626509666443
jp,-0.07946747541427612
gb-wls,-0.08150788396596909
kz,-0.08595399558544159
fo,-0.08889080584049225
hn,-0.08920596539974213
ng,-0.08972768485546112
is,-0.09725561738014221
mt,-0.0987178161740303
cd,-0.10102922469377518
cu,-0.10244829952716827
nr,-0.10664565861225128
sd,-0.10854729264974594
il,-0.1086512878537178
eg,-0.11024542152881622
rs,-0.11066217720508575
sy,-0.11080920696258545
pw,-0.11175202578306198
bf,-0.11180166900157928
gm,-0.11328991502523422
gu,-0.1150658130645752
ye,-0.11639609187841415
sv,-0.11885936558246613
ar,-0.12149367481470108
ni,-0.12156878411769867
mp,-0.12752561271190643
io,-0.12842176854610443
ci,-0.13281339406967163
fi,-0.13416749238967896
lt,-0.13585807383060455
iq,-0.13624164462089539
gr,-0.14353197813034058
ec,-0.14423461258411407
pa,-0.1454060971736908
pl,-0.14581501483917236
gt,-0.14877912402153015
tz,-0.15779314935207367
om,-0.1578340083360672
bq,-0.15926165878772736
nl,-0.15926165878772736
bg,-0.1611359566450119
cx,-0.16238835453987122
nf,-0.16352522373199463
bw,-0.16390234231948853
dj,-0.16826750338077545
sl,-0.1724720448255539
np,-0.18083709478378296
in,-0.18366383016109467
hr,-0.18399564921855927
mn,-0.18475167453289032
kr,-0.1966521441936493
eu,-0.20061464607715607
fj,-0.20399048924446106
gw,-0.21129105985164642
km,-0.21134039759635925
si,-0.21507619321346283
uy,-0.21902436017990112
ve,-0.22596178948879242
ru,-0.2367834448814392
