Image,Similarity
cn,0.6993023753166199
ma,0.6432663798332214
vn,0.5725434422492981
ws,0.5639477968215942
es,0.4521154761314392
ao,0.434658944606781
zw,0.3497084379196167
pg,0.3460268378257751
pl,0.3214389681816101
de,0.3158700466156006
ve,0.2879136800765991
co,0.280970424413681
ec,0.2625844478607178
ug,0.2420221865177154
bo,0.2040397673845291
ke,0.1920309960842132
ht,0.1827907562255859
eg,0.178629383444786
gb,0.1683871299028396
cl,0.1303445100784301
ru,0.1289166063070297
vu,0.1213547885417938
nz,0.103047601878643
au,0.0971062034368515
jp,0.065393641591072
cr,0.0537356920540332
ca,0.0377053916454315
in,0.0254674050956964
pe,0.0043364167213439
jm,-0.009008452296257
th,-0.0147851705551147
za,-0.0347445383667945
do,-0.0389488823711872
py,-0.049942061305046
id,-0.05038882791996
ua,-0.05746690928936
pk,-0.0763911455869674
br,-0.0962793081998825
us,-0.1054868400096893
sb,-0.1078290939331054
bz,-0.1183815225958824
kr,-0.1187056899070739
se,-0.1300439536571502
mx,-0.1338580250740051
as,-0.1526479423046112
fr,-0.1657755374908447
uy,-0.1859822124242782
sa,-0.1934216618537902
it,-0.1946030855178833
cu,-0.2216935902833938
il,-0.253949373960495
ng,-0.306198239326477
pw,-0.3281759023666382
ar,-0.3314763307571411
gt,-0.349734365940094
dz,-0.3515770137310028
gr,-0.3794059753417969
fj,-0.4600594341754913
tv,-0.5091347098350525
kz,-0.5328500866889954
