Image,Similarity
ma,0.49412134289741516
al,0.48531293869018555
ws,0.46765387058258057
me,0.46615973114967346
qa,0.4615301191806793
cn,0.4340309500694275
tl,0.408939003944397
tw,0.39599213004112244
im,0.37149864435195923
pg,0.3440781235694885
vn,0.3431268036365509
pt,0.3375786542892456
to,0.33585113286972046
kg,0.32502132654190063
tr,0.32484087347984314
ao,0.31845903396606445
tn,0.307984322309494
wf,0.30570489168167114
hk,0.29230889678001404
mw,0.2814059853553772
de,0.2635389566421509
bm,0.2611373960971832
ch,0.25549033284187317
li,0.255465030670166
lk,0.2506312429904938
es,0.24886424839496613
sx,0.2473900318145752
ly,0.24661782383918762
bh,0.2458302229642868
do,0.24137534201145172
am,0.23839952051639557
by,0.23691421747207642
gh,0.22577711939811707
vu,0.21896347403526306
af,0.21271342039108276
ve,0.2106604278087616
mk,0.20937490463256836
ke,0.20241260528564453
mv,0.19920489192008972
ph,0.19839167594909668
cm,0.19261619448661804
zw,0.18346625566482544
lv,0.17610932886600494
ht,0.17190438508987427
lt,0.17091722786426544
be,0.16809165477752686
bv,0.16069412231445312
no,0.16069412231445312
sj,0.16069412231445312
bo,0.158753901720047
kn,0.1533038169145584
td,0.1519026905298233
dk,0.14804741740226746
ag,0.1469958871603012
gm,0.14511200785636902
la,0.13620005548000336
md,0.12951084971427917
ug,0.12881149351596832
gb-wls,0.12826216220855713
za,0.1274624466896057
na,0.1251695454120636
eg,0.11981523036956787
co,0.11880236864089966
gi,0.11761058121919632
ro,0.11570771783590317
ad,0.11285819858312607
dm,0.11123855412006378
my,0.11095315217971802
et,0.10809653997421265
iq,0.10735470801591873
bj,0.10189369320869446
ec,0.10049024224281311
bb,0.09569372981786728
zm,0.09308737516403198
np,0.09301779419183731
bf,0.09299744665622711
ss,0.09248446673154831
kp,0.08928274363279343
bd,0.08885948359966278
mz,0.08781451731920242
mu,0.08469821512699127
sz,0.08443903177976608
ye,0.08242200314998627
er,0.08065204322338104
sd,0.08052142709493637
tk,0.0743725597858429
at,0.07282637059688568
kh,0.07017065584659576
sn,0.06565675139427185
mr,0.06559499353170395
ml,0.06505253911018372
gn,0.0631747916340828
sy,0.057085491716861725
cc,0.05242403596639633
cg,0.05196474492549896
sc,0.04992421343922615
ax,0.04768206924200058
nr,0.044497713446617126
ki,0.04395587742328644
mg,0.04154909402132034
cw,0.03507068753242493
tz,0.03476357087492943
ba,0.03428588807582855
hr,0.028482969850301743
tg,0.02657441794872284
pr,0.02596861496567726
pe,0.024424603208899498
id,0.023605048656463623
gb-nir,0.023557215929031372
gb,0.023557215929031372
sh,0.023557215929031372
lb,0.02334546484053135
cl,0.02212221547961235
gw,0.022081203758716583
pf,0.020372845232486725
mh,0.015296954661607742
rs,0.014410369098186493
cf,0.01400812342762947
gq,0.012503325939178467
vc,0.009156450629234314
sk,0.00904894806444645
tc,0.007687046658247709
jo,0.006494228728115559
is,0.0064509473741054535
nu,0.0050781890749931335
ne,0.001273004338145256
gd,0.0008465200662612915
eh,-0.0019098902121186256
bn,-0.003438994288444519
eu,-0.0038217157125473022
nz,-0.004382243379950523
gu,-0.004427239298820496
py,-0.006938815116882324
ai,-0.007263418287038803
mm,-0.007805892266333103
au,-0.011099192313849926
hm,-0.011099192313849926
br,-0.012912414968013763
bz,-0.014338359236717224
si,-0.015533408150076866
ir,-0.016520768404006958
gs,-0.016977978870272636
pk,-0.017579207196831703
pn,-0.019602179527282715
ru,-0.02226407080888748
om,-0.022507503628730774
tj,-0.025008730590343475
mn,-0.026897568255662918
st,-0.02863423526287079
sb,-0.02907172590494156
ky,-0.030204597860574722
tm,-0.03217339143157005
mc,-0.03271102160215378
bt,-0.033479176461696625
kw,-0.033796682953834534
vg,-0.03755927458405495
mt,-0.037582021206617355
fk,-0.03799653798341751
ps,-0.043425410985946655
ms,-0.04374688118696213
cz,-0.04412170872092247
bq,-0.04606931284070015
nl,-0.04606931284070015
pl,-0.04660625755786896
lr,-0.047384101897478104
th,-0.049483250826597214
hu,-0.050559744238853455
ge,-0.054497744888067245
ae,-0.06025680899620056
ua,-0.06167619675397873
in,-0.06209138408303261
sr,-0.06706438958644867
bg,-0.06709279119968414
um,-0.06854364275932312
us,-0.06854364275932312
gl,-0.07123073935508728
bl,-0.07390926778316498
fr,-0.07390926778316498
gf,-0.07390926778316498
gp,-0.07390926778316498
mf,-0.07390926778316498
mq,-0.07390926778316498
nc,-0.07390926778316498
pm,-0.07390926778316498
re,-0.07390926778316498
yt,-0.07390926778316498
sg,-0.07545764744281769
sa,-0.07742717862129211
jm,-0.08543430268764496
ck,-0.0863339975476265
tf,-0.08828873932361603
je,-0.09122148156166077
cx,-0.09235631674528122
as,-0.09243417531251907
cv,-0.09445987641811371
cd,-0.09619218856096268
ee,-0.10821645706892014
gy,-0.11012391000986099
km,-0.1102437898516655
se,-0.11119669675827026
bi,-0.11135099828243256
az,-0.11210642755031586
cr,-0.12552769482135773
ls,-0.1268777996301651
pa,-0.12711134552955627
mx,-0.13088861107826233
aq,-0.1310928612947464
mp,-0.13166385889053345
kr,-0.13557766377925873
io,-0.14689838886260986
it,-0.14978128671646118
sv,-0.15493419766426086
dz,-0.1551142930984497
jp,-0.16060760617256165
gg,-0.1612992286682129
fi,-0.16784697771072388
lu,-0.16921231150627136
va,-0.17337244749069214
