Image,Similarity
ws,0.9013880491256714
cn,0.6949682235717773
to,0.6879919767379761
ma,0.668514609336853
al,0.6559098958969116
qa,0.6464903950691223
tl,0.6413205862045288
me,0.6133392453193665
tr,0.6067279577255249
wf,0.5778731107711792
bm,0.577480137348175
li,0.5752691030502319
im,0.5682792663574219
vn,0.5679814219474792
bh,0.5633350610733032
kg,0.5488803386688232
pt,0.5395734310150146
mk,0.47083038091659546
tn,0.46678149700164795
de,0.46052515506744385
hk,0.4584197402000427
lk,0.45174044370651245
cm,0.44669264554977417
es,0.4389360249042511
ht,0.42339178919792175
tt,0.39599213004112244
ph,0.3919214606285095
zw,0.35499584674835205
gi,0.34857743978500366
my,0.33385273814201355
pg,0.3333818316459656
tk,0.33276569843292236
kp,0.3297407031059265
ao,0.3207898437976837
nu,0.30903714895248413
bj,0.3089313805103302
cg,0.30694007873535156
ug,0.296633243560791
ch,0.29116901755332947
kn,0.28803306818008423
bv,0.28478965163230896
no,0.28478965163230896
sj,0.28478965163230896
am,0.27449771761894226
dk,0.2632710933685303
mw,0.25716546177864075
td,0.25232571363449097
ve,0.24790659546852112
be,0.23835089802742004
md,0.23552517592906952
lv,0.23514345288276672
ro,0.22946768999099731
ke,0.21917575597763062
by,0.21849524974822998
ad,0.2141207754611969
pl,0.2053167074918747
mt,0.2018211930990219
cl,0.2000773847103119
gb-nir,0.19798603653907776
gb,0.19798603653907776
sh,0.19798603653907776
cz,0.19546079635620117
ua,0.1944175511598587
lt,0.19188787043094635
ml,0.18749380111694336
gb-wls,0.1872188150882721
na,0.1801406592130661
mz,0.17499326169490814
er,0.17055687308311462
gd,0.16664721071720123
af,0.16253022849559784
at,0.16002710163593292
ge,0.15950864553451538
la,0.15788677334785461
bn,0.1548471450805664
sz,0.15041062235832214
pr,0.1495196521282196
mv,0.1442808210849762
mu,0.1436730921268463
ly,0.1432226300239563
cf,0.14202998578548431
ss,0.1334528625011444
sc,0.12470754981040955
ru,0.12393972277641296
et,0.12349899113178253
sr,0.12326250970363617
kh,0.10802558064460754
om,0.10471181571483612
pf,0.09802667796611786
si,0.09754395484924316
bd,0.09625926613807678
bt,0.09571126103401184
sn,0.09400413930416107
gh,0.07886692881584167
ec,0.07688526809215546
gq,0.07546286284923553
ag,0.07334721088409424
zm,0.07256607711315155
ir,0.07125473767518997
th,0.06974773108959198
vu,0.06616837531328201
cr,0.06282801926136017
lr,0.06255414336919785
gg,0.059947337955236435
do,0.059675805270671844
mm,0.05737194046378136
sk,0.05706050619482994
sx,0.054680876433849335
gb-eng,0.05404175817966461
gl,0.053726717829704285
lb,0.05214202031493187
gm,0.051761820912361145
bg,0.047803059220314026
bi,0.04386885464191437
tg,0.03890033811330795
kw,0.037345968186855316
pe,0.03650663048028946
eg,0.031130781397223473
co,0.0291876420378685
sy,0.023482056334614754
bo,0.0219891220331192
um,0.02149852365255356
us,0.02149852365255356
jp,0.020105451345443726
vc,0.02005039155483246
mg,0.015156196430325508
iq,0.014166776090860367
ba,0.01311355922371149
sd,0.013091056607663631
id,0.011425420641899109
cw,0.007841545157134533
ye,0.006991078145802021
bb,0.006374891847372055
sb,0.002460591495037079
gn,0.0004519224166870117
az,-0.0047366321086883545
