Image,Similarity
ht,0.4739764332771301
de,0.413282036781311
sb,0.2226034104824066
ws,0.206416368484497
cl,0.1558685302734375
us,0.0944118499755859
ng,0.0743324309587478
gt,0.0545782148838043
pw,0.0541611313819885
jm,0.0526531562209129
ar,0.052429124712944
it,0.0511273592710495
ca,0.0488819107413291
gr,0.0481548458337783
br,0.0457122176885604
mx,0.0411508753895759
se,0.036396287381649
dz,0.0345023535192012
pe,0.0315376408398151
jp,0.0296799764037132
fr,0.0242509245872497
pk,0.0176965557038784
il,0.0133134573698043
zw,0.0131159126758575
ug,0.0071556121110916
ke,0.0054249241948127
es,0.004449650645256
ru,0.0025992058217525
cr,-0.004574678838253
do,-0.0088392700999975
pl,-0.0090354532003402
cu,-0.0092290490865707
th,-0.0108641535043716
as,-0.0179390460252761
kz,-0.0179861336946487
vn,-0.0274934768676757
gb,-0.0381905250251293
to,-0.05746690928936
kr,-0.0591219589114189
uy,-0.0640692263841629
sa,-0.0662120282649993
bz,-0.0685086399316787
ma,-0.0695349425077438
id,-0.0741290301084518
cn,-0.0774290412664413
fj,-0.10065458714962
tv,-0.1606489419937133
in,-0.1962811648845672
eg,-0.2260765582323074
bo,-0.2588172852993011
ve,-0.2670163810253143
vu,-0.2746303975582123
au,-0.3092883825302124
za,-0.3122844398021698
nz,-0.3142600655555725
pg,-0.3560713827610016
py,-0.3881277441978454
ao,-0.3899759650230407
ec,-0.4596956670284271
co,-0.6551012992858887
