Image,Similarity
zw,0.5025588274002075
vn,0.4447228908538818
es,0.4361811280250549
de,0.4142725467681885
cn,0.3983202278614044
ma,0.38736093044281
th,0.3405759036540985
ve,0.3219053745269775
co,0.3012256026268005
ec,0.2912513315677643
ao,0.275379866361618
cr,0.2549009621143341
to,0.2420221865177154
ws,0.2268729507923126
ke,0.1844353675842285
pg,0.1471550464630127
jm,0.1146195977926254
pe,0.0968070775270462
id,0.0932316333055496
pk,0.0899788215756416
vu,0.0848604589700698
ht,0.0764362588524818
cl,0.0648137405514717
ru,0.0621780231595039
fr,0.059023879468441
cu,0.0583703964948654
br,0.040705382823944
pl,0.0269335471093654
it,0.0214454047381877
gb,0.0105190426111221
ua,0.0071556121110916
sa,-0.0027381628751754
do,-0.039775226265192
us,-0.0446779876947402
bo,-0.0625873953104019
mx,-0.0681943893432617
as,-0.0848829373717308
au,-0.1086606681346893
ca,-0.112337052822113
nz,-0.1155932769179344
ng,-0.120319664478302
bz,-0.1245761215686798
dz,-0.1284084022045135
uy,-0.1328001618385315
se,-0.1467652767896652
in,-0.1609277725219726
eg,-0.1611606925725937
sb,-0.1612615585327148
jp,-0.1676417589187622
za,-0.1726150810718536
pw,-0.2141709327697754
gt,-0.2385047823190689
kr,-0.2414631992578506
fj,-0.2725658714771271
py,-0.310514748096466
gr,-0.3203006386756897
tv,-0.3335541486740112
il,-0.3440240025520324
kz,-0.3899989724159241
ar,-0.4217368960380554
