Image,Similarity
gt,0.3994737565517425
ng,0.3858575820922851
ca,0.3614198565483093
it,0.3527223169803619
mx,0.3498691916465759
fr,0.3459510803222656
ar,0.345488429069519
id,0.3300169110298157
jp,0.3255375325679779
kr,0.3253414630889892
cl,0.3096972703933716
pe,0.3055112957954407
pl,0.2791429758071899
do,0.2398924380540847
dz,0.2305761575698852
il,0.2274467945098877
uy,0.2239838242530822
fj,0.205712005496025
gr,0.2024457454681396
cr,0.1295901536941528
as,0.1253101825714111
ru,0.1098914146423339
es,0.1080840975046157
ua,0.0944118499755859
cn,0.0850167572498321
vn,0.0763963237404823
py,0.0699915438890457
pw,0.0669148936867713
cu,0.0668669044971466
in,0.06549584120512
th,0.0505716055631637
gb,0.0290083158761262
ec,0.0089943734928965
ht,-0.004295976832509
bz,-0.0049807280302047
ws,-0.0082452967762947
kz,-0.0132855251431465
co,-0.0141896437853574
ve,-0.0304248612374067
ug,-0.0446779876947402
de,-0.044894304126501
eg,-0.0525984615087509
tv,-0.0652829930186271
ma,-0.0693312510848045
se,-0.0733770728111267
to,-0.1054868400096893
zw,-0.1326179802417755
za,-0.1386108994483947
bo,-0.1476187407970428
jm,-0.1620871722698211
br,-0.1818822920322418
pg,-0.223009318113327
sb,-0.233279138803482
pk,-0.2480342090129852
ao,-0.291971206665039
vu,-0.3029515743255615
ke,-0.3144011497497558
sa,-0.3294908404350281
au,-0.3522316217422485
nz,-0.3775110244750976
