Image,Similarity
il,0.587451696395874
gt,0.4652299880981445
fj,0.4195753335952759
ar,0.4194527864456177
ng,0.4185651838779449
kr,0.3417483568191528
tv,0.3354651927947998
cu,0.3290272057056427
mx,0.2858343124389648
ca,0.2778414785861969
kz,0.2734590470790863
cr,0.2716646790504455
th,0.2570226490497589
it,0.2447201907634735
pw,0.2435716390609741
pl,0.2428030222654342
jp,0.2422233372926712
ru,0.2415444701910019
us,0.2239838242530822
fr,0.1850822418928146
pe,0.180695578455925
bz,0.1792042404413223
as,0.1669621169567108
id,0.0949464738368988
do,0.0941397249698638
dz,0.0925128012895584
cl,0.0824703052639961
py,0.0724148899316787
se,0.0613872110843658
in,0.0594539605081081
au,0.0058851260691881
nz,-0.0102981803938746
gb,-0.0230462606996297
co,-0.0596338100731372
ve,-0.0612132288515567
ua,-0.0640692263841629
za,-0.0772600471973419
ec,-0.0799121707677841
sb,-0.0805117040872573
sa,-0.1023065075278282
br,-0.1097416952252388
eg,-0.1281457245349884
ug,-0.1328001618385315
pk,-0.1408153027296066
ht,-0.1675082594156265
gr,-0.1820842921733856
to,-0.1859822124242782
es,-0.1965262293815612
jm,-0.2046764194965362
vu,-0.2383971363306045
bo,-0.2710580229759216
ke,-0.276816189289093
cn,-0.2898685932159424
vn,-0.3055450320243835
ao,-0.3434033989906311
ws,-0.3605190515518188
pg,-0.3686267733573913
de,-0.3745164275169372
ma,-0.3779050707817077
zw,-0.4025174975395202
