Image,Similarity
ru,0.5984638333320618
co,0.5252143740653992
ec,0.4835568070411682
ma,0.3773954510688782
zw,0.3434043228626251
ug,0.3219053745269775
cn,0.3212477564811706
to,0.2879136800765991
th,0.2624411284923553
pg,0.2537395358085632
vn,0.2244087755680084
ao,0.2193977534770965
ws,0.2046409845352172
pl,0.1854009479284286
cl,0.1486252695322036
es,0.1443522274494171
za,0.0706885755062103
nz,0.0691905692219734
au,0.0683327168226242
pe,0.0479658916592597
vu,0.0446618907153606
in,0.0423269383609294
us,-0.0304248612374067
ht,-0.0343969278037548
fr,-0.0434478223323822
jp,-0.0435443632304668
mx,-0.0452439859509468
eg,-0.0579195693135261
kr,-0.0595724172890186
uy,-0.0612132288515567
pk,-0.0664093270897865
do,-0.0789652019739151
it,-0.0806869119405746
ca,-0.0817192122340202
sa,-0.089370459318161
dz,-0.1061155498027801
id,-0.1100896820425987
br,-0.1197100281715393
gb,-0.1205377057194709
de,-0.1379254907369613
ng,-0.151443526148796
cu,-0.1569907963275909
bz,-0.1611017286777496
ke,-0.1612107455730438
cr,-0.1619906723499298
py,-0.1759495884180069
bo,-0.1825385987758636
gt,-0.1846528500318527
tv,-0.1933262050151825
fj,-0.2201655358076095
gr,-0.2532821595668793
ua,-0.2670163810253143
sb,-0.2762803733348846
as,-0.3235313296318054
jm,-0.3274754583835602
il,-0.3585928976535797
se,-0.3811305463314056
kz,-0.4331726729869842
pw,-0.4453490674495697
ar,-0.4879764020442962
