Image,Similarity
cn,0.8370797634124756
ma,0.7670536041259766
es,0.7535242438316345
to,0.5725434422492981
ws,0.4980297684669494
de,0.4565533995628357
ao,0.455951452255249
ug,0.4447228908538818
zw,0.3477781414985657
bo,0.3344818949699402
pg,0.3336842060089111
ec,0.3220758140087127
co,0.3087351024150848
id,0.2869725227355957
eg,0.2495238035917282
pe,0.2276796102523803
ve,0.2244087755680084
ke,0.21150703728199
cl,0.2085160017013549
pl,0.1915584504604339
ht,0.1864044070243835
vu,0.1848569214344024
gb,0.1116286814212799
do,0.1015767455101013
jm,0.09595887362957
fr,0.0922671854496002
us,0.0763963237404823
py,0.0432543754577636
as,0.0185648873448371
in,0.0178508758544921
it,-0.0039965212345123
ua,-0.0274934768676757
ca,-0.0346671789884567
cr,-0.0421196110546588
bz,-0.0476649552583694
mx,-0.0542775020003318
th,-0.0604899376630783
jp,-0.0698094218969345
se,-0.0707345008850097
za,-0.0752502977848053
pk,-0.1043526455760002
ru,-0.1111133620142936
dz,-0.1574912816286087
ng,-0.1932551562786102
au,-0.2012722194194793
kr,-0.2086736112833023
br,-0.2156902998685836
nz,-0.215932548046112
pw,-0.2571426331996918
cu,-0.261850893497467
gt,-0.2888329029083252
sb,-0.2935562133789062
uy,-0.3055450320243835
il,-0.3161262273788452
sa,-0.3275388777256012
ar,-0.3309670388698578
gr,-0.3676742017269134
fj,-0.4002928733825683
tv,-0.5985500812530518
kz,-0.6485470533370972
