Image,Similarity
ao,0.5793983936309814
pg,0.5298073291778564
bo,0.4239084720611572
ke,0.3272736370563507
ma,0.3022224903106689
nz,0.2843447625637054
au,0.2736271917819977
za,0.2327384650707245
zw,0.228100448846817
sa,0.195966362953186
vn,0.1848569214344024
cn,0.1715798825025558
pk,0.1370215117931366
de,0.1328739821910858
jm,0.1296839714050293
to,0.1213547885417938
sb,0.1206172183156013
ws,0.1019884049892425
es,0.0956273525953292
eg,0.0873028188943862
ug,0.0848604589700698
br,0.05603813752532
co,0.0540452934801578
ve,0.0446618907153606
id,0.0289384275674819
py,0.0105015784502029
in,-0.0062309056520462
bz,-0.0115099623799324
gb,-0.0120233092457056
ec,-0.0131417755037546
se,-0.0348711311817169
tv,-0.0449197143316268
th,-0.0468624606728553
dz,-0.126107633113861
do,-0.1272254586219787
cr,-0.1393561959266662
kz,-0.1409387290477752
pe,-0.1538813412189483
pw,-0.1673061847686767
fj,-0.1805818825960159
cu,-0.1833837926387787
fr,-0.183536559343338
as,-0.1938349902629852
ru,-0.2047096341848373
ht,-0.214526280760765
mx,-0.223742663860321
it,-0.2378797680139541
uy,-0.2383971363306045
kr,-0.2415824979543686
jp,-0.2690467238426208
ua,-0.2746303975582123
ca,-0.2813343107700348
cl,-0.295214980840683
us,-0.3029515743255615
il,-0.3579265475273132
gr,-0.363976776599884
ng,-0.3658241331577301
pl,-0.394185721874237
gt,-0.3957545757293701
ar,-0.4748390316963196
