Image,Similarity
ma,0.6466866731643677
cn,0.6216806769371033
to,0.5639477968215942
ht,0.5397050976753235
de,0.501507580280304
vn,0.4980297684669494
pg,0.3891218900680542
ao,0.3327444195747375
es,0.3321622908115387
zw,0.3049451112747192
ke,0.2752483487129211
ug,0.2268729507923126
ua,0.206416368484497
ve,0.2046409845352172
cl,0.1841719448566436
gb,0.1347246319055557
do,0.1084950640797615
sb,0.1027550846338272
vu,0.1019884049892425
pl,0.0566565282642841
ru,0.0447264313697814
bz,0.0117333307862281
pk,0.0105299912393093
eg,-0.0018104929476976
th,-0.0042635202407836
us,-0.0082452967762947
pe,-0.021132655441761
jm,-0.0275942832231521
ec,-0.0296386033296585
cr,-0.0326526314020156
bo,-0.0359898433089256
as,-0.0495770797133445
id,-0.0568161755800247
za,-0.0576193965971469
fr,-0.0609642751514911
co,-0.0674150288105011
nz,-0.0780414417386055
au,-0.0931029170751571
dz,-0.1036028936505317
jp,-0.1239684447646141
br,-0.1286632716655731
sa,-0.1624063104391098
it,-0.1647325158119201
ca,-0.1679563224315643
mx,-0.1701094806194305
cu,-0.212658017873764
py,-0.2314785867929458
se,-0.2703747749328613
in,-0.2901304960250854
kr,-0.2901853919029236
il,-0.3202002048492431
gr,-0.3288264870643616
uy,-0.3605190515518188
ng,-0.4121313095092773
gt,-0.4417385160923004
pw,-0.4452512264251709
kz,-0.4476413130760193
ar,-0.4575458168983459
fj,-0.51788330078125
tv,-0.6401713490486145
