Image,Similarity
py,0.2698539495468139
bo,0.240408793091774
vu,0.2327384650707245
pg,0.2177484035491943
eg,0.1996621489524841
ao,0.1853083074092865
cu,0.1760635077953338
in,0.1466145068407058
co,0.1154665723443031
sa,0.1114472001791
nz,0.0998096913099289
au,0.0846358314156532
ve,0.0706885755062103
ec,0.0678163543343544
bz,0.0604863055050373
kz,0.048203982412815
gr,0.0438682325184345
tv,0.043063499033451
as,0.0382792688906192
pk,0.0294747985899448
gb,0.0167833212763071
ke,0.0097926585003733
pw,0.0082440674304962
il,0.0081733418628573
do,-0.0061598531901836
br,-0.0074586924165487
fj,-0.0115547403693199
ar,-0.0173594206571578
ma,-0.0174352414906024
dz,-0.0181525349617004
ru,-0.0201728604733943
it,-0.0217809155583381
th,-0.0256819128990173
es,-0.0280603878200054
to,-0.0347445383667945
mx,-0.0392588600516319
ng,-0.0412246957421302
gt,-0.041335891932249
fr,-0.0413572564721107
kr,-0.0497038513422012
id,-0.0518436953425407
ws,-0.0576193965971469
sb,-0.0578021854162216
se,-0.0604923963546752
pe,-0.0728768408298492
vn,-0.0752502977848053
uy,-0.0772600471973419
pl,-0.0845094993710517
cl,-0.0868708193302154
cn,-0.0912501513957977
jm,-0.0951017439365387
zw,-0.1024768501520156
us,-0.1386108994483947
ca,-0.1444458663463592
cr,-0.1513391137123108
jp,-0.1545164585113525
ug,-0.1726150810718536
ht,-0.2078026831150055
ua,-0.3122844398021698
de,-0.3297551870346069
