Image,Similarity
cc,0.7414438128471375
tm,0.4923771917819977
sa,0.4716624915599823
kn,0.42280715703964233
ly,0.41044867038726807
st,0.37513870000839233
pg,0.36419230699539185
jm,0.35967928171157837
br,0.3497128188610077
ke,0.3442041873931885
mw,0.3427548110485077
pk,0.3321983814239502
tz,0.31811174750328064
de,0.3090327978134155
zw,0.3048975467681885
ao,0.2986699938774109
mr,0.29780566692352295
ss,0.28780999779701233
vu,0.284784734249115
pt,0.2776872217655182
mv,0.2730202078819275
bj,0.2623409926891327
mz,0.24373804032802582
sb,0.23765452206134796
nr,0.2329244613647461
ml,0.23267978429794312
lt,0.22731463611125946
et,0.22319035232067108
al,0.22282914817333221
dm,0.22205887734889984
cx,0.21915602684020996
be,0.21746739745140076
td,0.21723157167434692
tk,0.21649153530597687
cw,0.2152816355228424
li,0.20846587419509888
mo,0.20247285068035126
bs,0.19690477848052979
ug,0.18578296899795532
gu,0.18517935276031494
me,0.18084760010242462
ma,0.17926765978336334
md,0.17546556890010834
tg,0.17292377352714539
gh,0.17055407166481018
sn,0.17052631080150604
qa,0.1689067780971527
cg,0.16638194024562836
nz,0.16317281126976013
vg,0.16101834177970886
ws,0.16071496903896332
gs,0.1575019359588623
ro,0.15497756004333496
bo,0.15473541617393494
pn,0.15383875370025635
eu,0.15371784567832947
gw,0.152701273560524
vc,0.15027514100074768
by,0.1497044861316681
mu,0.13778144121170044
bf,0.13655665516853333
au,0.13564671576023102
hm,0.13564671576023102
ky,0.13034361600875854
tc,0.1260499805212021
gy,0.12602411210536957
ms,0.11910951137542725
ad,0.1091846376657486
ve,0.10809902846813202
cm,0.10792097449302673
jo,0.10361642390489578
ga,0.1011631116271019
tt,0.09308737516403198
ag,0.08918556571006775
ck,0.0882158875465393
ai,0.0864119753241539
bb,0.08165193349123001
lk,0.08014620840549469
fk,0.0792301669716835
rw,0.07515186816453934
es,0.07336068153381348
mh,0.07280758023262024
tw,0.07256607711315155
vn,0.06660255789756775
ua,0.0653153508901596
se,0.062106527388095856
to,0.05995658040046692
am,0.05553238093852997
mn,0.054804518818855286
ba,0.05465935543179512
ec,0.049932826310396194
eh,0.04892595857381821
gd,0.04870881140232086
co,0.04865817725658417
ae,0.04766204208135605
bd,0.04693348705768585
ht,0.04599439352750778
az,0.04160264879465103
tl,0.03898940980434418
af,0.038290105760097504
ax,0.03781422972679138
ph,0.03541380167007446
sz,0.033848874270915985
za,0.023845002055168152
ps,0.021105095744132996
gm,0.011473176069557667
na,-0.0008150525391101837
nu,-0.008740812540054321
ee,-0.00973435863852501
er,-0.013509053736925125
sr,-0.01612614095211029
tf,-0.019579410552978516
mk,-0.022752612829208374
sx,-0.02928350865840912
la,-0.041193194687366486
om,-0.04554976522922516
cn,-0.046038493514060974
kz,-0.04866880178451538
im,-0.04993171989917755
kh,-0.05319115146994591
cv,-0.05501642823219299
tr,-0.05577332526445389
gb-wls,-0.06162095069885254
kg,-0.07155060768127441
gn,-0.07455034554004669
bv,-0.07594703137874603
no,-0.07594703137874603
sj,-0.07594703137874603
gq,-0.08242298662662506
iq,-0.08865032345056534
sy,-0.09155859798192978
bn,-0.09157751500606537
bz,-0.106141097843647
tn,-0.106843501329422
eg,-0.1078471764922142
is,-0.11506801843643188
mm,-0.11682011187076569
my,-0.11702609807252884
xk,-0.119791179895401
ne,-0.1209234893321991
bh,-0.12420805543661118
mg,-0.1256316602230072
cf,-0.12676365673542023
kw,-0.13295947015285492
bm,-0.1356838196516037
ye,-0.1402219831943512
dz,-0.1428893804550171
sd,-0.14617469906806946
bg,-0.1483076810836792
kp,-0.1524672955274582
ls,-0.15539462864398956
ki,-0.16052410006523132
km,-0.16363219916820526
aq,-0.16444016993045807
lv,-0.16833236813545227
in,-0.16890332102775574
pw,-0.17662590742111206
mp,-0.17693457007408142
hk,-0.18056774139404297
gi,-0.18363156914710999
ir,-0.1854461133480072
tv,-0.19019171595573425
cd,-0.19083930552005768
uz,-0.19163775444030762
tj,-0.19640249013900757
ch,-0.19868361949920654
sl,-0.19951467216014862
bt,-0.20736080408096313
np,-0.20903080701828003
th,-0.2119516134262085
gb-nir,-0.21261341869831085
gb,-0.21261341869831085
sh,-0.21261341869831085
ru,-0.2238333523273468
as,-0.22415691614151
