Image,Similarity
ug,0.5025588274002075
ma,0.481262743473053
de,0.4491619765758514
cn,0.4372214078903198
to,0.3497084379196167
vn,0.3477781414985657
ve,0.3434043228626251
ao,0.3178930580615997
ws,0.3049451112747192
pg,0.2914102673530578
ke,0.2551759779453277
es,0.2455284595489502
cr,0.2307681292295456
vu,0.228100448846817
th,0.1973559558391571
br,0.1796923875808715
ec,0.1685072183609008
co,0.1580815613269806
jm,0.1248218417167663
pk,0.093250960111618
bo,0.0752013102173805
ru,0.0567299127578735
gb,0.0503586307168006
id,0.0317196696996688
ua,0.0131159126758575
pe,0.0003772713243961
jp,-0.0066825821995735
ca,-0.0152261480689048
sa,-0.0284072309732437
cu,-0.0309769734740257
cl,-0.0371499583125114
ht,-0.0438076220452785
au,-0.0550961755216121
nz,-0.0569835267961025
pl,-0.0718604177236557
za,-0.1024768501520156
in,-0.1026011556386947
dz,-0.1323676109313964
us,-0.1326179802417755
sb,-0.1359895765781402
mx,-0.1491455733776092
fr,-0.1629268527030944
eg,-0.1851754933595657
kr,-0.1872749626636505
do,-0.1910237669944763
it,-0.1980569064617157
se,-0.2215955555438995
gr,-0.2510744929313659
pw,-0.276611328125
as,-0.3259353637695312
ng,-0.3274636268615722
py,-0.336244523525238
gt,-0.3684073090553283
bz,-0.3780459463596344
fj,-0.3836381435394287
tv,-0.3878018856048584
uy,-0.4025174975395202
kz,-0.4323280751705169
il,-0.513934850692749
ar,-0.5220155715942383
